"","gene","module_n","module_color"
"1","PURA",3,"brown"
"2","FAM120C",2,"blue"
"3","SHC3_like",42,"lightcyan1"
"4","CYSTM1",6,"red"
"5","UBE2N_ENSSTOG00000002166",1,"turquoise"
"6","TMEM184C_ENSSTOG00000003964",2,"blue"
"7","GJB6",4,"yellow"
"8","NMU",3,"brown"
"9","PLEKHA1_like",23,"darkturquoise"
"10","KCTD4",8,"pink"
"11","BCL2L1_ENSSTOG00000007643",1,"turquoise"
"12","RRAGA",2,"blue"
"13","MORF4L1_ENSSTOG00000009157",1,"turquoise"
"14","SOX2",1,"turquoise"
"15","ZNF112",2,"blue"
"16","NFYB_ENSSTOG00000014416",2,"blue"
"17","H2AFX",39,"orangered4"
"18","RHOB_ENSSTOG00000014644",2,"blue"
"19","H1F0_ENSSTOG00000014808",1,"turquoise"
"20","ENSSTOG00000014826",1,"turquoise"
"21","ZBED8",2,"blue"
"22","BLOC1S4_ENSSTOG00000015106",15,"midnightblue"
"23","KIAA0232",24,"darkgrey"
"24","RNase_MRP",1,"turquoise"
"25","5S_rRNA_ENSSTOG00000018487",21,"darkred"
"26","RNaseP_nuc_ENSSTOG00000018579",1,"turquoise"
"27","snoU89",1,"turquoise"
"28","RTL8C_ENSSTOG00000019454",23,"darkturquoise"
"29","PLEKHB2_ENSSTOG00000019474",1,"turquoise"
"30","RPS6_ENSSTOG00000019647",1,"turquoise"
"31","LDOC1",1,"turquoise"
"32","MRPL9",6,"red"
"33","DKC1_like_ENSSTOG00000020149",2,"blue"
"34","ENSSTOG00000020191",9,"magenta"
"35","RTL8A_ENSSTOG00000020310",36,"yellowgreen"
"36","RPL24_ENSSTOG00000020333",0,"grey"
"37","RPL5_ENSSTOG00000020981",1,"turquoise"
"38","KLF2",2,"blue"
"39","ENSSTOG00000021438",5,"green"
"40","PTP4A1_ENSSTOG00000021612",6,"red"
"41","UBE2G1_like_ENSSTOG00000021672",17,"grey60"
"42","THAP11",1,"turquoise"
"43","SNRPE",0,"grey"
"44","C14orf119",2,"blue"
"45","PABPC1L2B_ENSSTOG00000022096",2,"blue"
"46","MTLN",4,"yellow"
"47","ENSSTOG00000022616",2,"blue"
"48","RPS24_ENSSTOG00000023496",0,"grey"
"49","CD82_like",1,"turquoise"
"50","DAP_containing",8,"pink"
"51","ATG12",0,"grey"
"52","DUT",14,"cyan"
"53","NCS1_containing",1,"turquoise"
"54","RPL37A_ENSSTOG00000025537",1,"turquoise"
"55","TMEM74B",7,"black"
"56","HLA-A_like_ENSSTOG00000025614",1,"turquoise"
"57","TMEM215",12,"tan"
"58","RPS6_ENSSTOG00000025963",1,"turquoise"
"59","SLC17A5_like_ENSSTOG00000026847",26,"darkorange"
"60","NDN",1,"turquoise"
"61","HMGB1_ENSSTOG00000027122",1,"turquoise"
"62","U1_ENSSTOG00000027312",21,"darkred"
"63","RPL10A",1,"turquoise"
"64","ATP6V1D_like",1,"turquoise"
"65","CYCS_ENSSTOG00000028032",44,"floralwhite"
"66","HNRNPA0",1,"turquoise"
"67","HIST1H2BK",3,"brown"
"68","MAGEH1",38,"plum1"
"69","RPS3A_ENSSTOG00000028898",1,"turquoise"
"70","RAP2B",2,"blue"
"71","RPL39_ENSSTOG00000029048",4,"yellow"
"72","ENSSTOG00000029288",2,"blue"
"73","ENSSTOG00000029329",5,"green"
"74","ENSSTOG00000029436",1,"turquoise"
"75","ENSSTOG00000029460",2,"blue"
"76","TUG1_ENSSTOG00000029508",0,"grey"
"77","TINCR",7,"black"
"78","ENSSTOG00000029562",1,"turquoise"
