"","gene","r","module_color","module_n"
"9381","Mapre1",0.571148018675121,"turquoise",1
"9382","Ptk2",0.495681065940089,"grey",0
"9383","Ago2",0.862091958795875,"blue",2
"9384","Xpnpep1",0.520608358224236,"turquoise",1
"9385","Add3",0.475689393388492,"brown",3
"9386","Mxi1",0.79689910644234,"blue",2
"9387","Smndc1",0.780894785420991,"blue",2
"9388","Smc3",0.659424281918894,"blue",2
"9389","Rbm20",0.563203211781171,"blue",2
"9390","Pdcd4",0.59084972876571,"black",7
"9391","Bbip1",0.787709298101986,"turquoise",1
"9392","Shoc2",0.56750619219608,"blue",2
"9393","Adra2a",0.692002216119732,"darkgreen",22
"9394","Gpam",0.304706872819443,"brown",3
"9395","Arrdc3",0.742393452904222,"blue",2
"9396","Zdhhc6",0.452646979612527,"turquoise",1
"9397","Vti1a",0.832700935998552,"tan",12
"9398","Tcf7l2",0.709707626571791,"royalblue",20
"9399","Trappc9",0.838777873238443,"turquoise",1
"9400","Dclre1a",0.859663649752167,"blue",2
"9401","Nhlrc2",0.881606076477583,"blue",2
"9402","Ccdc186",0.750531476687947,"blue",2
"9403","Kcnk9",0.844349388004882,"green",5
"9404","Afap1l2",0.667127055597935,"salmon",13
"9405","Ablim1",0.844084423689601,"pink",8
"9406","Fam160b1",0.689607157914429,"blue",2
"9407","Trub1",0.751874114903244,"brown",3
"9408","Atrnl1",0.843540401951264,"brown",3
"9409","Gfra1",0.771794134502718,"brown",3
"9410","Col22a1",0.867207126001585,"lightgreen",18
"9411","Hspa12a",0.78207182495222,"brown",3
"9412","Shtn1",0.669641514795236,"darkred",21
"9413","Fam135b",0.821945898943293,"brown",3
"9414","Pdzd8",0.917569751212281,"brown",3
"9415","Rab11fip2",0.892045535811886,"blue",2
"9416","Fam204a",0.481352912044226,"grey",0
"9417","Cacul1",0.837308481683828,"blue",2
"9418","Eif3a",0.777540560910927,"brown",3
"9419","Fam45a",0.67976136700761,"turquoise",1
"9420","Prdx3",0.793715334927355,"turquoise",1
"9421","Grk5",0.83725714932926,"blue",2
"9422","Rgs10",0.661220410247464,"grey60",17
"9423","Tial1",0.62207137674893,"turquoise",1
"9424","Bag3",0.72003743809,"grey60",17
"9425","INPP5F",0.876859733355593,"darkturquoise",23
"9426","Inpp5f",0.794502070522103,"green",5
"9427","Mcmbp",0.624971871516935,"blue",2
"9428","Sec23ip",0.594339012619488,"brown",3
"9429","Plpp4",0.601674403632208,"turquoise",1
"9430","Wdr11",0.797875961897654,"brown",3
"9431","Fgfr2",0.861580014966042,"blue",2
"9432","Ate1",0.798669705473095,"brown",3
"9433","Nsmce4a",0.502821036827374,"turquoise",1
"9434","Tacc2",0.613456726897618,"green",5
"9435","Plekha1",0.673524068502878,"black",7
"9436","Htra1",0.5766737780852,"turquoise",1
"9437","Khdrbs3",0.777550165860161,"turquoise",1
"9438","Ikzf5",0.69195205635898,"blue",2
"9439","Acadsb",0.36796688250739,"turquoise",1
"9440","Bub3",0.768399019419565,"turquoise",1
"9441","Cpxm2",0.556587434462513,"lightgreen",18
"9442","Chst15",0.199873110312333,"grey",0
"9443","Oat",0.473507452678682,"turquoise",1
"9444","Lhpp",0.656743359271919,"darkred",21
"9445","Fam53b",0.459530225949513,"blue",2
"9446","Abraxas2",0.516476327363746,"yellow",4
"9447","Zranb1",0.785569234039847,"black",7
"9448","Ctbp2",0.370160957473325,"grey",0
"9449","Edrf1",0.196948975144093,"grey",0
"9450","Uros",0.570378867889481,"green",5
"9451","Zfat",-0.116149682654453,"grey",0
"9452","Bccip",0.778362153470616,"turquoise",1
"9453","Dhx32",0.43515184258332,"turquoise",1
"9454","CUNH10orf90",0.766900863796895,"magenta",9
"9455","Dock1",0.292502127066227,"blue",2
"9456","Fam196a",0.662982626711722,"black",7
"9457","Ptpre",0.516220647653873,"magenta",9
"9458","Ebf3",0.807833143738231,"brown",3
"9459","Glrx3",0.735839913890729,"yellow",4
"9460","Ppp2r2d",0.898064344331138,"yellow",4
"9461","Bnip3",0.8771533577049,"turquoise",1
"9462","Jakmip3",0.749238258875274,"tan",12
"9463","Dpysl4",0.703643935811952,"turquoise",1
"9464","Stk32c",0.651575843743898,"turquoise",1
"9465","Pwwp2b",0.484591929257232,"turquoise",1
"9466","Inpp5a",0.626358038007821,"cyan",14
"9467","Nkx6-2",0.555329045034021,"yellow",4
"9468","LOC110597723",0.687226443319002,"red",6
"9469","Adgra1",0.721108051521525,"green",5
"9470","Kndc1",-0.231595944796305,"grey",0
"9471","Tubgcp2",0.77800345126833,"turquoise",1
"9472","St3gal1",0.743021459166108,"grey",0
"9473","Znf511",0.604572623004824,"yellow",4
"9474","Caly",0.879411185164331,"greenyellow",11
"9475","Echs1",0.789755253637847,"turquoise",1
"9476","Paox",0.810681536898053,"magenta",9
"9477","Mtg1",0.700589831232534,"turquoise",1
"9478","Sprn",0.730891674365807,"green",5
"9479","Ndrg1",0.62101539375719,"turquoise",1
"9480","Ercc6l2",0.648974185540908,"salmon",13
"9481","Znf367",0.773312324010881,"salmon",13
"9482","Habp4",0.707671194514695,"turquoise",1
