"","gene","module"
"RALGAPA2_G29428","RALGAPA2_G29428",0
"G29431","G29431",1
"G29432","G29432",5
"NKX2-2_like","NKX2-2_like",1
"G29441","G29441",2
"G29445","G29445",2
"G2945","G2945",0
"G29458","G29458",1
"G29464","G29464",6
"LINC00504_containing","LINC00504_containing",1
"G29481","G29481",1
"G29483","G29483",1
"G29485","G29485",6
"SLC39A14_containing","SLC39A14_containing",1
"B3GNT2","B3GNT2",0
"G29503","G29503",0
"G29504","G29504",1
"G29506","G29506",1
"G29519","G29519",1
"G2952","G2952",3
"LAMP5","LAMP5",2
"NDUFAF5_containing","NDUFAF5_containing",1
"G2953","G2953",3
"G29539","G29539",1
"G29540","G29540",1
"G29542","G29542",0
"G29560","G29560",2
"G29563","G29563",1
"G29565","G29565",1
"G29593","G29593",1
"G2960","G2960",1
"CDK8","CDK8",0
"G29612","G29612",0
"G29613","G29613",0
"G29620","G29620",1
"ATRN_like_G29630","ATRN_like_G29630",1
"G29635","G29635",1
"G29649","G29649",0
"G2965","G2965",10
"G29651","G29651",3
"G29652","G29652",9
"G29654","G29654",9
"G29657","G29657",1
"G29658","G29658",0
"G2966","G2966",0
"G29661","G29661",0
"G29662","G29662",1
"G29664","G29664",2
"G2967","G2967",0
"G29684","G29684",2
"G2969","G2969",0
"G29694","G29694",0
"G29695","G29695",0
"G29696","G29696",1
"G29697","G29697",1
"G29704","G29704",0
"G29710","G29710",1
"G29714","G29714",1
"G29716","G29716",1
"G29720","G29720",3
"G29727","G29727",0
"ZCCHC3","ZCCHC3",1
"G29733","G29733",0
"EIF4G2_G29738","EIF4G2_G29738",0
"G29742","G29742",2
"G29743","G29743",1
"G29756","G29756",2
"G29760","G29760",1
"PDE4D_G2978","PDE4D_G2978",0
"CBFA2T2_like","CBFA2T2_like",0
"G2979","G2979",1
"G29797","G29797",0
"G298","G298",1
"G29804","G29804",3
"G29810","G29810",3
"G29814","G29814",0
"G29827","G29827",3
"G29828","G29828",2
"PDE4D_G2983","PDE4D_G2983",1
"G29830","G29830",1
"G29836","G29836",1
"G2984","G2984",1
"G29845","G29845",0
"G2985","G2985",1
"RNA45SN5","RNA45SN5",0
"G29855","G29855",0
"G2986","G2986",1
"TGIF2_like","TGIF2_like",0
"SCAND1","SCAND1",2
"G2988","G2988",0
"G29880","G29880",0
"G29892","G29892",1
"G299","G299",1
"G29909","G29909",0
"G29910","G29910",0
"G29914","G29914",0
"G29922","G29922",1
"G29930","G29930",0
"G29939","G29939",1
"G29948","G29948",2
"G2995","G2995",1
"G29952","G29952",1
"G29953","G29953",2
"G29961","G29961",0
"G29967","G29967",5
"G29972","G29972",0
"G29977","G29977",3
"G29984","G29984",11
"NXF1_containing","NXF1_containing",10
"VAPB_containing","VAPB_containing",3
"G30002","G30002",11
"G30029","G30029",0
"TAF1A_containing_G30041","TAF1A_containing_G30041",14
"G30044","G30044",0
"G30046","G30046",5
"G3005","G3005",0
"G30053","G30053",4
"G30063","G30063",6
"G30065","G30065",0
"G30066","G30066",4
"G30078","G30078",5
"G3008","G3008",1
"G30087","G30087",3
"G30091","G30091",3
"G30092","G30092",0
"G30094","G30094",0
"G3010","G3010",0
"PARD6B","PARD6B",1
"G30112","G30112",3
"G30128","G30128",4
"TSHZ2_G30132","TSHZ2_G30132",2
"G30133","G30133",4
"G30143","G30143",5
"G30154","G30154",1
"KCNB1_containing_G30156","KCNB1_containing_G30156",3
"G30157","G30157",1
"KCNB1_containing_G30158","KCNB1_containing_G30158",1
"G30175","G30175",2
"G30181","G30181",0
"G30185","G30185",0
"G30188","G30188",0
"G30197","G30197",0
"G30215","G30215",1
"G30227","G30227",7
"SLC12A5","SLC12A5",4
"CDH22","CDH22",0
"G30260","G30260",2
"HMGN2_like_G30265","HMGN2_like_G30265",0
"G30272","G30272",1
"G30297","G30297",1
"G30328","G30328",1
"G3033","G3033",0
"G30337","G30337",8
"G3034","G3034",1
"G30346","G30346",5
"G30348","G30348",6
"EEF1A2_containing","EEF1A2_containing",4
"G3035","G3035",3
"G30359","G30359",2
"G30375","G30375",1
"G30383","G30383",1
"G30384","G30384",1
"G30387","G30387",1
"G30389","G30389",0
"G30472","G30472",4
"G30477","G30477",0
"G3048","G3048",1
"G30496","G30496",1
"G30498","G30498",1
"G30504","G30504",2
"G30506","G30506",1
"G30518","G30518",0
"G30540","G30540",0
"G30541","G30541",0
"G30546","G30546",1
"HCN1_like","HCN1_like",1
"G30564","G30564",2
"G30566","G30566",0
"G30570","G30570",4
"G30576","G30576",3
"G30578","G30578",0
"G30584","G30584",1
"G30586","G30586",2
"G30588","G30588",1
"G30594","G30594",2
"G30595","G30595",2
"G30596","G30596",2
"G30599","G30599",1
"G30605","G30605",1
"G30608","G30608",0
"G3061","G3061",1
"G30610","G30610",0
"G30612","G30612",0
"G30619","G30619",0
"G30620","G30620",0
"G30621","G30621",0
"G30622","G30622",1
"G30638","G30638",1
"G30654","G30654",3
"G30666","G30666",1
"G30667","G30667",4
"G30668","G30668",6
"G30675","G30675",0
"G30680","G30680",0
"G30686","G30686",1
"G30687","G30687",6
"G30690","G30690",0
"G30692","G30692",0
"G30696","G30696",1
"G30707","G30707",2
"G30711","G30711",0
"G30712","G30712",2
"G30723","G30723",0
"G30732","G30732",1
"G30738","G30738",6
"KCNQ3_containing","KCNQ3_containing",2
"G30748","G30748",0
"G30760","G30760",0
"G30763","G30763",0
"G30768","G30768",2
"G3077","G3077",1
"G30782","G30782",3
"BASP1","BASP1",7
"G30796","G30796",1
"G30801","G30801",3
"G30802","G30802",3
"G30807","G30807",3
"G3082","G3082",0
"G30820","G30820",1
"G30822","G30822",1
"G30823","G30823",1
"G3083","G3083",1
"FBXO32_like","FBXO32_like",1
"G3084","G3084",3
"G30840","G30840",5
"G30841","G30841",1
"ZNF723_like","ZNF723_like",1
"G30857","G30857",0
"G30865","G30865",0
"G30868","G30868",0
"G30874","G30874",4
"SAMD12_containing_G30876","SAMD12_containing_G30876",0
"SAMD12_containing_G30878","SAMD12_containing_G30878",4
"MALAT1_containing_G3088","MALAT1_containing_G3088",0
"G30883","G30883",1
"G30885","G30885",1
"G30889","G30889",3
"G3089","G3089",0
"TRPS1","TRPS1",1
"ZNF708_containing_G30901","ZNF708_containing_G30901",0
"G30908","G30908",0
"G30910","G30910",1
"G30916","G30916",0
"G3092","G3092",5
"G30924","G30924",0
"G3093","G3093",5
"G3094","G3094",0
"G30940","G30940",1
"G30941","G30941",1
"G30945","G30945",2
"G3095","G3095",1
"G30955","G30955",0
"G30958","G30958",0
"G30969","G30969",1
"G3097","G3097",1
"G30980","G30980",1
"G30983","G30983",1
"G30984","G30984",1
"PABPC1","PABPC1",4
"G31000","G31000",6
"G31001","G31001",1
"G31002","G31002",5
"G31005","G31005",0
"G31010","G31010",3
"G31011","G31011",8
"G31023","G31023",0
"G31025","G31025",2
"G31029","G31029",0
"UQCRB_containing","UQCRB_containing",0
"G31039","G31039",1
"G31041","G31041",1
"G31043","G31043",1
"G31054","G31054",3
"G31061","G31061",0
"G31069","G31069",0
"G31073","G31073",1
"G31080","G31080",2
"G31081","G31081",0
"G31092","G31092",3
"G31093","G31093",3
"G31094","G31094",3
"G31097","G31097",0
"G311","G311",3
"G31100","G31100",1
"CPNE3","CPNE3",2
"NET1_G3111","NET1_G3111",2
"G31119","G31119",0
"MMP16_like","MMP16_like",1
"MMP16","MMP16",2
"SRSF10_like","SRSF10_like",1
"G31136","G31136",0
"G31138","G31138",3
"TPM3_G31140","TPM3_G31140",0
"G31144","G31144",1
"G31145","G31145",2
"G31146","G31146",1
"G31153","G31153",0
"G31158","G31158",3
"ZBTB10","ZBTB10",1
"G31165","G31165",2
"G31168","G31168",0
"G3117","G3117",6
"G31171","G31171",1
"G31174","G31174",1
"G31177","G31177",3
"CRISPLD1_G31178","CRISPLD1_G31178",0
"G31179","G31179",0
"CRISPLD1_G31181","CRISPLD1_G31181",0
"FAM241A_like_G31182","FAM241A_like_G31182",6
"G31193","G31193",1
"G31196","G31196",1
"G3121","G3121",0
"G31211","G31211",2
"TERF1","TERF1",0
"G31213","G31213",3
"G31223","G31223",0
"G31230","G31230",3
"G31247","G31247",1
"G31248","G31248",0
"G31251","G31251",2
"G31254","G31254",1
"NKAIN3-IT1_containing","NKAIN3-IT1_containing",9
"G31265","G31265",4
"G31266","G31266",4
"CYP7B1_like","CYP7B1_like",4
"G31273","G31273",2
"G31274","G31274",3
"MIR124-2HG_containing","MIR124-2HG_containing",2
"G3128","G3128",3
"VCPIP1_like_G31286","VCPIP1_like_G31286",1
"G3129","G3129",3
"G31298","G31298",1
"NPR3","NPR3",2
"G31300","G31300",1
"G31301","G31301",0
"G31302","G31302",1
"VCPIP1_like_G31304","VCPIP1_like_G31304",1
"G31305","G31305",1
"G31307","G31307",2
"G31308","G31308",2
"G31315","G31315",4
"G31323","G31323",0
"PREX2_containing","PREX2_containing",16
"ARID1A","ARID1A",1
"G31341","G31341",3
"G31352","G31352",0
"G31353","G31353",0
"G31355","G31355",0
"CDH18","CDH18",6
"G31367","G31367",1
"G31374","G31374",4
"G31375","G31375",1
"G31381","G31381",1
"G31386","G31386",0
"G31388","G31388",0
"ST18_G31394","ST18_G31394",0
"CD164_G31395","CD164_G31395",1
"G31396","G31396",2
"G31399","G31399",3
"G31401","G31401",0
"ST18_G31402","ST18_G31402",10
"G31404","G31404",0
"G31408","G31408",1
"SET_G31414","SET_G31414",0
"G31418","G31418",1
"ZNF98_containing_G31423","ZNF98_containing_G31423",0
"UBE2V2_containing","UBE2V2_containing",2
"G31430","G31430",5
"G31432","G31432",0
"G31444","G31444",4
"SNTG1_like","SNTG1_like",3
"G31449","G31449",0
"G31460","G31460",0
"G31467","G31467",2
"G31472","G31472",5
"TMED2_containing","TMED2_containing",5
"G31479","G31479",12
"G3148","G3148",1
"G31480","G31480",3
"G31481","G31481",3
"G31484","G31484",0
"TMED2_G31486","TMED2_G31486",1
"G31492","G31492",0
"G31493","G31493",1
"G31494","G31494",1
"NORAD_G31497","NORAD_G31497",0
"G31506","G31506",1
"G31508","G31508",0
"G31512","G31512",0
"G31518","G31518",1
"PTPN4_containing","PTPN4_containing",0
"G31524","G31524",0
"G31526","G31526",0
"G31537","G31537",0
"G31540","G31540",0
"G31545","G31545",2
"G31549","G31549",1
"G31550","G31550",0
"G31551","G31551",0
"G31553","G31553",2
"G31555","G31555",5
"CNTNAP5_containing","CNTNAP5_containing",4
"G31563","G31563",0
"G31566","G31566",2
"G31571","G31571",0
"SLC35F5_containing","SLC35F5_containing",1
"SS18L2_containing_G31576","SS18L2_containing_G31576",1
"G31577","G31577",4
"G3158","G3158",0
"G31591","G31591",1
"G31597","G31597",0
"G31598","G31598",1
"G31605","G31605",5
"G31614","G31614",10
"G31621","G31621",2
"ANKRD26_containing","ANKRD26_containing",3
"G31628","G31628",2
"G31630","G31630",1
"ATL2","ATL2",2
"THSD7B","THSD7B",6
"G31648","G31648",0
"SPOPL_like","SPOPL_like",1
"G31656","G31656",0
"G31662","G31662",0
"MBD5","MBD5",0
"G3168","G3168",3
"RND3","RND3",1
"G3169","G3169",0
"GTDC1_containing","GTDC1_containing",1
"G31701","G31701",1
"ARL5A_containing","ARL5A_containing",0
"G31706","G31706",1
"G31710","G31710",5
"G31713","G31713",3
"G31721","G31721",5
"G31724","G31724",1
"G3173","G3173",14
"TMEM212_containing","TMEM212_containing",1
"G31732","G31732",0
"G31747","G31747",1
"G31755","G31755",0
"G31763","G31763",3
"PLA2R1_containing","PLA2R1_containing",3
"FIGN","FIGN",1
"G31796","G31796",3
"G31797","G31797",0
"G31800","G31800",6
"G31802","G31802",6
"G31804","G31804",0
"G31806","G31806",0
"G31807","G31807",0
"CSRNP3_like","CSRNP3_like",5
"G31813","G31813",2
"G31818","G31818",3
"G3182","G3182",1
"G31820","G31820",3
"G31832","G31832",0
"PPIG","PPIG",1
"G31848","G31848",1
"G31857","G31857",2
"G31861","G31861",0
"G31862","G31862",8
"CYBRD1","CYBRD1",5
"G31865","G31865",0
"G31866","G31866",4
"G31867","G31867",0
"DCAF17_containing","DCAF17_containing",3
"G31873","G31873",2
"MAP3K20_containing","MAP3K20_containing",2
"G31881","G31881",0
"G31885","G31885",0
"G31886","G31886",0
"SP9_G31888","SP9_G31888",4
"SP3_like","SP3_like",0
"SCN3A","SCN3A",0
"LMBRD2_like","LMBRD2_like",0
"G31901","G31901",0
"G31905","G31905",3
"G31908","G31908",3
"G31909","G31909",0
"LIFR","LIFR",2
"G31929","G31929",1
"G31933","G31933",1
"G31936","G31936",1
"G31937","G31937",1
"G31941","G31941",2
"G31954","G31954",3
"G31955","G31955",1
"G31957","G31957",1
"TTC30B_containing_G31958","TTC30B_containing_G31958",10
"G31960","G31960",0
"G31970","G31970",5
"G31971","G31971",0
"G31972","G31972",2
"G31976","G31976",1
"G31981","G31981",2
"G31983","G31983",1
"G31991","G31991",1
"G31995","G31995",1
"FAM171B","FAM171B",1
"G32000","G32000",3
"KCNQ1OT1_like_G32001","KCNQ1OT1_like_G32001",0
"G32014","G32014",0
"G3202","G3202",0
"G32031","G32031",0
"G3204","G3204",2
"G32045","G32045",0
"G32055","G32055",1
"G32059","G32059",1
"G32060","G32060",0
"G32080","G32080",9
"G32085","G32085",2
"G32092","G32092",1
"G32106","G32106",0
"G3212","G3212",0
"G32123","G32123",0
"G32133","G32133",0
"G32139","G32139",3
"G32147","G32147",2
"G32160","G32160",1
"G32161","G32161",0
"G32166","G32166",1
"G3217","G3217",5
"G32172","G32172",0
"G32182","G32182",13
"NBEAL1_containing","NBEAL1_containing",3
"G32186","G32186",0
"NRP2_containing","NRP2_containing",0
"KLF7","KLF7",0
"G32218","G32218",2
"G32238","G32238",0
"PLCXD3_like","PLCXD3_like",0
"G32242","G32242",7
"G32266","G32266",0
"G32279","G32279",3
"G3228","G3228",2
"IKZF2","IKZF2",3
"G32290","G32290",6
"G32294","G32294",0
"G32311","G32311",2
"G32312","G32312",4
"G32314","G32314",5
"G32328","G32328",5
"ERBB4_like","ERBB4_like",5
"G32331","G32331",16
"PREX2","PREX2",16
"G32335","G32335",17
"G32337","G32337",2
"ZNF207_like","ZNF207_like",3
"G32341","G32341",1
"G32343","G32343",3
"G32344","G32344",0
"G32347","G32347",0
"G32348","G32348",1
"ROR1-AS1_like_G32352","ROR1-AS1_like_G32352",0
"G32356","G32356",16
"G32357","G32357",16
"GRK6_like","GRK6_like",4
"G32366","G32366",0
"G3237","G3237",0
"LANCL1_like","LANCL1_like",16
"G324","G324",0
"RNF11_G3240","RNF11_G3240",0
"G32406","G32406",6
"G3244","G3244",3
"G32446","G32446",0
"G32449","G32449",4
"G32463","G32463",0
"G32465","G32465",0
"G32474","G32474",0
"DAB2","DAB2",12
"G32484","G32484",1
"G32501","G32501",1
"G3251","G3251",1
"G32521","G32521",0
"G32525","G32525",1
"G32535","G32535",0
"G32536","G32536",1
"G32544","G32544",0
"G32545","G32545",1
"G32554","G32554",1
"ANKH_containing","ANKH_containing",0
"G32564","G32564",1
"NCL_containing","NCL_containing",0
"POLE3_containing","POLE3_containing",4
"G32589","G32589",0
"G32610","G32610",1
"G32619","G32619",3
"G32649","G32649",0
"G32652","G32652",3
"G32664","G32664",2
"G32670","G32670",3
"G32672","G32672",0
"G32677","G32677",1
"G32689","G32689",1
"G32691","G32691",0
"G32692","G32692",0
"G32696","G32696",1
"G32707","G32707",8
"G32712","G32712",5
"G32716","G32716",0
"G32718","G32718",8
"G32719","G32719",8
"G32720","G32720",1
"G32721","G32721",1
"G32722","G32722",2
"G32726","G32726",1
"G32738","G32738",3
"G32739","G32739",5
"G32753","G32753",0
"G32757","G32757",3
"G32760","G32760",0
"G32763","G32763",1
"G32768","G32768",0
"ING5_containing_G32775","ING5_containing_G32775",1
"G32776","G32776",2
"G32777","G32777",1
"G32778","G32778",0
"G32780","G32780",2
"G32782","G32782",3
"G32786","G32786",3
"G32787","G32787",3
"G32794","G32794",0
"G32827","G32827",1
"G32853","G32853",1
"RPS27A_like","RPS27A_like",2
"G32870","G32870",1
"G32871","G32871",0
"G32875","G32875",1
"G32880","G32880",2
"G32886","G32886",1
"G3289","G3289",1
"G32912","G32912",1
"G32915","G32915",2
"G32916","G32916",13
"G32917","G32917",13
"G32919","G32919",4
"G32934","G32934",1
"G32938","G32938",1
"G32959","G32959",2
"G32960","G32960",2
"G32961","G32961",4
"G32965","G32965",0
"G32969","G32969",14
"CYCS_G32971","CYCS_G32971",2
"G32982","G32982",2
"G32985","G32985",3
"G3299","G3299",0
"G32993","G32993",3
"G32996","G32996",2
"G33005","G33005",1
"G33021","G33021",1
"G33029","G33029",3
"G33030","G33030",3
"G33032","G33032",1
"G33043","G33043",2
"G33059","G33059",1
"MXRA7_containing","MXRA7_containing",0
"G33078","G33078",0
"G33083","G33083",0
"RPS12_like_G33084","RPS12_like_G33084",2
"G33086","G33086",0
"G33097","G33097",1
"G33108","G33108",1
"G3311","G3311",3
"G33112","G33112",0
"ANKRD33B_containing","ANKRD33B_containing",0
"G33128","G33128",0
"G3313","G3313",1
"G33135","G33135",0
"UNK_containing_G33143","UNK_containing_G33143",1
"G33144","G33144",1
"ZNF706_G3316","ZNF706_G3316",0
"G33167","G33167",1
"G33171","G33171",11
"G33174","G33174",6
"G33182","G33182",2
"G33193","G33193",3
"G33200","G33200",3
"G33201","G33201",2
"G33229","G33229",8
"G33235","G33235",3
"G33242","G33242",3
"G33245","G33245",3
"SOX9","SOX9",1
"G33265","G33265",1
"G33269","G33269",2
"G33270","G33270",3
"G33280","G33280",0
"G33293","G33293",2
"G33303","G33303",1
"PRKCA_like","PRKCA_like",5
"G33305","G33305",1
"G33312","G33312",4
"SLC16A6_like","SLC16A6_like",3
"G33320","G33320",0
"SMURF2_containing","SMURF2_containing",3
"G33329","G33329",0
"G33346","G33346",0
"G33349","G33349",3
"G33359","G33359",1
"G3337","G3337",0
"ITGB3_like","ITGB3_like",0
"G33414","G33414",0
"GJC1_containing","GJC1_containing",0
"FZD2_containing","FZD2_containing",5
"G3344","G3344",1
"G33442","G33442",1
"G33453","G33453",1
"G3348","G3348",0
"G33486","G33486",1
"G33510","G33510",1
"STAT3","STAT3",6
"G3353","G3353",2
"G33548","G33548",0
"G33553","G33553",3
"G3356","G3356",3
"G33597","G33597",0
"G3360","G3360",3
"G33632","G33632",3
"G3364","G3364",0
"G33640","G33640",0
"FBXL20_like","FBXL20_like",3
"G33656","G33656",0
"G33669","G33669",2
"G33671","G33671",1
"SRCIN1","SRCIN1",5
"ARHGAP23_like","ARHGAP23_like",11
"G33687","G33687",2
"G3369","G3369",2
"SNX11_containing","SNX11_containing",3
"G33764","G33764",1
"G33788","G33788",2
"G33789","G33789",2
"G33792","G33792",0
"G33794","G33794",0
"G33796","G33796",0
"G33798","G33798",5
"LUC7L3_like","LUC7L3_like",1
"G33833","G33833",0
"G33839","G33839",0
"G33840","G33840",0
"G33852","G33852",3
"ANKFN1_like","ANKFN1_like",5
"G33860","G33860",1
"G33867","G33867",3
"DGKE_like_G33871","DGKE_like_G33871",2
"AKAP1_like","AKAP1_like",1
"G33885","G33885",0
"G33886","G33886",1
"G33889","G33889",1
"G33894","G33894",1
"G33898","G33898",0
"G33905","G33905",2
"G33909","G33909",3
"G3391","G3391",0
"G33927","G33927",0
"G33929","G33929",2
"WWC3_containing","WWC3_containing",1
"GDPD1_like","GDPD1_like",0
"MID1_like","MID1_like",3
"G33941","G33941",2
"G33943","G33943",0
"G33946","G33946",3
"VMP1_containing","VMP1_containing",1
"G33949","G33949",1
"ARHGAP6_G3395","ARHGAP6_G3395",2
"MED13_like","MED13_like",6
"G33958","G33958",6
"MED13","MED13",1
"G33970","G33970",1
"BTF3_G33971","BTF3_G33971",2
"G33977","G33977",1
"HCCS_like_G3398","HCCS_like_G3398",1
"G33983","G33983",2
"G33990","G33990",0
"G33993","G33993",0
"G34015","G34015",1
"FRMPD4_G3402","FRMPD4_G3402",1
"G34025","G34025",1
"G34031","G34031",0
"G34042","G34042",2
"G34043","G34043",2
"G34045","G34045",0
"G34055","G34055",14
"G34058","G34058",2
"G34059","G34059",2
"EGFL6","EGFL6",1
"ASIC2","ASIC2",0
"G3407","G3407",1
"G34078","G34078",0
"G34079","G34079",0
"G34081","G34081",1
"G34082","G34082",3
"TRAPPC2B","TRAPPC2B",0
"G34096","G34096",0
"TCEANC_containing","TCEANC_containing",1
"G34103","G34103",0
"G34107","G34107",1
"G34111","G34111",0
"G34113","G34113",1
"G34117","G34117",2
"GLRA2_G3412","GLRA2_G3412",4
"GLRA2_G3413","GLRA2_G3413",2
"KSR1_containing_G34132","KSR1_containing_G34132",1
"KCTD5","KCTD5",0
"GLRA2_like","GLRA2_like",4
"G34142","G34142",0
"OFD1_like","OFD1_like",0
"TMSB4X_G3417","TMSB4X_G3417",10
"G3419","G3419",3
"G34192","G34192",1
"FAM222B","FAM222B",1
"NUFIP2_G34194","NUFIP2_G34194",1
"ARHGAP6_G3421","ARHGAP6_G3421",2
"G34213","G34213",5
"MIR22HG_containing","MIR22HG_containing",0
"G34243","G34243",1
"G34244","G34244",2
"GEMIN8_like","GEMIN8_like",2
"G34261","G34261",3
"CA5B","CA5B",0
"G34272","G34272",6
"RAP1GAP2","RAP1GAP2",0
"HMGB1_G34277","HMGB1_G34277",0
"G34278","G34278",0
"CLTRN_like","CLTRN_like",3
"G34280","G34280",15
"G3432","G3432",1
"NLGN2_containing","NLGN2_containing",1
"G34330","G34330",1
"G3434","G3434",10
"G34340","G34340",0
"G3435","G3435",4
"G34359","G34359",1
"ZRSR2_containing","ZRSR2_containing",1
"G34364","G34364",0
"G34371","G34371",1
"G34385","G34385",0
"G3439","G3439",1
"RPL37A_containing_G34396","RPL37A_containing_G34396",2
"G3441","G3441",0
"GRPR_like","GRPR_like",2
"G34421","G34421",0
"G34428","G34428",1
"ZRSR2_like","ZRSR2_like",1
"G34431","G34431",0
"G34434","G34434",14
"G34448","G34448",0
"SHISA6","SHISA6",2
"PIGA","PIGA",8
"G34464","G34464",1
"G3448","G3448",0
"G34488","G34488",3
"REPS2_like","REPS2_like",4
"G34503","G34503",1
"G34507","G34507",3
"G34509","G34509",1
"GPM6B_like","GPM6B_like",8
"G34511","G34511",1
"G34519","G34519",1
"NHS_G3452","NHS_G3452",2
"EIF4G2_G34539","EIF4G2_G34539",3
"NDUFAF6_containing","NDUFAF6_containing",3
"G34551","G34551",1
"G34553","G34553",2
"G34586","G34586",3
"NHS_G3460","NHS_G3460",0
"G34602","G34602",2
"G34606","G34606",1
"G34610","G34610",2
"G34614","G34614",1
"G34622","G34622",2
"G3463","G3463",0
"G34633","G34633",4
"G34634","G34634",0
"G34654","G34654",0
"PIR_like","PIR_like",1
"G34674","G34674",3
"G34676","G34676",6
"PPEF1_like","PPEF1_like",1
"G34682","G34682",2
"G34687","G34687",3
"CDKL5_containing","CDKL5_containing",1
"G34693","G34693",1
"G34695","G34695",3
"G34696","G34696",6
"G34698","G34698",2
"RAI2","RAI2",0
"G34710","G34710",2
"RBBP7","RBBP7",2
"G34734","G34734",0
"BAG4","BAG4",5
"G34742","G34742",0
"KCNJ12_containing","KCNJ12_containing",3
"CBLN4","CBLN4",4
"AP1S2","AP1S2",2
"G34750","G34750",0
"G34754","G34754",4
"G34756","G34756",4
"G34769","G34769",0
"G34772","G34772",2
"G34789","G34789",0
"G348","G348",0
"G3480","G3480",1
"CNKSR2_G3482","CNKSR2_G3482",0
"G34822","G34822",1
"G34824","G34824",3
"G34848","G34848",4
"DOCK3","DOCK3",3
"G34856","G34856",1
"CTPS2_like","CTPS2_like",2
"G3487","G3487",1
"RAD54L2_containing","RAD54L2_containing",2
"G34876","G34876",4
"TMA7_containing","TMA7_containing",1
"G34886","G34886",3
"G34888","G34888",1
"DUSP7_G34889","DUSP7_G34889",1
"G34899","G34899",1
"G34900","G34900",3
"G34911","G34911",1
"PDHA1_containing","PDHA1_containing",1
"CS_like","CS_like",1
"G34922","G34922",3
"G34924","G34924",1
"G34932","G34932",2
"G34940","G34940",0
"G34945","G34945",3
"G34946","G34946",3
"G34954","G34954",0
"G34955","G34955",1
"G34956","G34956",1
"G34957","G34957",1
"G34960","G34960",1
"G34967","G34967",16
"SLC35G2_containing_G34970","SLC35G2_containing_G34970",14
"G34972","G34972",3
"G34977","G34977",16
"G34981","G34981",1
"G34984","G34984",1
"G34987","G34987",0
"ARMC8_like","ARMC8_like",2
"G34990","G34990",0
"G34994","G34994",0
"G3500","G3500",6
"G35011","G35011",0
"G35014","G35014",2
"PTCHD1_like","PTCHD1_like",0
"SLC25A36_like","SLC25A36_like",0
"CLSTN2_containing","CLSTN2_containing",4
"G35027","G35027",1
"G35033","G35033",5
"G35037","G35037",0
"G35042","G35042",2
"G35044","G35044",2
"G35046","G35046",6
"G35047","G35047",5
"G35049","G35049",1
"G3505","G3505",6
"G35058","G35058",3
"TERF1_like","TERF1_like",2
"G35060","G35060",0
"TRPC1","TRPC1",0
"G35068","G35068",1
"G35070","G35070",3
"G35071","G35071",2
"G35074","G35074",2
"PDK3_like","PDK3_like",15
"G35082","G35082",0
"G35083","G35083",0
"MAP3K15","MAP3K15",5
"G35091","G35091",0
"G35094","G35094",1
"G35108","G35108",1
"G35113","G35113",0
"ZIC1","ZIC1",0
"G35118","G35118",1
"G3512","G3512",17
"G35123","G35123",0
"G35125","G35125",1
"G35127","G35127",0
"G35134","G35134",0
"G35146","G35146",0
"G35148","G35148",5
"G3516","G3516",17
"G35162","G35162",2
"NORAD_containing","NORAD_containing",1
"G35164","G35164",0
"G35166","G35166",1
"G35167","G35167",2
"G3517","G3517",1
"G35170","G35170",2
"G35171","G35171",0
"G35172","G35172",2
"G35173","G35173",1
"G35174","G35174",2
"G35175","G35175",0
"BCL2L1_G35189","BCL2L1_G35189",2
"G352","G352",0
"G35201","G35201",1
"G35202","G35202",2
"SERP1_like","SERP1_like",2
"SERP1","SERP1",3
"G35211","G35211",5
"G35213","G35213",0
"G35215","G35215",5
"PHKA2_like","PHKA2_like",4
"G35221","G35221",1
"PFN2_containing","PFN2_containing",1
"G35229","G35229",0
"FTH1_like","FTH1_like",0
"KPNA4_containing","KPNA4_containing",1
"G35240","G35240",0
"G35244","G35244",11
"PCNP_like_G35246","PCNP_like_G35246",2
"G35250","G35250",1
"G35251","G35251",3
"G35252","G35252",0
"MED12L_containing","MED12L_containing",1
"G35257","G35257",0
"G35268","G35268",1
"G35271","G35271",0
"G35279","G35279",0
"G35280","G35280",1
"G35285","G35285",5
"G35288","G35288",2
"G35295","G35295",1
"G35297","G35297",0
"G35301","G35301",0
"PRKCI","PRKCI",0
"G35309","G35309",1
"PHC3_containing","PHC3_containing",0
"G35335","G35335",2
"NLGN1_containing","NLGN1_containing",5
"NLGN1_G35345","NLGN1_G35345",5
"LZIC_containing","LZIC_containing",0
"TBL1XR1","TBL1XR1",3
"G3536","G3536",0
"GNB4","GNB4",3
"G35368","G35368",0
"ACTL6A","ACTL6A",0
"SOX2-OT_G35388","SOX2-OT_G35388",8
"FXR1_containing","FXR1_containing",3
"G35392","G35392",4
"G35393","G35393",4
"G35394","G35394",0
"G35396","G35396",4
"G35398","G35398",0
"G3540","G3540",3
"G35402","G35402",4
"G35404","G35404",1
"G35407","G35407",4
"G35412","G35412",1
"IL1RAP_containing","IL1RAP_containing",2
"G35418","G35418",0
"G35419","G35419",0
"SPIRE2_G35422","SPIRE2_G35422",0
"G35432","G35432",9
"G35434","G35434",17
"G35442","G35442",0
"G3545","G3545",6
"G35463","G35463",11
"G35473","G35473",1
"G35482","G35482",0
"G35484","G35484",0
"RBM20_like","RBM20_like",1
"G3550","G3550",4
"G35501","G35501",15
"HSF2","HSF2",0
"G35507","G35507",0
"G35514","G35514",0
