unique_gene_symbol,hy_imp,med_imp,fore_imp,hy_rank,med_rank,fore_rank
Ubxn4,4.092108077962802e-4,1.3057591836312878e-4,1.8945284370590478e-4,1,2312,1486
Gria3,4.08958688983332e-4,3.05274488643309e-4,2.6828634776201847e-4,2,211,727
HIST2H2BE_containing_gene13999,4.079425269640837e-4,1.1577729444490086e-4,0,3,2825,12501
Grm5,4.078246906404451e-4,2.9591132796737665e-5,2.6299062246360854e-4,4,8901,1012
LOC110597502,4.0770728438429963e-4,8.548786283967745e-5,3.277333345180091e-4,5,3875,137
Tmem198,4.074873113754796e-4,4.814182856526842e-5,1.353792113993842e-4,6,6564,2388
MIR124-2HG_containing,4.074084306951078e-4,3.0125849403512183e-4,1.51736486486171e-4,7,233,2033
Kcnd2,4.073766117270106e-4,8.075753133737361e-5,1.9297470359216153e-4,8,4162,1446
Sorcs2,4.0735500833138997e-4,2.889117064556181e-4,1.272912831843678e-4,9,521,2613
LOC110596965,4.0723942852341504e-4,0,2.7836282596901496e-4,10,12575.5,425
Mbnl2,4.071732066111216e-4,1.1592826963642075e-4,2.7930931489176375e-4,11,2822,408
Dscam,4.068338253577478e-4,4.767996222443254e-5,1.7613667594032587e-4,12,6617,1625
Fzd2,4.0682450309667843e-4,7.22976644527193e-5,3.457360900691519e-4,13,4674,70
Wwtr1,4.0653943719531096e-4,2.8268090643363095e-4,2.288141723231614e-4,14,756,1143
Slc41a1,4.0653906189277186e-4,1.5625787384270577e-4,1.7485595792896268e-4,15,1714,1643
Slc6a11,4.064626194959474e-4,3.720042580157792e-4,2.041504246521051e-4,16,12,1289
Brox,4.064361144928004e-4,2.9093433886097494e-4,1.1022337355173096e-4,17,451,3086
Tbkbp1,4.064333883647813e-4,1.1461801809710551e-4,1.275998771215167e-4,18,2862,2607
RBBP7,4.064184579423128e-4,1.9845577958434488e-4,2.731182922711408e-5,19,1146,8685
Astn2,4.0629219282428697e-4,2.4999516308323077e-4,2.336911256269636e-4,20,823,1126
Ntm,4.0615004873110935e-4,2.900166154703143e-4,1.7109593586469874e-4,21,473,1742
Sez6l,4.0611267489357747e-4,1.5181837732378806e-4,3.18760399783325e-4,22,1818,172
G21460,4.057945515249221e-4,9.821826340197163e-5,2.4434305900015193e-4,23,3340,1077
Ctnna2,4.057528338520552e-4,1.41112134688266e-4,2.9141875268554523e-4,24,2088,292
GLRA2_like,4.0562434542140414e-4,0,2.652499500215193e-4,25,12575.5,935
Lingo2,4.05377073961699e-4,1.2484421367369914e-4,2.1724251983058594e-4,26,2512,1197
Sesn3,4.0527199265643954e-4,6.7192372864532e-5,5.934851802790048e-5,27,4977,5281
Chtop,4.0484799685497065e-4,1.8243324010920473e-4,2.7209337395445643e-4,28,1429,586
Kpna4,4.043535018995167e-4,8.87396834914621e-5,1.3928274370180366e-5,29,3701,11298
Mtpn,4.041441950367987e-4,2.175934300079355e-4,1.2652920474037836e-4,30,1007,2634
Ccdc85a,3.66375907575336e-4,3.098268946505411e-5,2.6556221726484723e-4,31,8665,905
Lrp4,3.657378293243919e-4,3.763045557668383e-5,7.000735138942658e-5,32,7721,4629
Cenpj,3.6538834778910195e-4,3.7521006538074103e-4,1.7453253196530826e-4,33,9,1650
Ttc7b,3.6468887662771275e-4,1.5206185564941045e-4,1.9146006944335036e-4,34,1806,1470
Kif21b,0.00036375324213926055,8.832664866633987e-5,2.4324850299311036e-5,35,3726,9225
Frmd8,3.6335654978507647e-4,3.1448855675899647e-4,0,36,132,12501
Rims4,3.554410341354938e-4,8.660980471444558e-5,3.279832978007619e-5,37,3808,7805
LOC101977304,3.5365581911135456e-4,2.7561965421596825e-5,3.389041874084256e-4,38,9236,128
Slit1,3.526647175695192e-4,5.091209741064921e-5,1.2335207973718595e-4,39,6263,2714
Bex4,3.519525957692368e-4,4.537400984663587e-4,2.064883022068534e-4,40,1,1265
Clasp2,3.5163959567017535e-4,7.333388930946263e-5,8.167094014183796e-5,41,4621,4022
Nrep,3.51458756448313e-4,2.305710807094826e-4,3.090035183611345e-4,42,886,192
Nrxn3,3.514151557044895e-4,8.595625790752321e-5,2.6839435363613175e-4,43,3843,725
Kdsr,3.508477739470742e-4,6.417510976576852e-5,2.7431960354886955e-4,44,5175,489
Dzip1,3.5028836911425173e-4,2.7386663888017397e-4,3.3934739653565147e-4,45,769,122
GLRA2_G3412,3.495146801983786e-4,0,0,46,12575.5,12501
Lamc1,3.4939549651963044e-4,1.0635517180372287e-4,9.623552274485977e-5,47,3080,3533
Thtpa,3.490619935113551e-4,2.850896827996056e-4,1.4365961916234003e-4,48,730,2161
LINC00599_containing,3.482264899236156e-4,2.867864885200606e-4,1.3765388333489048e-4,49,645,2317
Atp1b2,3.479171794900351e-4,3.734600060082286e-4,3.3608851324647897e-5,50,10,7705
Mtss1l,3.468243555408856e-4,0.00028653074262681005,2.119149117696872e-4,51,661,1222
Arhgdig,3.466616194876183e-4,9.000525172060061e-5,3.4115324068680097e-4,52,3649,108
Nrarp,3.4663857526822593e-4,1.8292290866600853e-4,2.5646369895026216e-4,53,1423,1043
Plrg1,3.465358431736983e-4,1.2137199996265774e-4,2.8592882275054187e-4,54,2663,345
S1pr1,3.465139569186877e-4,1.8589325535277199e-4,1.1793086967383027e-4,55,1373,2873
Trim28,3.460484257843647e-4,1.299576353016403e-4,1.9481631125161565e-4,56,2329,1405
Cacng7,3.457476974034872e-4,7.251388783572627e-5,2.74595083234415e-4,57,4663,478
Ago2,3.450358780288253e-4,7.243148838556095e-5,1.2320589902664226e-4,58,4668,2718
Taf8,3.44389313391499e-4,1.3094542957334574e-4,7.509143673063468e-5,59,2302,4322
Unc119b,3.4428013339528357e-4,9.656421672516904e-5,1.5565759353785647e-4,60,3398,1986
MEG3_containing,3.439235331728764e-4,8.515909183209281e-5,9.171831905296991e-5,61,3899,3661
Csnk1a1,3.435110974246356e-4,1.552157319721002e-4,1.5406530001596668e-4,62,1745,2005
Fam57a,3.434908516223499e-4,9.71366499850676e-5,2.644771451239303e-4,63,3378,969
Rps6kl1,3.434332596368172e-4,3.0762027388610595e-4,3.5483178617861896e-4,64,189,52
Unc13c,3.433354905168794e-4,2.9064149290653835e-4,2.7277324139793563e-4,65,460,553
Ldha,3.4328724215849406e-4,2.904175902007642e-4,3.7993389321946865e-4,66,465,23
LOC101960968,3.4318708826452796e-4,9.181698598796548e-5,6.786841035317364e-5,67,3566,4741
Kcnc2,3.431369329017929e-4,1.4536602290756865e-4,2.694041435231819e-4,68,1973,681
Klhl21,3.4287015728033204e-4,3.6164497261373434e-4,2.7461461544194855e-4,69,40,477
CUNH11orf49,3.4269235530858655e-4,2.9218819484630584e-4,3.4200129205097426e-4,70,407,97
Kdm3a,3.419883917158455e-4,2.9311753017301694e-4,4.367549244372604e-4,71,367,7
Rnpep,3.419371278855502e-4,1.5733148109633275e-4,1.5684352418055938e-4,72,1691,1963
Bmt2,3.409333573856144e-4,1.4418028326828865e-4,1.7768376894999982e-4,73,2006,1604
Plpp3,3.409323908493382e-4,2.858173601939849e-4,3.199822909026144e-4,74,702,166
RAP1B,3.402605471251813e-4,2.0360028386146728e-4,1.5918198148904815e-4,75,1106,1932
CBLN4,3.391183799745106e-4,0,0,76,12575.5,12501
Acan,3.3899108810660217e-4,3.7325924574871876e-5,0,77,7754,12501
Kat5,3.3858430820926454e-4,1.1540776871273568e-4,1.2112539489148018e-4,78,2836,2778
Plod2,3.3732843867377414e-4,9.50472022912913e-5,3.365709038039327e-5,79,3454,7696
Amd1,3.372671894372744e-4,2.925928593117338e-4,1.8681502821488863e-4,80,385,1510
CACNA1C_containing_gene16475,3.353163475198368e-4,2.451460418082359e-4,0,81,839,12501
Piezo1,3.352745101291478e-4,8.726766046650533e-5,2.6953407908372566e-4,82,3765,676
Apmap,3.3464150480238045e-4,2.6330017859805178e-5,2.6394520814820685e-5,83,9459,8854
Ncoa6,3.329387595825834e-4,3.5967383108548805e-4,6.231697065678886e-5,84,54,5081
Cachd1,3.316567501065079e-4,1.688691268948333e-4,1.5513958875482056e-5,85,1536,10917
Arpc1b,3.306276748981468e-4,1.1003718577991693e-4,1.7266169347633745e-4,86,2973,1698
Mmp15,3.3062113344121215e-4,3.006966753412157e-4,1.8901335533648633e-5,87,237,10173
SHC3_containing,3.3031974333905354e-4,2.1764800166484055e-4,1.107011875045582e-4,88,1006,3076
UBE2QL1_containing,3.2953773894410277e-4,1.0890453693069972e-4,7.380519778148892e-5,89,3006,4388
Axl,3.288804240059983e-4,3.202919756406544e-4,5.309824663482813e-5,90,105,5718
Frat2,3.259907316813777e-4,2.8567915916868534e-4,7.547931329160459e-5,91,705,4299
ZNF311_like,3.2593135859870196e-4,1.3837476610514292e-4,1.0604408481002549e-4,92,2146,3241
Sh3d19,3.252068625673165e-4,2.9962534124906534e-5,1.6373137151062263e-5,93,8833,10733
Slc1a3,3.24931615899097e-4,3.121394665976319e-4,3.2200949528354534e-5,94,156,7904
Tceal7,3.243635470332888e-4,3.8783562409696936e-5,1.545599354320806e-5,95,7555,10937
STMP1_like_gene15128,3.243582688459489e-4,1.993036617528294e-4,1.1433033378135057e-4,96,1138,2979
Asic1,3.2424800641439665e-4,5.08969836773909e-5,5.247315248591241e-5,97,6267,5766
Fuca1,3.2405683097297167e-4,1.6446407272028725e-4,9.752752248729672e-5,98,1570,3497
Lgi4,3.238706698209227e-4,4.923829526672832e-5,2.020929874220458e-4,99,6441,1319
Tbc1d9b,3.231725175635509e-4,3.128283101722351e-5,7.5666189832914e-5,100,8614,4291
Inpp5e,3.2301704955600837e-4,1.996806674831679e-4,2.8634286128211555e-5,101,1132,8469
Cdk2ap2,3.2290950610847443e-4,2.3324935907374422e-4,1.8959512190238158e-4,102,878,1485
Timp1,3.22529862781696e-4,5.2872426379651575e-5,0,103,6091,12501
Surf4,3.21956539108514e-4,3.2938553669508927e-4,3.1988440201602706e-4,104,84,167
MIGA1_containing,3.218108662342827e-4,1.235758669049997e-5,2.1018292815724265e-5,105,11930,9771
Mcfd2,3.2177059433843977e-4,1.4866277841943913e-4,2.9449637700070707e-4,106,1892,261
Lamp5,3.206067584908865e-4,1.255144030836617e-4,1.1063038223341527e-5,107,2488,11762
Hnrnpf,3.205677565305572e-4,3.495405378222333e-4,2.9608890980539705e-4,108,60,241
G7157,3.204156044786782e-4,1.2510195774793436e-5,2.118458043319179e-5,109,11917,9742
Kifc2,3.203637867761228e-4,2.233259647631017e-4,2.5190309293041466e-4,110,949,1052
Rnft2,3.2034451406420475e-4,1.968578312822523e-4,2.6252811465950915e-4,111,1169,1020
Ggt7,3.20170376696778e-4,1.1837474878275607e-4,2.562488967354038e-4,112,2762,1045
Srsf3,0.00032013765838505846,1.9078895191488787e-4,7.552006277024238e-5,113,1265,4296
Begain,3.2000992826147404e-4,2.9150573621511883e-5,3.3261163433298706e-5,114,8982,7749
Ctnnbip1,3.200064777270208e-4,2.9494224039798838e-5,2.1951282194809817e-5,115,8917,9616
Col15a1,3.196418858661627e-4,4.931748088052594e-5,3.3926791629055035e-4,116,6435,124
Ubap2l,3.1955180568180106e-4,2.907580445302107e-4,2.0130942379773675e-4,117,457,1323
Ppt2,3.194363352897329e-4,5.279097918274451e-5,7.044142349075556e-5,118,6101,4598
GCNT2_like_gene10637,0.00031918658558724564,3.338522321958772e-5,9.98688126161681e-5,119,8297,3432
Fam19a5,3.1913465259559843e-4,2.2054130235027672e-4,6.189195424449131e-5,120,977,5106
Sipa1l1,3.190859691714225e-4,1.59996359203833e-5,2.2164341646113347e-5,121,11373,9586
Epas1,3.1893031059855245e-4,3.027945231916506e-4,2.9573466936285603e-5,122,223,8296
Gpr17,3.1887287382511523e-4,1.791810074544456e-4,9.855466532806063e-6,123,1451,11864
Nek4,3.187458289473471e-4,3.119459444442451e-5,3.3855331582018055e-5,124,8630,7666
Large1,3.1829621140766896e-4,1.8769970979256993e-4,1.3803138352036897e-4,125,1345,2303
Dpf1,3.1813981378378444e-4,1.5812169692025043e-5,4.1050565384916864e-5,126,11406,6810
Tspan7,3.180744469334617e-4,1.0220953454330025e-4,2.4646612392083625e-4,127,3191,1067
Mindy4,3.1751122352138237e-4,7.325942962429743e-5,6.733687937902696e-5,128,4628,4768
Entpd6,3.17372709417821e-4,1.0080639689295193e-4,4.230698927396915e-5,129,3233,6677
Kcnab2,3.172054707311675e-4,1.878520806541701e-4,2.967275863420897e-4,130,1342,234
Trrap,3.170303215556243e-4,4.088822029597057e-5,8.07656178827933e-5,131,7304,4063
Rhpn2,3.163941437249455e-4,1.0521446876744825e-4,1.399658829961375e-4,132,3100,2247
Cbln1,3.1634425044425695e-4,1.6591958850525345e-4,3.3332624362537934e-5,133,1557,7734
OXT_gene4374,3.1599461575093884e-4,0,0,134,12575.5,12501
Msrb2,3.1583066632121404e-4,1.1312544816825451e-4,1.1483081237908476e-4,135,2894,2968
Nes,3.1559756185364226e-4,2.4946186525931936e-5,1.7183537460986682e-4,136,9674,1721
Sec63,3.1550443961420504e-4,2.157815538095746e-5,8.465853748463787e-5,137,10282,3906
TRAK1_containing,3.152871985782712e-4,3.8557736945350044e-5,9.503440745929224e-5,138,7591,3562
Fezf1,3.1528260198142847e-4,0,0,139,12575.5,12501
Syngr3,3.151906269891785e-4,6.872011327389537e-5,2.6667053991944573e-4,140,4893,821
Ssr4,3.151789104474831e-4,7.652011577099683e-5,6.55404196439104e-5,141,4428,4876
Sirpa,3.148309551668848e-4,1.5085727094837892e-4,1.1399250947178863e-4,142,1834,2985
Mpdu1,3.1482919022504766e-4,2.876916752812354e-4,2.86204169538469e-4,143,590,338
Flot1,3.1459167499424997e-4,1.0102437026971044e-4,2.7707095366458114e-4,144,3223,440
Acyp2,3.144549902308457e-4,3.230509322939073e-5,1.4357753911392848e-5,145,8464,11183
Enox1,3.144210496365967e-4,9.737332283664052e-5,2.521491793430678e-4,146,3367,1050
Akap13,3.142576060466782e-4,5.846744792554886e-5,7.923398734301195e-5,147,5572,4122
Gria1,3.142125544771321e-4,3.0503805130280797e-5,2.7372025157294566e-4,148,8751,518
NUDT3_like,3.1420235376786556e-4,1.5523851706265775e-4,2.723836623384269e-5,149,1744,8696
Pdzrn4,3.141247857892727e-4,7.148445121478894e-5,1.5882864665267813e-5,150,4725,10832
Ttc14,3.1372546182520833e-4,2.952023819495126e-4,3.744114509814829e-4,151,303,39
ANXA8_like,3.136354459439362e-4,8.166446817776452e-5,3.563243666074093e-5,152,4104,7409
Trio,3.136214160631429e-4,2.0856515790397922e-4,1.9984508059793984e-4,153,1070,1342
Evl,3.134442293596173e-4,1.185910233058876e-4,2.701463367136145e-4,154,2755,659
Mcf2l2,3.1343451670920225e-4,2.88664526667832e-4,2.7444498397512907e-4,155,538,486
G39192,3.133958229669301e-4,0,8.471989467743899e-5,156,12575.5,3903
CUNH11orf98,3.1330313364340365e-4,2.8618407000668565e-4,5.6989199132647064e-5,157,683,5440
Ipo5,3.1323774147668627e-4,8.584462065979728e-5,8.288597612563593e-5,158,3851,3975
Crim1,3.1320960288764736e-4,6.072340060198427e-5,1.3109585046971396e-4,159,5398,2515
Lhpp,3.132041870394162e-4,2.7247353995905665e-4,2.933858723807422e-4,160,772,276
Mlc1,3.131322727058925e-4,2.94566896690449e-4,2.7494583451298754e-4,161,317,473
Dagla,3.13057185830646e-4,2.040405469300732e-5,3.2211008155926916e-5,162,10534,7899
Gfod1,3.129265966911449e-4,1.3177652509801846e-5,1.1325768771328465e-4,163,11829,3008
Hipk3,3.1288824635520337e-4,1.7686435398162863e-5,5.8506948298767784e-5,164,11083,5332
Clstn2,3.128822634321735e-4,4.948588552806898e-5,3.670009119050652e-5,165,6415,7269
MYH7_gene21183,3.127568298388283e-4,0,7.553769187780809e-5,166,12575.5,4295
Seh1l,3.1269970513691484e-4,2.9872821015600697e-4,2.879815833153111e-4,167,251,324
Tnfaip8l3,3.1269430388763356e-4,0,4.5059863318344395e-5,168,12575.5,6429
OXT_gene4371,3.1268028101551616e-4,0,0,169,12575.5,12501
Rrn3,3.126457861522273e-4,1.4316139543527328e-4,2.9396750565173735e-4,170,2036,272
C1ql2,3.125853772972798e-4,2.47843604833487e-5,4.202480197156776e-5,171,9701,6701
Arpc1a,3.125208912718808e-4,1.4081761391956542e-4,1.552048543774341e-5,172,2099,10916
Bcl2,3.12471077271114e-4,1.6435890383759163e-4,9.65040986524098e-5,173,1572,3520
Lrtm2,3.1242774722817587e-4,2.00365513335847e-5,6.63156796271994e-5,174,10602,4828
Prlhr,3.123969722901497e-4,0,0,175,12575.5,12501
Thsd7b,3.1225696622386086e-4,0,0,176,12575.5,12501
Klc2,3.1213535523332665e-4,1.503747986552591e-4,7.299313950360438e-5,177,1848,4434
Atp1b3,3.1211627893247166e-4,6.994831443042e-5,6.144400023780746e-5,178,4825,5143
Arf4,3.120004746567615e-4,3.088278714819481e-5,5.860962620573958e-5,179,8682,5322
Rtn4ip1,3.1197117882345086e-4,9.41910374701215e-5,1.337380875526627e-4,180,3487,2438
Znf521,3.11904090727493e-4,1.0477908495172016e-4,3.4160464353104475e-5,181,3109,7623
Mgea5,3.118564705095896e-4,3.684058303810528e-4,2.8787490808111505e-4,182,15,326
Gpr37l1,3.118013716323449e-4,2.855886721095523e-4,6.451879364591558e-5,183,711,4934
Slk,3.11715675603305e-4,2.1242561719455114e-5,1.800832419444549e-5,184,10355,10367
Igfbp2,3.1171007391117957e-4,2.5635741767369264e-4,6.601488667575986e-5,185,805,4845
Chtf8,3.1170411853037605e-4,3.380077762702314e-4,1.3811926837746215e-4,186,80,2302
Atp8b2,3.116915948509607e-4,1.1876857081713003e-4,1.3917985046030907e-4,187,2749,2273
Adcy2,3.116000609885928e-4,1.2627969960267722e-4,1.4035366059457987e-4,188,2457,2229
Cbln2,3.115864202936627e-4,6.097634071092275e-5,4.603498234223928e-5,189,5387,6338
Tmem246,3.115662854807773e-4,3.544013638733536e-5,3.317288294952555e-5,190,8014,7756
Papln,3.1156304760361224e-4,2.565798764950248e-4,1.4968095550881556e-4,191,803,2058
ID4,3.114733753240542e-4,2.9515463473326123e-4,1.8695301462553305e-5,192,304,10219
Grm7,3.1137434300020566e-4,1.9515109828989398e-4,3.4144846265670673e-4,193,1191,102
Ptprt,3.1131634551391464e-4,9.106536311307845e-5,1.2806408152080004e-4,194,3606,2594
Rap2a,3.112848725543483e-4,2.624257146337375e-4,1.88370899456189e-4,195,789,1492
Ginm1,3.1111378809904654e-4,1.2561735253054465e-4,2.6358518672325393e-4,196,2485,998
Gpr137c,3.105150296103757e-4,2.2867591892672427e-5,3.6136202063495386e-5,197,10047,7343
Lzts3,3.101474349442346e-4,1.500010591344659e-4,2.7005483507765523e-4,198,1861,662
Kiaa0556,3.0983796866275866e-4,7.696128452729986e-5,8.753617913823388e-5,199,4397,3788
Gpm6a,2.981881823263291e-4,1.0866137717250998e-4,7.408280073574918e-5,200,3013,4368
Wnk4,2.9760952274373307e-4,3.4543045097021503e-4,2.68889032962082e-4,201,70,704
Atp6v0b,2.973359361397265e-4,2.8545079794795784e-4,1.9991736470995584e-4,202,719,1340
Fbxo32,2.9723927632807493e-4,9.416138081211975e-5,2.4301142868099468e-5,203,3489,9230
Trhde,2.9718869052196273e-4,5.8381692337316975e-5,2.7117888289558353e-4,204,5583,615
Cp,2.969344291304325e-4,2.0464556454721856e-4,0,205,1098,12501
Prpf40b,2.969293814205073e-4,1.02267650263211e-4,3.2633433402617186e-4,206,3188,145
Prr3,2.9690490955467085e-4,2.8728363362149614e-4,4.3157367571918954e-5,207,616,6594
Atp6v0a2,2.967892558095344e-4,2.880533621960682e-4,3.413741652887112e-4,208,567,104
Kiaa1549l,2.967420029099532e-4,3.4935554784024124e-5,2.7985095494746117e-4,209,8084,396
KIAA1107_like,2.967144594339706e-4,1.3062510790879606e-5,1.9454801601353965e-4,210,11852,1415
Dync2h1,2.9647257646444475e-4,2.3998721948805066e-4,1.350496944409393e-4,211,857,2394
Net1,2.9623707809155626e-4,2.886742759670057e-4,1.3048799471433435e-4,212,537,2534
Glt1d1,2.961682301651044e-4,1.640082637023257e-4,2.64295221481333e-4,213,1577,975
Spef1,2.957711591794395e-4,2.9153378952460446e-4,2.7829750627270014e-4,214,433,427
Hif3a,2.9570598614689445e-4,7.980001164915347e-5,7.812500674156358e-5,215,4223,4178
Plxdc2,2.9509247178697445e-4,1.971456967018743e-5,2.665166603976079e-4,216,10678,832
Ttc9c,2.943715905827228e-4,2.849903235661567e-4,1.240791177331202e-4,217,733,2689
Pcnp,2.942104827550893e-4,8.848594559531955e-5,1.0712488082313694e-4,218,3716,3202
Lap3,2.9407467814384985e-4,2.912648750366802e-4,7.672850785881344e-5,219,443,4240
Kiaa1328,2.940375937960624e-4,3.824949399075421e-5,7.09496471017678e-5,220,7648,4563
Cnn3,2.9403000596072625e-4,1.5606055998953537e-4,2.6595426825110405e-4,221,1723,875
Serac1,2.9333618194915154e-4,1.0820123406319808e-4,1.7477846066548624e-5,222,3027,10495
Adamtsl1,2.923568698460376e-4,2.3945301856273998e-4,0,223,858,12501
Mmd2,2.922074479389113e-4,1.8582877421162878e-4,5.579737444334808e-5,224,1374,5519
Pole3,2.9065163711119627e-4,2.9306951175029846e-4,1.9441483767569512e-4,225,369,1416
Kcnip4,2.904381757111496e-4,1.198618938604892e-4,2.7946059407465106e-4,226,2724,405
Abi1,2.903404579400209e-4,2.634808867085603e-4,1.1710985977101693e-4,227,786,2898
Dlgap1,0.00029017888301482476,7.508498067980412e-5,2.6410693135381705e-4,228,4524,983
Tbl1x,2.901301035637887e-4,3.031531349627903e-4,2.775901477879135e-4,229,222,431
Gabrg1,2.899249222961803e-4,1.476834114819056e-4,1.1914589717098498e-4,230,1917,2838
Plpp1,2.8986891559469336e-4,5.95277544014758e-5,1.1430043720206825e-4,231,5487,2981
Erich3,2.896686883850403e-4,1.527205641838135e-4,2.941555433555986e-4,232,1789,269
Tmem87b,2.893258283902082e-4,1.890965346500704e-4,2.6267903370250377e-4,233,1313,1016
Rnh1,2.891249025356929e-4,1.1055192315847678e-4,6.138487895963474e-5,234,2959,5149
Dtnb,2.8910459106237395e-4,2.1300443896342097e-5,6.135240365633761e-5,235,10340,5153
Mpnd,2.889893734264816e-4,2.6627257808345914e-5,2.947219264955908e-4,236,9409,255
Aifm3,2.8766074029438647e-4,2.9095587310617717e-4,3.953193178686071e-4,237,450,17
Stmn4,2.8763760239975826e-4,2.914926806401906e-4,2.8718273015258556e-4,238,435,331
GRM7_like,2.875343346660824e-4,0,0,239,12575.5,12501
Cadps2,2.872754294099346e-4,2.2232614190208352e-4,3.4188166284378804e-4,240,961,98
Usp38,2.8713681320539485e-4,1.9640350441881533e-4,3.433491888857309e-4,241,1174,86
Ntsr2,2.868708522802899e-4,2.1112420158789002e-4,3.0859935341164815e-4,242,1058,194
Slc24a3,2.866407460776225e-4,8.692840083938205e-5,2.6917605623557423e-4,243,3787,694
Tab3,2.866309295512336e-4,2.355860098882616e-5,4.128410035160676e-5,244,9921,6789
Rab21,2.8649358324165584e-4,1.0844305267641089e-4,1.6056587175808075e-4,245,3020,1913
Aass,2.864534944591669e-4,2.907831856584931e-4,2.2586360618492994e-5,246,456,9499
Snap29,2.8130594478718504e-4,1.7352654330520103e-4,1.4817322252339975e-4,247,1510,2071
Adgrb1,2.8118711105735354e-4,1.2117411744387689e-4,5.494859835630093e-5,248,2670,5573
Gnl3,2.8094858346183873e-4,2.8807528604862277e-4,2.720764060261513e-4,249,564,587
Fermt2,2.8072435885581447e-4,1.7723103226825355e-4,2.7384131713693285e-4,250,1477,511
Ppil4,2.8056545623715513e-4,3.294494777596673e-5,1.2885259726742496e-4,251,8361,2581
MIAT_containing,2.804288261828153e-4,1.8458019275635268e-4,2.6693470665249886e-4,252,1400,801
Rbm34,2.8042613187259234e-4,1.6123386673760892e-4,2.88585899162963e-5,253,1610,8413
Eif1,2.803406113673812e-4,1.6808505817130503e-5,7.722778004072286e-5,254,11244,4219
Hmox1,2.8005654378119774e-4,3.133490932193746e-4,0,255,142,12501
Slc35a2,2.7993723644000073e-4,3.0520380150240913e-4,2.7618362977869555e-4,256,213,455
Cdk7,2.795264859211002e-4,1.6527938819302073e-4,2.3806198710636474e-4,257,1564,1113
Ippk,2.792582152228291e-4,2.887560971949243e-4,2.858156887241506e-4,258,529,348
Tcf4,2.788578225720599e-4,8.284407522279872e-5,1.9087139252168145e-5,259,4040,10133
R3hdm2,2.7861856269631663e-4,9.622082691891661e-5,1.7936435535751482e-4,260,3413,1579
Znf407,2.7858705378586173e-4,1.9257961787013837e-4,1.6560642622466033e-4,261,1234,1845
Dph2,2.785132924550675e-4,2.4815951737270384e-4,1.0950251770733884e-4,262,831,3119
ITSN1_like,2.782477980310793e-4,3.048731165614029e-5,2.627401789976604e-4,263,8757,1014
CUNH6orf120,2.7823308774352037e-4,3.4800305869253976e-5,2.490123656315184e-5,264,8101,9141
Sec23ip,2.7821383704790405e-4,2.2045980518935665e-4,7.283728254485637e-5,265,978,4440
Fndc3a,2.7820188586641283e-4,2.872184984544095e-4,4.372724769998447e-4,266,619,5
Selenof,2.7771983932791436e-4,3.319170245419114e-5,1.403081321822525e-4,267,8320,2232
Timm29,2.776674413381275e-4,1.4323287197363265e-4,2.9420070547094457e-4,268,2032,268
Actn1,2.7764032309910265e-4,5.005285827978023e-5,8.659104522442589e-5,269,6359,3824
Coro2b,2.7760472274478284e-4,2.8638279147725945e-4,1.3624691177230606e-4,270,670,2370
Cebpz,2.775207747585706e-4,9.117837331505064e-5,3.948984142854931e-4,271,3601,18
Abhd3,2.7744445533962186e-4,2.2548748982191203e-4,8.55526551638684e-5,272,930,3864
Gmds,2.773357676488243e-4,1.9030957796605172e-4,1.5989538197885248e-4,273,1277,1921
Ube2j2,2.771951561902187e-4,5.882432868392598e-5,2.641509479302323e-4,274,5540,981
Fars2,2.7709118500395533e-4,1.7474313687283576e-4,2.812839266004066e-4,275,1498,376
Rnf185,2.7688634424255016e-4,2.894887577109712e-4,5.423141173514504e-5,276,494,5620
LOC110599206,2.768810336119957e-4,1.8386565857082322e-4,2.6729177090835057e-4,277,1411,782
Shank1,2.7679466266508515e-4,5.214260217092818e-5,2.657732440929733e-4,278,6153,890
Pcyt1a,2.767184433602059e-4,2.886771539861084e-4,3.7432634072020316e-4,279,536,40
Hadha,2.7652337156683425e-4,2.8594633901813857e-4,2.804176973828313e-4,280,694,387
Mxd4,2.765227080150175e-4,7.598452239746163e-5,1.719856180371559e-4,281,4460,1715
Ppfia3,2.7649147293327275e-4,1.6078774780544522e-4,2.661051907723919e-4,282,1618,864
Eif3a,2.764295321838809e-4,2.8474706679290987e-4,2.79713439371098e-4,283,741,401
Arcn1,2.761977467657846e-4,2.913478254580262e-4,2.567077763099979e-4,284,440,1039
Ccdc93,2.761875938033958e-4,8.236074136329204e-5,1.951086921042375e-4,285,4062,1400
Specc1l,2.761684345021874e-4,1.7872176714381832e-4,2.4294754425236293e-4,286,1454,1084
Cnot1,2.7609571278271893e-4,1.5196985680842625e-4,2.67453991780425e-4,287,1810,774
Ogfrl1,2.759726850789441e-4,8.365669916355e-5,5.5662536655928785e-5,288,3984,5529
Hnrnpu,2.756302815164095e-4,2.931916297034598e-4,2.6790644920860466e-4,289,363,755
Atp13a4,2.749712260184805e-4,1.8681980906815672e-4,2.651178781095902e-4,290,1358,942
Fbxo9,2.748269768337456e-4,1.379044568893905e-4,1.9243356417875953e-4,291,2153,1458
CUNH21orf62,2.745244528761361e-4,7.218848462604198e-5,9.238208739870563e-5,292,4683,3636
Limk2,2.7431044577051723e-4,2.3384228042345312e-4,2.6560699632234645e-4,293,876,902
Reep1,2.74298024389578e-4,1.4094827240919753e-4,1.9575172875830102e-4,294,2095,1395
