unique_gene_symbol,hy_imp,med_imp,fore_imp,hy_rank,med_rank,fore_rank
COX6B1_gene11475,4.561130565269805e-5,2.065156101346632e-5,3.45717345356529e-5,6299,10491,7567
Vipas39,4.561119257645239e-5,1.5442440737795148e-4,9.212047689880531e-5,6300,1764,3647
RPL30_like_gene6161,4.561071111204561e-5,3.197696352407038e-5,2.5403243686182277e-5,6301,8509,9053
Taf6l,4.560722371304951e-5,1.2094079431005344e-05,4.536365369893795e-5,6302,11953,6403
Otud1,4.560473123534672e-5,6.323981325069699e-5,3.6134867123477876e-5,6303,5234,7344
Nucks1,4.560182799709317e-5,1.5896911557837834e-5,1.2822865209871005e-5,6304,11390,11520
Ppp1r1a,4.557314932128041e-5,1.316506191703372e-5,1.300066736156114e-5,6305,11833,11494
Znf436,4.556882338017523e-5,1.0639030996719692e-4,3.27172529209517e-5,6306,3078,7821
Xpot,4.548004088916963e-5,6.96047077858854e-5,2.82088579890177e-5,6307,4846,8527
Prpf38b,4.546158629051487e-5,7.54833321452177e-5,5.461572800510066e-5,6308,4493,5589
Rasip1,4.54494807118447e-5,3.3974683407437964e-5,3.3330657225224114e-5,6309,8214,7735
Sema3f,4.543092725968861e-5,1.071587247632359e-4,1.3399182164083021e-4,6310,3062,2426
Mrps15,4.5426911509582746e-5,1.5998090317107016e-5,7.650791757857241e-5,6311,11374,4257
Mrps5,4.542399675811304e-5,4.048822348028808e-5,6.274589826970429e-5,6312,7348,5064
Taok1,4.5391179176526826e-5,2.334336267425916e-5,2.071484417480279e-5,6313,9963,9835
Ranbp3l,4.5390847561385724e-5,2.209563589075753e-5,1.298364128824205e-5,6314,10182,11497
St14,4.5351616427240435e-5,5.032616004756707e-5,0,6315,6326,12501
Galnt18,4.5322341756765795e-5,2.935442738179217e-5,2.1008527959829795e-5,6316,8942,9775
CTXND1_containing,4.531991927076576e-5,1.406063790467624e-4,7.138330262031463e-5,6317,2102,4536
Neurl4,4.529495826874142e-5,2.1526606549909688e-5,5.150434197735581e-5,6318,10294,5853
Ppp1r3g,4.5294459822133397e-5,1.445210152417956e-4,6.767631601746788e-5,6319,1996,4754
Gp1bb,4.5291621419903705e-5,3.370530120152573e-5,1.0819845424738703e-4,6320,8254,3162
Clybl,4.528544786302636e-5,1.1634365092115601e-4,2.6895320428623643e-5,6321,2808,8756
Eif1ax,4.52544191270913e-5,4.7913312395833716e-5,1.7314410908572705e-5,6322,6596,10537
LOC101957053,4.5231848308304415e-5,2.923301971347372e-5,1.74479798882866e-5,6323,8966,10510
CFHR1_containing,4.521883737729908e-5,1.932580871038142e-5,2.899132325526974e-5,6324,10747,8390
Dhrs7,4.5208410615819034e-5,1.2621808522855402e-5,2.0048818579876028e-5,6325,11906,9969
Nle1,4.520688312017735e-5,0,1.7012193396593337e-4,6326,12575.5,1769
Pde4d,4.5184984992075344e-5,2.6967332415967468e-5,4.813755493244242e-5,6327,9344,6158
RTL8A_like,4.5175642046894614e-5,4.240829896766741e-5,3.086988545515622e-5,6328,7136,8097
Calu,4.517058181460723e-5,5.3835981686560006e-5,2.814596209518642e-4,6329,5997,372
Fbxo46,4.513798755557532e-5,5.0341706519329665e-5,1.9956850651871103e-5,6330,6323,9987
