"","gene","r","module_color","module_n"
"1526","RPSAP58",0.400674099867335,"yellow",4
"1527","Slc25a20",0.680686116044924,"green",5
"1528","Arih2",0.680180373034957,"darkred",21
"1529","P4htm",0.695478314080925,"brown",3
"1530","Wdr6",0.757481338532493,"brown",3
"1531","Dalrd3",0.74265544733575,"darkorange",26
"1532","Ndufaf3",0.139456239590824,"grey",0
"1533","Impdh2",0.711955131487954,"yellow",4
"1534","Qrich1",0.953013492421129,"steelblue",30
"1535","Qars",0.823027002418032,"steelblue",30
"1536","Usp19",0.723253647249411,"red",6
"1537","Lamb2",-0.55687554343709,"grey",0
"1538","Ccdc71",0.728349900519116,"magenta",9
"1539","Klhdc8b",0.781107820887288,"darkturquoise",23
"1540","Usp4",0.836108855246216,"brown",3
"1541","Gpx1",0.641445246930145,"yellow",4
"1542","Rhoa",0.862995947624611,"brown",3
"1543","Tcta",0.511403519574559,"brown",3
"1544","Amt",0.622541658726941,"darkolivegreen",33
"1545","Nicn1",0.620187671969961,"yellow",4
"1546","Myo9a",0.879635998947159,"royalblue",20
"1547","Dag1",0.491729379612278,"red",6
"1548","Bsn",0.860671532968606,"blue",2
"1549","Apeh",0.835127982753174,"brown",3
"1550","Rnf123",0.799366810209642,"magenta",9
"1551","Gmppb",0.644422441604845,"red",6
"1552","Ip6k1",0.60666701378386,"red",6
"1553","Senp8",0.112880813515057,"grey",0
"1554","Traip",0.82078323215872,"blue",2
"1555","Camkv",0.838143427504242,"blue",2
"1556","Mon1a",0.622968173998918,"magenta",9
"1557","Rbm6",0.457722314169295,"red",6
"1558","Rbm5",0.748973815031444,"red",6
"1559","Sema3f",0.812525585050647,"black",7
"1560","Slc38a3",0.730690284684929,"black",7
"1561","Gnai2",0.740833124130802,"brown",3
"1562","Ifrd2",0.868930150686553,"turquoise",1
"1563","Nat6",0.143709883902646,"grey",0
"1564","Hyal2",0.709057322661602,"tan",12
"1565","Pkm",0.848035143357844,"brown",3
"1566","Tusc2",0.754100174893983,"yellow",4
"1567","Rassf1",0.803612523647127,"turquoise",1
"1568","Tmem115",0.512095476191472,"red",6
"1569","Cacna2d2",0.802958670737179,"tan",12
"1570","CUNH3orf18",0.624979083386959,"yellow",4
"1571","Hemk1",0.442516346387421,"brown",3
"1572","Mapkapk3",-0.208507067465853,"grey",0
"1573","Parp6",0.7746588873122,"blue",2
"1574","Dock3",0.832728771790218,"blue",2
"1575","Manf",0.698555374351959,"salmon",13
"1576","Rbm15b",0.634434684204142,"darkgreen",22
"1577","Dcaf1",0.876408295549392,"turquoise",1
"1578","Rad54l2",0.607559582830267,"turquoise",1
"1579","Tex264",0.651452691776676,"yellow",4
"1580","Celf6",0.600510200961389,"orange",25
"1581","Grm2",0.796550264075952,"blue",2
"1582","Hexa",0.800150047018917,"pink",8
"1583","Rrp9",0.510737796049116,"red",6
"1584","Gpr62",0.806198998770436,"yellow",4
"1585","Pcbp4",0.691725595135898,"black",7
"1586","ACY1_like",0.739132045027064,"darkorange",26
"1587","Abhd14a",0.538281114126163,"magenta",9
"1588","Rpl29",0.790966805641402,"brown",3
"1589","Alas1",0.834829612679572,"pink",8
"1590","TWF2",0.615827798273178,"red",6
"1591","Wdr82",0.380072722192968,"blue",2
"1592","Arih1",-0.114461606432462,"grey",0
"1593","Pik3r4",0.554909650537143,"yellow",4
"1594","Atp2c1",0.774156002675037,"greenyellow",11
"1595","Aste1",0.84477413351931,"turquoise",1
"1596","Nek11",0.733915297216727,"yellow",4
"1597","Mrpl3",0.791609163745736,"grey",0
"1598","Cpne4",0.632501460926253,"blue",2
"1599","Dnajc13",0.528763171034623,"purple",10
"1600","RPL21P28",0.778908153194844,"brown",3
"1601","Bbs4",0.630716027067702,"darkturquoise",23
"1602","Acad11",0.841456051886762,"brown",3
"1603","Uba5",0.857484692930804,"green",5
"1604","Nphp3",-0.426821732211536,"grey",0
"1605","Tmem108",0.801527752444064,"black",7
"1606","Cdv3",0.773973534973239,"salmon",13
"1607","Adpgk",0.693280005948455,"salmon",13
"1608","Topbp1",0.603983481017885,"skyblue",28
