"","gene","module_n","module_color"
"1","PURA",21,"darkred"
"2","FAM120C",2,"blue"
"3","SHC3_like",2,"blue"
"4","CYSTM1",1,"turquoise"
"5","UBE2N_ENSSTOG00000002166",5,"green"
"6","TMEM184C_ENSSTOG00000003964",5,"green"
"7","KCTD4",6,"red"
"8","BCL2L1_ENSSTOG00000007643",7,"black"
"9","RRAGA",1,"turquoise"
"10","TACR3",3,"brown"
"11","MORF4L1_ENSSTOG00000009157",1,"turquoise"
"12","SOX2",2,"blue"
"13","ZNF112",2,"blue"
"14","NFYB_ENSSTOG00000014416",3,"brown"
"15","RHOB_ENSSTOG00000014644",2,"blue"
"16","H1F0_ENSSTOG00000014808",1,"turquoise"
"17","ENSSTOG00000014826",1,"turquoise"
"18","ZBED8",2,"blue"
"19","BLOC1S4_ENSSTOG00000015106",8,"pink"
"20","KIAA0232",26,"darkorange"
"21","GBP6_ENSSTOG00000015156",16,"lightcyan"
"22","RNase_MRP",1,"turquoise"
"23","RNaseP_nuc_ENSSTOG00000018579",1,"turquoise"
"24","RTL8C_ENSSTOG00000019454",1,"turquoise"
"25","PLEKHB2_ENSSTOG00000019474",7,"black"
"26","RPS6_ENSSTOG00000019647",1,"turquoise"
"27","LDOC1",1,"turquoise"
"28","MRPL9",32,"violet"
"29","DKC1_like_ENSSTOG00000020149",25,"orange"
"30","RTL8A_ENSSTOG00000020310",4,"yellow"
"31","RPL24_ENSSTOG00000020333",7,"black"
"32","RPL5_ENSSTOG00000020981",1,"turquoise"
"33","ENSSTOG00000021438",2,"blue"
"34","PTP4A1_ENSSTOG00000021612",13,"salmon"
"35","UBE2G1_like_ENSSTOG00000021672",7,"black"
"36","SNRPE",7,"black"
"37","C14orf119",2,"blue"
"38","MTLN",0,"grey"
"39","ENSSTOG00000022616",0,"grey"
"40","RPS24_ENSSTOG00000023496",1,"turquoise"
"41","CD82_like",1,"turquoise"
"42","DAP_containing",1,"turquoise"
"43","ATG12",28,"skyblue"
"44","NCS1_containing",11,"greenyellow"
"45","RPL37A_ENSSTOG00000025537",28,"skyblue"
"46","TMEM74B",5,"green"
"47","HLA-A_like_ENSSTOG00000025614",1,"turquoise"
"48","TMEM215",3,"brown"
"49","RPS6_ENSSTOG00000025963",1,"turquoise"
"50","ACTG1_containing",7,"black"
"51","ATXN1_containing",2,"blue"
"52","SLC17A5_like_ENSSTOG00000026847",10,"purple"
"53","RPL10A",1,"turquoise"
"54","ATP6V1D_like",1,"turquoise"
"55","GAS7_containing",3,"brown"
"56","HIST1H2BK",1,"turquoise"
"57","MAGEH1",8,"pink"
"58","RPS3A_ENSSTOG00000028898",7,"black"
"59","ENSSTOG00000029288",15,"midnightblue"
"60","ENSSTOG00000029329",3,"brown"
"61","ENSSTOG00000029362",2,"blue"
"62","ENSSTOG00000029436",2,"blue"
"63","ENSSTOG00000029460",2,"blue"
"64","TUG1_ENSSTOG00000029508",2,"blue"
"65","TINCR",8,"pink"
"66","ENSSTOG00000029532",0,"grey"
"67","ENSSTOG00000029562",12,"tan"
"68","ENSSTOG00000029606",1,"turquoise"
"69","ENSSTOG00000029624",2,"blue"
"70","ENSSTOG00000029634",1,"turquoise"
"71","ZNF146_ENSSTOG00000029664",2,"blue"
"72","ENSSTOG00000029805",6,"red"
"73","ENSSTOG00000029823",3,"brown"
"74","ENSSTOG00000029825",3,"brown"
"75","ARPP19_like",1,"turquoise"
"76","EIF4B_ENSSTOG00000029945",16,"lightcyan"
"77","ENSSTOG00000030034",1,"turquoise"
"78","TMA7_ENSSTOG00000030110",1,"turquoise"
"79","ENSSTOG00000030147",1,"turquoise"
"80","SLC39A14",12,"tan"
"81","ENSSTOG00000030219",1,"turquoise"
"82","PANTR1_containing",10,"purple"
"83","ENSSTOG00000030229",1,"turquoise"
"84","ENSSTOG00000030237",1,"turquoise"
"85","ENSSTOG00000030386",3,"brown"
"86","ENSSTOG00000030442",2,"blue"
"87","AGL",4,"yellow"
"88","ENSSTOG00000030661",24,"darkgrey"
"89","LINC00672",7,"black"
"90","CD24_like",25,"orange"
"91","COX6B1_like",1,"turquoise"
"92","UBE2R2",7,"black"
"93","PHYH_containing_ENSSTOG00000031003",1,"turquoise"
"94","MIAT_exon5_3",20,"royalblue"
"95","ENSSTOG00000031142",2,"blue"
"96","ENSSTOG00000031322",19,"lightyellow"
"97","ENSSTOG00000031336",0,"grey"
"98","AGL_containing_ENSSTOG00000031387",1,"turquoise"
"99","ENSSTOG00000031411",15,"midnightblue"
"100","ENSSTOG00000031516",2,"blue"
"101","FKBP1A_ENSSTOG00000031532",7,"black"
"102","MAP4_like",1,"turquoise"
"103","ENSSTOG00000031812",24,"darkgrey"
"104","ENSSTOG00000031905",35,"sienna3"
"105","ENSSTOG00000032022",1,"turquoise"
"106","ENSSTOG00000032161",3,"brown"
"107","PPP1R2_like",7,"black"
"108","ENSSTOG00000032431",8,"pink"
"109","NCL_like",28,"skyblue"
"110","ENSSTOG00000032437",3,"brown"
"111","COX6B1_ENSSTOG00000032450",1,"turquoise"
"112","SMKR1_like",3,"brown"
"113","MEF2D_containing",2,"blue"
"114","ENSSTOG00000032617",3,"brown"
"115","ENSSTOG00000032645",19,"lightyellow"
"116","ENSSTOG00000032651",12,"tan"
"117","LINC01578_containing",1,"turquoise"
"118","ENSSTOG00000032827",5,"green"
"119","ENSSTOG00000032929",7,"black"
"120","ENSSTOG00000032941",12,"tan"
"121","Metazoa_SRP_ENSSTOG00000032958",1,"turquoise"
"122","ZNF121_like",2,"blue"
"123","ENSSTOG00000032997",10,"purple"
"124","ENSSTOG00000033045",15,"midnightblue"
"125","ENSSTOG00000033080",19,"lightyellow"
"126","SMIM26",1,"turquoise"
"127","TIMM17A_like",1,"turquoise"
"128","ENSSTOG00000033129",7,"black"
"129","IPO8_like",30,"steelblue"
"130","MOV10_containing",19,"lightyellow"
"131","ENSSTOG00000033366",0,"grey"
"132","NBDY",0,"grey"
"133","ATF6_like",0,"grey"
"134","ENSSTOG00000033585",1,"turquoise"
"135","ENSSTOG00000033586",1,"turquoise"
"136","EPB41L3_containing",11,"greenyellow"
"137","ENSSTOG00000033635",19,"lightyellow"
"138","NEAT1_1_ENSSTOG00000033733",36,"yellowgreen"
"139","ENSSTOG00000033764",12,"tan"
"140","ENSSTOG00000033826",31,"paleturquoise"
"141","ENSSTOG00000033833",29,"saddlebrown"
"142","SP2-AS1_containing",3,"brown"
"143","ENSSTOG00000033872",8,"pink"
"144","ENSSTOG00000033911",9,"magenta"
"145","TRAK1_like_ENSSTOG00000033928",1,"turquoise"
"146","OPCML_like_ENSSTOG00000034044",22,"darkgreen"
"147","ENSSTOG00000034138",12,"tan"
"148","ENSSTOG00000034143",2,"blue"
"149","NEAT1_2_ENSSTOG00000034231",17,"grey60"
"150","ENSSTOG00000034312",0,"grey"
"151","ENSSTOG00000034318",3,"brown"
"152","FXN_like",1,"turquoise"
"153","ENSSTOG00000034485",2,"blue"
"154","ENSSTOG00000034585",1,"turquoise"
"155","ENSSTOG00000034702",2,"blue"
"156","FAM89B_like",18,"lightgreen"
"157","ENSSTOG00000034733",29,"saddlebrown"
"158","LINC00634",19,"lightyellow"
"159","ENSSTOG00000034809",10,"purple"
"160","ENSSTOG00000034825",14,"cyan"
"161","TTC3_like_ENSSTOG00000034948",1,"turquoise"
"162","G10012",9,"magenta"
"163","G10018",1,"turquoise"
"164","G10020",10,"purple"
"165","AFF1_containing",1,"turquoise"
"166","G10025",2,"blue"
"167","G10026",0,"grey"
"168","G10028",10,"purple"
"169","G10034",2,"blue"
"170","AFF1_like",2,"blue"
"171","G10049",9,"magenta"
"172","HMGN2_G1006",7,"black"
"173","HSD17B11_G10065",7,"black"
"174","G10085",1,"turquoise"
"175","G10098",1,"turquoise"
"176","G10099",9,"magenta"
"177","G1010",2,"blue"
"178","G10104",0,"grey"
"179","CAMK2G_like",1,"turquoise"
"180","G10110",0,"grey"
"181","G10112",3,"brown"
"182","ANTXR2_like",8,"pink"
"183","CCNI_like",11,"greenyellow"
"184","G10161",12,"tan"
"185","NAAA_containing",1,"turquoise"
"186","SDAD1_like_G10180",7,"black"
"187","G10182",7,"black"
"188","G10187",1,"turquoise"
"189","G10189",4,"yellow"
"190","G10190",3,"brown"
"191","G10191",26,"darkorange"
"192","G10206",9,"magenta"
"193","G10221",10,"purple"
"194","G10229",9,"magenta"
"195","G10236",2,"blue"
"196","G10242",18,"lightgreen"
"197","G10245",1,"turquoise"
"198","G10270",33,"darkolivegreen"
"199","G10279",2,"blue"
"200","EPHA5",14,"cyan"
"201","G10299",3,"brown"
"202","G10308",2,"blue"
"203","G10310",1,"turquoise"
"204","ADGRL3",3,"brown"
"205","G10312",9,"magenta"
"206","G10317",30,"steelblue"
"207","G10333",2,"blue"
"208","G10335",9,"magenta"
"209","G1034",4,"yellow"
"210","REST",2,"blue"
"211","G10350",6,"red"
"212","PPAT_containing",6,"red"
"213","KIT_containing",10,"purple"
"214","CHIC2_like",1,"turquoise"
"215","G10379",9,"magenta"
"216","ADIPOR1_G1038",4,"yellow"
"217","G10410",0,"grey"
"218","G10411",19,"lightyellow"
"219","G10426",6,"red"
"220","GABRA4",7,"black"
"221","GABRA4_containing",3,"brown"
"222","G10437",3,"brown"
"223","G10439",6,"red"
"224","G10440",10,"purple"
"225","G10442",25,"orange"
"226","G10450",14,"cyan"
"227","GABRB1_containing",3,"brown"
"228","SLC30A9_containing",16,"lightcyan"
"229","APBB2_like_G10465",5,"green"
"230","G10504",5,"green"
"231","G10510",16,"lightcyan"
"232","RELL1",7,"black"
"233","G10518",33,"darkolivegreen"
"234","G10522",3,"brown"
"235","G10533",7,"black"
"236","TBC1D19_containing",2,"blue"
"237","G10538",5,"green"
"238","SPOCK2_containing",21,"darkred"
"239","G10558",7,"black"
"240","SEPSECS_containing",3,"brown"
"241","KCNIP4",10,"purple"
"242","G10599",30,"steelblue"
"243","G10602",2,"blue"
"244","G10607",9,"magenta"
"245","G10609",2,"blue"
"246","G10628",9,"magenta"
"247","G10635",9,"magenta"
"248","ZNF518B_containing",2,"blue"
"249","G1065",0,"grey"
"250","WDR1",1,"turquoise"
"251","G10658",1,"turquoise"
"252","UNC5B_containing",2,"blue"
"253","G10685",3,"brown"
"254","G10688",3,"brown"
"255","G10691",4,"yellow"
"256","G107",0,"grey"
"257","TADA2B_like_G10720",15,"midnightblue"
"258","G10733",3,"brown"
"259","G10735",1,"turquoise"
"260","ADRA2C_containing",3,"brown"
"261","G10738",2,"blue"
"262","G10744",9,"magenta"
"263","RPL21_G1075",28,"skyblue"
"264","G10765",10,"purple"
"265","G10773",16,"lightcyan"
"266","G10799",1,"turquoise"
"267","G10803",5,"green"
"268","G10805",2,"blue"
"269","G10810",2,"blue"
"270","G10811",12,"tan"
"271","G10822",2,"blue"
"272","G10853",2,"blue"
"273","TMEM271_containing",3,"brown"
"274","AUTS2_G10872",27,"white"
"275","G10883",6,"red"
"276","G10886",26,"darkorange"
"277","G10887",0,"grey"
"278","G10894",9,"magenta"
"279","G10899",2,"blue"
"280","G10902",7,"black"
"281","G10903",0,"grey"
"282","G10904",2,"blue"
"283","G10908",10,"purple"
"284","G1091",3,"brown"
"285","G10911",9,"magenta"
"286","G10912",9,"magenta"
"287","G10915",2,"blue"
"288","G10917",1,"turquoise"
"289","GLUD1",1,"turquoise"
"290","G10933",1,"turquoise"
"291","G10934",1,"turquoise"
"292","NDST4_containing",1,"turquoise"
"293","G10948",3,"brown"
"294","NDST3",14,"cyan"
"295","COL25A1",7,"black"
"296","SGMS2_like",22,"darkgreen"
"297","CXXC4",10,"purple"
"298","G11024",15,"midnightblue"
"299","G11031",7,"black"
"300","G11041",9,"magenta"
"301","DNAJB14_containing",7,"black"
"302","G11048",4,"yellow"
"303","G11064",4,"yellow"
"304","G11068",1,"turquoise"
"305","G11069",15,"midnightblue"
"306","G11077",0,"grey"
"307","G11079",2,"blue"
"308","BMPR1B_containing",25,"orange"
"309","G11083",13,"salmon"
"310","GPRIN3_containing",31,"paleturquoise"
"311","G11105",19,"lightyellow"
"312","G11109",1,"turquoise"
"313","G11127",9,"magenta"
"314","NUS1_like_G11141",1,"turquoise"
"315","HNRNPC",21,"darkred"
"316","G11152",19,"lightyellow"
"317","G11158",19,"lightyellow"
"318","G11159",19,"lightyellow"
"319","G11162",19,"lightyellow"
"320","G11172",19,"lightyellow"
"321","G11178",15,"midnightblue"
"322","ZNF724_G11181",11,"greenyellow"
"323","G11183",15,"midnightblue"
"324","GRIA2_like",2,"blue"
"325","G11198",19,"lightyellow"
"326","G1121",19,"lightyellow"
"327","G11210",7,"black"
"328","G11215",33,"darkolivegreen"
"329","G11221",7,"black"
"330","G11224",3,"brown"
"331","G11230",6,"red"
"332","MIR4453HG_containing",15,"midnightblue"
"333","FBXW7",3,"brown"
"334","G11256",16,"lightcyan"
"335","G11274",3,"brown"
"336","TMEM184C_like",5,"green"
"337","ABHD3_like",5,"green"
