"","gene","r","module_color","module_n"
"293","G16892",0.712412573298803,"blue",2
"294","G16932",0.759947432033424,"red",6
"295","G16982",0.102182865205143,"grey",0
"296","G17052",-0.138962803710909,"grey",0
"297","MTMR3_like",0.587153515494806,"turquoise",1
"298","G17062",0.768777248051418,"magenta",9
"299","G17106",-0.276915370395083,"grey",0
"300","G17128",0.705050445261554,"blue",2
"301","PRR14L_containing",0.129840818946531,"grey",0
"302","EPS15_like",0.516257326805052,"magenta",9
"303","G17258",0.73439999273566,"blue",2
"304","G17259",-0.366878156751768,"grey",0
"305","G17265",0.233083170836416,"grey",0
"306","AACSP1_containing",0.855958493692502,"brown",3
"307","G17390",0.771868752637077,"turquoise",1
"308","SRSF3_G17416",0.795795330695515,"blue",2
"309","G17483",0.635988417674977,"brown",3
"310","PTMA_G17509",0.482668659559294,"salmon",13
"311","CYFIP2_like",0.428291835980364,"pink",8
"312","G17612",0.50123820426549,"turquoise",1
"313","G1768",0.736026594255297,"blue",2
"314","G17682",0.550954905902803,"purple",10
"315","G17766",0.741829281794291,"pink",8
"316","G17788",-0.455996029978449,"grey",0
"317","ZRANB1_containing",0.609861668376275,"turquoise",1
"318","MED13L_containing",-0.0507471015525437,"grey",0
"319","HRK_containing",0.730838702186403,"red",6
"320","NOS1_containing",0.584496712580769,"cyan",14
"321","KSR2_containing",0.592893265122913,"pink",8
"322","G17952",0.529622073027136,"turquoise",1
"323","G17997",0.842934029909248,"green",5
"324","G1801",0.60873139942707,"red",6
"325","G18040",0.541422011146207,"turquoise",1
"326","G1808",0.566391868723654,"cyan",14
"327","PRICKLE2_containing",0.0979307567823259,"grey",0
"328","G18195",0.591749932150955,"brown",3
"329","G18229",0.130747875974281,"grey",0
"330","G18312",-0.358190308271303,"grey",0
"331","SAR1B_containing",0.80107059711446,"yellow",4
"332","GPR26_containing",0.830692253383524,"blue",2
"333","G18401",0.103883877541026,"grey",0
"334","G18429",0.44887335094532,"magenta",9
"335","GPD1L_like",-0.0403586413472508,"grey",0
"336","G18437",-0.00937802064906512,"grey",0
"337","DYNC1LI1_like",0.539994267068272,"black",7
"338","G1848",0.644636576347261,"turquoise",1
"339","ACVR2B_G18537",0.945659356629045,"blue",2
"340","G18541",0.477974714173428,"green",5
"341","G18565",-0.070065304525247,"grey",0
"342","G18568",0.24809421979216,"grey",0
"343","G18625",0.823345251340408,"blue",2
"344","G18628",0.949399631303074,"blue",2
"345","G18649",0.912813460445164,"blue",2
"346","G18664",0.705082157674688,"red",6
"347","G18681",0.709729457580429,"red",6
"348","G18683",0.754114489156518,"red",6
"349","G18717",0.449293852844076,"black",7
"350","G18718",0.584748970114047,"magenta",9
"351","SMARCC1",-0.51015182882572,"grey",0
"352","G18761",0.539827555690383,"yellow",4
"353","KIF3A_containing",0.504182947085091,"blue",2
"354","G18884",0.747821311693075,"blue",2
"355","G18897",0.585184863219296,"blue",2
"356","ACSL6_containing",0.663391009126357,"black",7
"357","TPM4_containing",0.893698187541332,"red",6
"358","G18986",0.831811419329723,"blue",2
"359","CACNA1A_G19039",0.484632753184898,"cyan",14
"360","G1906",0.522897555399888,"green",5
"361","G19100",0.566379650227977,"magenta",9
"362","G19121",0.54909660901672,"green",5
"363","ELAVL3",0.834802255256688,"blue",2
"364","G19206",0.796599301065346,"blue",2
"365","G1921",0.641423769846139,"grey60",17
"366","G19238",-0.361546781956612,"grey",0
"367","G19239",-0.444753844280108,"grey",0
"368","ZNF558_like_G19266",0.819048657611807,"blue",2
"369","ZNF699_like_G19270",0.653764271392179,"blue",2
"370","G19271",0.546762260667616,"blue",2
"371","ZNF699_like_G19278",0.620656698872334,"blue",2
"372","ELAVL1_like",0.834818759148601,"brown",3
"373","G19445",0.459096358465394,"green",5
"374","SEMA6B",0.000297298276881608,"grey",0
"375","ZBTB7A_containing_G19495",0.864379581429019,"blue",2
"376","ZBTB7A_containing_G19503",0.876215401848287,"blue",2
"377","G19727",0.671063343483997,"magenta",9
"378","G19738",-0.663510733688762,"grey",0
"379","G19817",0.572121211240396,"grey",0
"380","RNF130_containing",0.728977167432719,"red",6
"381","G19960",0.537060978593091,"black",7
"382","NLGN4X_containing",0.00591862674177575,"grey",0
"383","ZNF354C_containing",0.835028771120946,"blue",2
"384","ZNF124_containing_G20029",0.546551656998663,"blue",2
"385","G20032",-0.137750342619556,"grey",0
"386","G20184",0.0559960145224153,"grey",0
"387","UBE2N_G20235",0.395550366255501,"red",6
"388","G20241",0.440673706589119,"grey",0
"389","G20248",-0.0103740257157354,"grey",0
"390","G20291",0.695388948412839,"blue",2
"391","G2032",0.839577983388342,"blue",2
"392","G20350",0.281171016468088,"grey",0
"393","G20356",0.857789834331119,"lightcyan",16
"394","G20363",0.615761446516231,"green",5
"395","G2037",0.263927082441329,"grey",0
"396","POLR2L_containing",0.673899409281567,"turquoise",1
"397","GPRIN1",0.461342628999071,"brown",3
"398","G20619",0.701639973611818,"tan",12
"399","MALAT1_G20666",0.479731391318642,"turquoise",1
"400","G20677",-0.0940655195750303,"grey",0
"401","G20797",0.819512046086208,"salmon",13
"402","AHNAK_G20817",-0.245878418372005,"grey",0
"403","AHNAK_G20818",0.436942812997669,"purple",10
"404","AHNAK_G20820",-0.304127304501293,"grey",0
"405","G20831",-0.266596956837678,"grey",0
"406","G20859",-0.520771484042652,"grey",0
"407","G2094",0.837172196244847,"turquoise",1
"408","G20968",0.582538270754033,"purple",10
"409","G2097",0.59338422706706,"yellow",4
"410","MTCH2_containing",-0.609689882755484,"grey",0
"411","PRDM11_containing",0.832265396986037,"red",6
"412","KIAA1549L_like",0.267821337904687,"turquoise",1
"413","G21219",0.685611509362758,"red",6
"414","SMAD5_like",0.867315297508139,"blue",2
"415","CCDC34_like",0.392192442586793,"brown",3
"416","SVIP_containing",0.165492002651377,"grey",0
"417","G2127",0.868423127092571,"blue",2
"418","QSER1_like",0.58512796482201,"purple",10
"419","G21322",0.499125748482488,"green",5
"420","KLHL3_containing",-0.317680527190605,"grey",0
"421","G21385",-0.436331215912909,"grey",0
"422","TEAD1_like",0.779202725913662,"blue",2
"423","G21460",0.806809670104881,"green",5
"424","PSMA6",0.686087658026541,"yellow",4
"425","G21554",0.590668323708692,"red",6
"426","G21559",0.591733564611511,"pink",8
"427","HCG11_G21563",0.619026169253235,"midnightblue",15
"428","G21623",0.433033541277083,"magenta",9
"429","G21638",0.671656150397318,"black",7
"430","GVQW3_G21665",0.0550902499106286,"grey",0
"431","MAP6_like",0.931604101867736,"blue",2
"432","WARS2-AS1_containing",0.585152435724895,"purple",10
"433","ACER3_containing",0.715656433350286,"yellow",4
"434","G21728",0.625297773797764,"blue",2
"435","RAB30_containing",0.880156648770235,"red",6
"436","G21750",-0.321844342219474,"grey",0
"437","G21774",0.367364551594645,"grey",0
"438","G21786",0.800763239385234,"blue",2
"439","GRM5_containing",0.727279660556251,"red",6
"440","ACADSB_containing",0.625898509587285,"yellow",4
"441","G21808",0.891522073663246,"blue",2
"442","G21811",0.294044594342611,"turquoise",1
"443","AMOTL1_like",0.211589774071195,"grey",0
"444","G21833",-0.274317885669143,"grey",0
"445","G2186",0.513935400135448,"yellow",4
"446","PGR_containing",0.211852158465158,"grey",0
"447","YAP1",0.625946577735263,"blue",2
"448","G21894",-0.034556982499647,"grey",0
"449","G21909",0.876614646283095,"red",6
"450","GUCY1A2_containing_G21922",0.024704632332961,"grey",0
"451","GUCY1A2_containing_G21932",-0.403656220871995,"grey",0
"452","CUL5",-0.342912253106616,"grey",0
"453","G22000",0.607222912504866,"grey60",17
"454","BTF3_G22095",0.745884204441204,"turquoise",1
"455","G22128",0.650400797973948,"red",6
"456","GRIK4_like",0.453474070166165,"magenta",9
"457","SORL1_like",0.793305921726065,"red",6
"458","G2219",-0.0244943789236733,"grey",0
"459","G2220",0.50915165969124,"turquoise",1
"460","G22219",0.824466835073883,"blue",2
"461","G22266",0.674379370528929,"blue",2
"462","PCNP_G22272",0.694403857834841,"yellow",4
"463","OPCML_containing",0.631941433662098,"midnightblue",15
"464","ZBTB44",0.794306896653112,"blue",2
"465","OPCML_like_G22318",-0.105021847449661,"grey",0
"466","G22356",0.527860179940437,"black",7
"467","G22362",0.702698240272811,"turquoise",1
"468","MIR4697HG_containing",0.427994310079272,"green",5
"469","G22390",0.866124144016486,"blue",2
"470","FGFR2",0.853729948297753,"tan",12
"471","HYOU1",0.161852645910084,"grey",0
"472","G22416",0.640377792388002,"magenta",9
"473","G22437",0.603380226752469,"black",7
"474","G22451",0.809377037944145,"red",6
"475","G2248",-0.456629079088567,"grey",0
"476","PTAR1_containing",0.932430486728935,"blue",2
"477","G22494",0.396743741378777,"green",5
"478","TPM3_like_G22566",-0.193264212303583,"grey",0
"479","G22575",0.581819401756967,"turquoise",1
"480","G22579",0.688169451572634,"turquoise",1
"481","ZDHHC21_like",0.594618446245711,"brown",3
"482","G22684",0.740408104113895,"red",6
"483","G22713",0.6197619161401,"brown",3
"484","G22714",0.817959087245478,"red",6
"485","G22715",-0.403718584995204,"grey",0
"486","UBE2R2_containing",0.858315479041461,"blue",2
"487","G22854",0.507286041798536,"red",6
"488","G22856",-0.201433116777425,"grey",0
"489","DCAF10_like",0.84026622429002,"blue",2
"490","G22925",0.626215149595446,"brown",3
"491","ERP44_containing",0.867662715000818,"brown",3
"492","SLC44A1_containing",0.805668545819995,"purple",10
"493","G23067",0.375024638778945,"grey",0
"494","KIAA1958_containing",0.766366479457196,"blue",2
"495","G23081",0.69854295348581,"red",6
"496","PTBP3_like",0.843815113968877,"blue",2
"497","G23159",-0.359696869683828,"grey",0
"498","ARHGEF37_like",0.60684039362633,"lightcyan",16
"499","G23171",0.775462654157954,"blue",2
"500","G23225",0.841897755963098,"red",6
"501","NR6A1_containing",-0.212445052573346,"grey",0
"502","RC3H2",-0.351867283941626,"grey",0
"503","DPYSL3_containing",-0.458254645425774,"grey",0
"504","SCAI_containing",0.664459254590389,"black",7
"505","G23337",0.582518218262662,"green",5
"506","SET_G23349",0.637902332910127,"blue",2
"507","JAKMIP2_containing",0.549241320011069,"green",5
"508","G2338",0.810892054161557,"blue",2
"509","G23389",0.515607725429726,"turquoise",1
"510","SETX_containing",0.884939518109051,"blue",2
"511","KCTD16_containing",0.619090613779411,"midnightblue",15
"512","G2352",0.565519966342767,"brown",3
"513","BRD3OS_containing",0.675686976936569,"turquoise",1
"514","G23598",0.804186646770315,"blue",2
"515","G2360",0.791621899976943,"cyan",14
"516","G23600",-0.0536661841665303,"grey",0
"517","G23656",-0.59421657442591,"grey",0
"518","G2367",0.516480834121933,"green",5
"519","NDFIP1_like_G2369",-0.201357015278832,"grey",0
"520","UBE4A_G23717",-0.165542133031143,"grey",0
"521","G23728",0.0119079154203309,"grey",0
"522","G23786",0.709411787846027,"green",5
"523","G23816",0.689509042771358,"green",5
"524","G23820",0.78039920505837,"blue",2
"525","SHANK3_like",0.680657370531695,"red",6
"526","G23855",0.212108143488254,"grey",0
"527","G23864",0.0862755821990764,"grey",0
"528","G23874",0.422470899876699,"red",6
"529","G23882",0.833020061919411,"red",6
"530","MOSMO_G239",0.904618350332556,"blue",2
"531","G23906",0.799609092703845,"yellow",4
"532","G23912",0.282138885998743,"turquoise",1
"533","G23915",-0.391303330707483,"grey",0
"534","G23925",0.0396569251004505,"grey",0
"535","G23938",0.473140231464326,"magenta",9
"536","NUP50_containing",0.933471773859607,"blue",2
"537","G23974",0.168068328480979,"grey",0
"538","G24004",0.665753872731235,"turquoise",1
"539","MPPED1_containing_G24005",0.521273598056589,"red",6
"540","G24012",0.747034725542171,"turquoise",1
"541","G24015",-0.218573550350711,"grey",0
"542","G24066",-0.124472190066938,"grey",0
"543","G24079",0.762535174693673,"green",5
"544","G24083",-0.222869403896199,"grey",0
"545","TOB2_containing_G24086",0.893029962391242,"blue",2
"546","G24090",0.614916288992541,"yellow",4
"547","G24119",-0.0721482376879601,"grey",0
"548","TNRC6B_containing",0.902186205435037,"blue",2
"549","G24159",0.796379921976297,"yellow",4
"550","CACNG2_containing",0.522669572825092,"pink",8
"551","G24325",0.783013106440827,"magenta",9
"552","G24336",0.820376156203995,"turquoise",1
"553","G24356",0.641900537623442,"pink",8
"554","G24377",0.418302452484485,"brown",3
"555","G24391",0.777682255177295,"red",6
"556","G24433",0.485267517947349,"pink",8
"557","HCFC2_containing",0.014335992731632,"grey",0
"558","G24520",-0.319934865997207,"grey",0
"559","G24542",0.601013922852276,"red",6
"560","SH3BP5_like",-0.204983817275419,"grey",0
"561","G2462",0.637943789876075,"green",5
"562","LIN7A_like",0.405887416233481,"blue",2
"563","PAWR_containing",0.866507171623172,"blue",2
"564","TMTC3_like",0.869539574247253,"blue",2
"565","G24680",0.540901820462788,"turquoise",1
"566","THAP2_containing",0.876698986827014,"blue",2
"567","PTPRB_containing",0.737687944874906,"green",5
"568","G24722",0.389316371848385,"turquoise",1
"569","G24747",0.554774237833493,"black",7
"570","GNS_containing",0.66732122996035,"yellow",4
"571","PPM1H_containing",0.677322692727794,"blue",2
"572","SLC16A7_containing",0.477973490382694,"purple",10
"573","AGAP2_like",0.605458471204427,"pink",8
"574","G24886",0.0367492984821203,"grey",0
"575","ETF1",0.805350195895048,"brown",3
"576","RNF41_containing",-0.0468413745556419,"grey",0
"577","PSD2",0.772671833959941,"turquoise",1
"578","SP1_like",0.894398700118304,"blue",2
"579","G25067",0.838548603069454,"red",6
"580","G25081",0.554565358363403,"turquoise",1
"581","G25116",0.472510737039617,"blue",2
"582","G25139",0.088197205264938,"grey",0
"583","G25152",-0.142564392585581,"grey",0
"584","COX14_like_G25155",0.724512865997683,"yellow",4
"585","CCNT1_like",0.694467296263857,"brown",3
"586","LINC00938_containing",0.477237399563033,"yellow",4
"587","GXYLT1_containing",0.848371094872084,"blue",2
"588","G2529",0.862485253535346,"blue",2
"589","G25301",0.857086154976865,"blue",2
"590","G25304",0.0735354221070469,"grey",0
"591","G25309",0.780683856283077,"blue",2
"592","DENND5B_containing",-0.324120578587059,"grey",0
"593","TMTC1_containing",0.768795467149133,"purple",10
"594","G25348",0.12946614613913,"grey",0
"595","G25356",-0.0757825037341515,"grey",0
"596","G25363",0.843095872611405,"blue",2
"597","G25370",-0.538479499112581,"grey",0
"598","G25377",0.658908478876344,"purple",10
"599","SOX5",0.423231831405167,"magenta",9
"600","ST8SIA1_like",0.477581743416126,"blue",2
"601","H2AFJ_containing",-0.18862320952082,"grey",0
"602","G2549",0.623007796022081,"brown",3
"603","GRIN2B_containing",-0.137636277399717,"grey",0
"604","GRIN2B_like",-0.110716671019268,"grey",0
"605","LRP6_containing",0.785540976956222,"blue",2
"606","RPN1_containing",0.136028844209762,"grey",0
"607","G25637",0.495746709123916,"blue",2
"608","G25649",0.674838635516871,"green",5
"609","STMN1_G2571",0.15254055017741,"grey",0
"610","CCND2_containing",0.61465244248561,"lightcyan",16
"611","G25721",0.715831157118678,"blue",2
"612","ST8SIA4",0.484316179559869,"blue",2
"613","CACNA1C_containing_G25763",0.666442298226795,"green",5
"614","KCNA1_like",0.63987298948407,"blue",2
"615","TUG1_G2581",0.582637637611174,"brown",3
"616","TMEM121B_containing",0.66736664732562,"green",5
"617","RNF213_like_G25887",0.525211144879551,"green",5
"618","FER_containing",0.70848518464632,"green",5
"619","GPD1L_G25897",0.466540716323851,"blue",2
"620","G25906",0.577389478338548,"red",6
"621","LOC101955859,LOC101960768",0.31039613896285,"grey",0
"622","WASF3_like",0.474234583479929,"red",6
"623","AMER2_containing",0.661728014552587,"magenta",9
"624","G3BP2_G25997",0.521502130979301,"red",6
"625","ZDHHC20_like",0.457901118145159,"brown",3
"626","G26032",0.829530211395991,"red",6
"627","G26094",-0.102024906352531,"grey",0
"628","G2612",0.797278447301303,"red",6
"629","CTSB_containing",0.609976791756206,"turquoise",1
"630","DACH1",0.434297028319933,"salmon",13
"631","G26167",0.109159132940726,"grey",0
"632","G26224",0.67420798363303,"brown",3
"633","G26225",0.822627707258825,"blue",2
"634","G26243",0.480899299186517,"midnightblue",15
"635","DGKH_like",0.423096244443525,"blue",2
"636","LNPEP_containing",0.698152921007327,"blue",2
"637","G2633",0.641394029631196,"green",5
"638","G26363",0.411076433489013,"pink",8
"639","NR2F1",0.764973426342306,"green",5
"640","SUPT20H",0.738040379206774,"blue",2
"641","DCLK1_like",0.617435429479547,"brown",3
"642","FRY",0.62391426121735,"greenyellow",11
"643","G26479",0.755271116789055,"blue",2
"644","HMGB1_G26487",0.417024709357145,"purple",10
"645","FLT1_containing",0.676382278035733,"grey",0
"646","G26553",-0.088245537700847,"grey",0
"647","G26554",0.0401519000183588,"grey",0
"648","G26558",0.850129815305795,"magenta",9
"649","G26562",-0.112656606979067,"grey",0
"650","PGK1_G26565",0.595852070910541,"black",7
"651","G26606",0.144514924899553,"grey",0
"652","G26611",0.652885088941583,"red",6
"653","ZIC2",0.450304392141752,"turquoise",1
"654","G26661",0.693465633776302,"magenta",9
"655","G26683",0.716019081158742,"red",6
"656","ABHD13_containing",0.560034652292538,"brown",3
"657","EIF3A_G267",0.67064257298527,"brown",3
"658","SOX1",-0.167129335503924,"grey",0
"659","G26731",0.762995393158184,"red",6
"660","G26744",0.85102454022386,"red",6
"661","G26751",0.622590108165904,"turquoise",1
