"","topcorgene","hubgene","module_color","module_n","module_genes"
"1","Prkcz",NA,"grey",0,NA
"2","Nme2","Nme2","turquoise",1,2051
"3","Eya3","Eya3","blue",2,1650
"4","Camk2a","Camk2a","brown",3,1532
"5","Arl1","Arl1","yellow",4,761
"6","Arhgap24","Arhgap24","green",5,651
"7","Cd63","Cd63","red",6,346
"8","Mapk8ip3","Mapk8ip3","black",7,346
"9","Atp1b2","Atp1b2","pink",8,327
"10","Rnf4","Rnf4","magenta",9,313
"11","Fxr1","Fxr1","purple",10,266
"12","NCAM2_containing_gene23294","NCAM2_containing_gene23294","greenyellow",11,251
"13","Atxn2l","Atxn2l","tan",12,250
"14","LIN7C_like","LIN7C_like","salmon",13,222
"15","Zmiz1","Zmiz1","cyan",14,189
"16","Qrich1","Qrich1","midnightblue",15,176
"17","Itgb8","Itgb8","lightcyan",16,174
"18","Mcf2l2","Mcf2l2","grey60",17,157
"19","Grb2","Grb2","lightgreen",18,154
"20","Csrnp3","GUCY1A2_containing_G21932","lightyellow",19,148
"21","Tars","Tars","royalblue",20,131
"22","G3859","G3859","darkred",21,126
"23","Grsf1","Grsf1","darkgreen",22,121
"24","Mtpn","Mtpn","darkturquoise",23,114
"25","Rexo1","Rexo1","darkgrey",24,112
"26","Znf287","Znf287","orange",25,108
"27","Gtf2h1","Gtf2h1","darkorange",26,106
"28","JHY","JHY","white",27,93
"29","Ptpra","Ptpra","skyblue",28,93
"30","Vezf1","Vezf1","saddlebrown",29,78
"31","Abhd8","Abhd8","steelblue",30,78
"32","Pan3","Pan3","paleturquoise",31,66
"33","Mbd3","Mbd3","violet",32,57
