"","module_color","hubgene","module_n","n"
"1","turquoise","Nme2",1,2051
"2","blue","Eya3",2,1650
"3","brown","Camk2a",3,1532
"4","yellow","Arl1",4,761
"5","green","Arhgap24",5,651
"6","red","Cd63",6,346
"7","black","Mapk8ip3",7,346
"8","pink","Atp1b2",8,327
"9","magenta","Rnf4",9,313
"10","purple","Fxr1",10,266
"11","greenyellow","NCAM2_containing_gene23294",11,251
"12","tan","Atxn2l",12,250
"13","salmon","LIN7C_like",13,222
"14","cyan","Zmiz1",14,189
"15","midnightblue","Qrich1",15,176
"16","lightcyan","Itgb8",16,174
"17","grey60","Mcf2l2",17,157
"18","lightgreen","Grb2",18,154
"19","lightyellow","GUCY1A2_containing_G21932",19,148
"20","royalblue","Tars",20,131
"21","darkred","G3859",21,126
"22","darkgreen","Grsf1",22,121
"23","darkturquoise","Mtpn",23,114
"24","darkgrey","Rexo1",24,112
"25","orange","Znf287",25,108
"26","darkorange","Gtf2h1",26,106
"27","white","JHY",27,93
"28","skyblue","Ptpra",28,93
"29","saddlebrown","Vezf1",29,78
"30","steelblue","Abhd8",30,78
"31","paleturquoise","Pan3",31,66
"32","violet","Mbd3",32,57
