"","gene","n","module_n","module_color"
"1","5S_rRNA_ENSSTOG00000018487",9,8,"pink"
"2","AACSP1_containing",112,2,"blue"
"3","Aak1",122,5,"green"
"4","Aamp",138,1,"turquoise"
"5","Aars",81,1,"turquoise"
"6","Aarsd1",131,1,"turquoise"
"7","Aasdh",3,2,"blue"
"8","Aasdhppt",21,7,"black"
"9","Aass",7,17,"grey60"
"10","Aatf",6,1,"turquoise"
"11","Abca2",1,25,"orange"
"12","Abca5",6,6,"red"
"13","Abcb7",5,3,"brown"
"14","Abcb9",17,1,"turquoise"
"15","Abcc10",5,25,"orange"
"16","Abcc5",104,2,"blue"
"17","Abcd3",3,6,"red"
"18","Abce1",18,7,"black"
"19","Abcf1",8,1,"turquoise"
"20","Abcf2",23,1,"turquoise"
"21","Abhd11",48,1,"turquoise"
"22","Abhd15",11,15,"midnightblue"
"23","Abhd16a",8,1,"turquoise"
"24","Abhd17a",16,1,"turquoise"
"25","Abhd17b",9,2,"blue"
"26","Abhd2",5,5,"green"
"27","Abhd4",20,1,"turquoise"
"28","Abhd8",4,9,"magenta"
"29","Abi1",2,7,"black"
"30","Abi2",10,6,"red"
"31","Abi3",12,2,"blue"
"32","Abl2",14,3,"brown"
"33","Ablim1",6,11,"greenyellow"
"34","ABR",24,6,"red"
"35","ACAA1_like",4,1,"turquoise"
"36","Acaca",119,2,"blue"
"37","Acad9",24,1,"turquoise"
"38","Acadl",5,1,"turquoise"
"39","ACADSB_containing",6,1,"turquoise"
"40","Acap2",22,11,"greenyellow"
"41","Acap3",3,21,"darkred"
"42","Acat1",12,14,"cyan"
"43","Acbd5",17,3,"brown"
"44","Acbd6",19,1,"turquoise"
"45","Acer2",6,2,"blue"
"46","Ache",40,9,"magenta"
"47","Acin1",28,10,"purple"
"48","Ackr3",27,2,"blue"
"49","Aco2",150,1,"turquoise"
"50","Acot7",49,9,"magenta"
"51","Acot8",10,1,"turquoise"
"52","Acp1",92,1,"turquoise"
"53","Acp6",11,4,"yellow"
"54","Acsl6",77,5,"green"
"55","Actb",198,1,"turquoise"
"56","Actg1",30,1,"turquoise"
"57","Actl6b",4,9,"magenta"
"58","Actn4",22,21,"darkred"
"59","Actr10",102,1,"turquoise"
"60","Actr1a",132,1,"turquoise"
"61","Actr1b",185,1,"turquoise"
"62","Acvr2a",6,2,"blue"
"63","ACVR2B_G18537",76,2,"blue"
"64","Adal",45,2,"blue"
"65","Adam10",18,3,"brown"
"66","Adam15",4,1,"turquoise"
"67","Adam22",9,11,"greenyellow"
"68","Adam23",7,5,"green"
"69","Adamts1",9,2,"blue"
"70","Adamts10",2,25,"orange"
"71","Adamtsl4",5,15,"midnightblue"
"72","Adar",85,5,"green"
"73","Adcy1",20,5,"green"
"74","Adcy6",17,17,"grey60"
"75","Adcy8",16,14,"cyan"
"76","Adcy9",25,5,"green"
"77","Add1",68,1,"turquoise"
"78","Add2",43,5,"green"
"79","Adgra1",9,20,"royalblue"
"80","Adgrb1",5,1,"turquoise"
"81","Adgrf5",4,2,"blue"
"82","Adgrl3",5,24,"darkgrey"
"83","ADH5_like",29,14,"cyan"
"84","Adipor1",16,1,"turquoise"
"85","Adk",5,1,"turquoise"
"86","Adra1a",12,3,"brown"
"87","Adra1b",25,1,"turquoise"
"88","Adrm1",35,1,"turquoise"
"89","Aes",5,1,"turquoise"
"90","Afap1",115,0,"grey"
"91","Afdn",33,3,"brown"
"92","Aff1",7,3,"brown"
"93","Aff2",110,5,"green"
"94","Aff3",29,5,"green"
"95","Aff4",63,5,"green"
"96","Afg3l2",21,1,"turquoise"
"97","Agap3",13,1,"turquoise"
"98","Agk",10,6,"red"
"99","Ago2",126,3,"brown"
"100","Ago4",4,3,"brown"
"101","Agpat1",11,1,"turquoise"
"102","Agpat3",39,1,"turquoise"
"103","Agps",12,11,"greenyellow"
"104","Agrn",3,25,"orange"
"105","Agtpbp1",15,5,"green"
"106","Ahctf1",37,3,"brown"
"107","Ahi1",28,6,"red"
