"","module_color","hubgene","module_n","n"
"1","turquoise","Cbll1",1,2497
"2","blue","Pigt",2,1964
"3","brown","Slc35b1",3,1065
"4","yellow","Grm7",4,794
"5","green","Tbl2",5,669
"6","red","Canx",6,509
"7","black","Syngr1",7,467
"8","pink","LOC106144648",8,438
"9","magenta","Dlg2",9,308
"10","purple","Fgf12",10,290
"11","greenyellow","Col11a1",11,260
"12","tan","Cnp",12,240
"13","salmon","Gnao1",13,211
"14","cyan","Hspd1",14,204
"15","midnightblue","G40994",15,158
"16","lightcyan","Slc6a13",16,141
"17","grey60","Ipo7",17,140
"18","lightgreen","Stard13",18,119
"19","lightyellow","Slc14a1",19,108
"20","royalblue","Cmip",20,106
"21","darkred","Ppa2",21,81
