"","gene","r","module_color","module_n"
"6587","Aldh5a1",0.337751416599611,"grey",0
"6588","CUNH6orf62",-0.207162425318514,"grey",0
"6589","CUNH1orf216",0.813662874324048,"lightgreen",18
"6590","Gmnn",0.784793365252663,"turquoise",1
"6591","Ripor2",0.714630823492214,"darkgrey",24
"6592","Carmil1",0.73481026057888,"tan",12
"6593","Ago4",0.395984643078327,"blue",2
"6594","HIST1H1C_containing",0.814083523916684,"turquoise",1
"6595","HIST1H2BC_containing",0.574852409244928,"red",6
"6596","LOC101975916",0.747789126914061,"turquoise",1
"6597","AGO1_like",0.803527439423256,"blue",2
"6598","AGO3_gene1944",0.790990213969163,"lightyellow",19
"6599","Btn3a3",0.295613766161173,"grey",0
"6600","BTN2A1_like",0.446446331162186,"purple",10
"6601","Adprhl2",0.749174249511567,"turquoise",1
"6602","Abt1",0.510165996609606,"magenta",9
"6603","Znf322",0.616411429356887,"orange",25
"6604","Trappc3",0.853878243663594,"turquoise",1
"6605","Map7d1",0.526887298266009,"grey",0
"6606","Rab3gap1",0.784936782520727,"turquoise",1
"6607","Thrap3",0.367130798069017,"blue",2
"6608","ZNF391_containing",0.463949164628784,"grey",0
"6609","LOC110599302",0.605007576495487,"greenyellow",11
"6610","Znf184",0.518636438341889,"magenta",9
"6611","Stk40",0.876261577813703,"blue",2
"6612","Oscp1",0.306935049604624,"grey",0
"6613","Mrps15",0.825725413238388,"turquoise",1
"6614","Dlgap1",0.921030229490692,"brown",3
"6615","MYL12B",0.745851152359414,"turquoise",1
"6616","MYL12A_gene19579",0.712671275744669,"red",6
"6617","Grik3",0.596643134854467,"brown",3
"6618","Lpin2",0.652903025244773,"greenyellow",11
"6619","Smchd1",0.756414972083997,"lightcyan",16
"6620","RBX1_gene19589",0.309552101072886,"green",5
"6621","Adcyap1",0.767719613294262,"green",5
"6622","Dph6",0.755579005384285,"yellow",4
"6623","Znf770",0.641350285582085,"blue",2
"6624","Aqr",0.677925085032849,"royalblue",20
"6625","Gjd2",0.695466469347149,"blue",2
"6626","Scg5",0.906561995539425,"skyblue",28
"6627","Fmn1",0.676381386756646,"darkred",21
"6628","Ryr3",0.525345948934082,"blue",2
"6629","Aven",0.564608495377013,"turquoise",1
"6630","Emc7",0.804596825304644,"turquoise",1
"6631","Katnbl1",0.640405766009188,"blue",2
"6632","Meaf6",0.74811406357762,"yellow",4
"6633","Emc4",0.619308650727019,"green",5
"6634","Slc12a6",0.749721443238904,"magenta",9
"6635","Nop10",0.771919350573935,"turquoise",1
"6636","Lpcat4",0.740107880686857,"brown",3
"6637","Snip1",0.918130454841838,"blue",2
"6638","Gnl2",0.855738993003056,"red",6
"6639","Cwc15",0.752011170325619,"yellow",4
"6640","Amotl1",0.141564265296042,"grey",0
"6641","Piwil4",0.807478541932791,"turquoise",1
"6642","Ankrd49",0.688370489668471,"blue",2
"6643","Mre11",0.614039089187832,"darkturquoise",23
"6644","Gpr83",0.802724125157155,"brown",3
"6645","Panx1",0.856605954282632,"blue",2
"6646","Med17",0.265986680565802,"blue",2
"6647","CUNH11orf54",0.843321563233572,"turquoise",1
"6648","Taf1d",0.69518524188472,"blue",2
"6649","Cep295",0.740448121120385,"lightyellow",19
"6650","Slc36a4",0.735619040271864,"darkgreen",22
"6651","Fat3",0.625191479454899,"grey",0
"6652","Epha10",0.621216028627564,"grey60",17
"6653","Stmn4",0.600924168269012,"greenyellow",11
"6654","Trim35",0.538260101781215,"magenta",9
"6655","Ptk2b",0.94180477961066,"brown",3
"6656","Ephx2",0.851179898967404,"pink",8
