"","topcorgene","module_color","module_n","module_genes","membership"
"128","Tmem30a","red",6,440,0.926284058148347
"129","Capza2","red",6,440,0.925154770615794
"130","Ankrd46","red",6,440,0.923084577680053
"131","Btbd1","red",6,440,0.91963488024533
"132","Slc25a46","red",6,440,0.917273814332723
"133","Ufm1","red",6,440,0.917255122047395
"134","Dcun1d1","red",6,440,0.91710020995132
"135","Tmem106b","red",6,440,0.914805320487503
"136","Rnf11","red",6,440,0.914359530756586
"137","Rab2a","red",6,440,0.913321229536868
"138","Scoc","red",6,440,0.912719546353168
"139","PNPLA8_containing","red",6,440,0.910733712920209
"140","Sub1","red",6,440,0.906677138558932
"141","Rnf4","black",7,321,0.899482588604911
"142","Ythdf1","black",7,321,0.895420860825875
"143","Pom121c","black",7,321,0.891988383169065
"144","Slc20a1","black",7,321,0.88487756816703
"145","Xpo5","black",7,321,0.872580705508413
"146","Ubap2l","black",7,321,0.87158305732003
"147","Golga3","black",7,321,0.864831970907871
"148","Hs1bp3","black",7,321,0.86349318837799
"149","Pomt2","black",7,321,0.862712235229363
"150","Chd8","black",7,321,0.860813800398036
"151","Ldb1","black",7,321,0.857535984893417
"152","Tmem201","black",7,321,0.856799309626392
"153","Casc3","black",7,321,0.855955003160709
"154","TYW1_like","black",7,321,0.854420120196741
"155","Git2","black",7,321,0.853273559775994
"156","Ube4b","black",7,321,0.849340698061032
"157","Nup153","black",7,321,0.848288225245316
"158","Smpd4","black",7,321,0.84535539106231
"159","Lpcat1","black",7,321,0.841581791190205
"160","Slc6a6","black",7,321,0.840247033089717
"161","Clptm1","pink",8,320,0.936651941245805
"162","Clpb","pink",8,320,0.898339061502004
"163","Sv2a","pink",8,320,0.895851471720582
"164","Cdip1","pink",8,320,0.890543049249075
"165","Bag6","pink",8,320,0.882324953397403
"166","Ipo13","pink",8,320,0.880723840362846
"167","Ubc","pink",8,320,0.879399807290558
"168","Psmd3","pink",8,320,0.876992116146242
"169","Atp6v0c","pink",8,320,0.874530110083764
"170","Babam1","pink",8,320,0.872616575608483
"171","Caly","pink",8,320,0.87091049850832
"172","Cmtr1","pink",8,320,0.870427141831457
"173","G83","pink",8,320,0.86952703938505
"174","Usp5","pink",8,320,0.864676547331993
"175","Gas6","pink",8,320,0.862963910772897
"176","Faim2","pink",8,320,0.861926180501774
"177","Mtss1l","pink",8,320,0.855661102784566
"178","Uba1","pink",8,320,0.855187651400824
"179","Ap1m1","pink",8,320,0.853193172783848
"180","Hnrnpl","pink",8,320,0.849539799596498
"181","Dmtn","magenta",9,309,0.980087153150566
"182","Sez6l","magenta",9,309,0.970059163412067
"183","Shank1","magenta",9,309,0.95381894942199
"184","Ppp1r9b","magenta",9,309,0.943646590521804
"185","Wdr13","magenta",9,309,0.939543144161422
"186","Map3k10","magenta",9,309,0.939070243508975
"187","Jph3","magenta",9,309,0.938972503064743
