"","gene","n","module_n","module_color"
"1","Aacs_rna21691",17,1,"turquoise"
"2","Aacs_rna21691_alt",4,1,"turquoise"
"3","AACSP1_containing",53,1,"turquoise"
"4","Aak1",4,9,"magenta"
"5","Aars",37,2,"blue"
"6","Aasdh",479,1,"turquoise"
"7","Aatk",3,15,"midnightblue"
"8","Abca1",10,2,"blue"
"9","Abca2",15,11,"greenyellow"
"10","ABCA3_like",9,3,"brown"
"11","Abcb10",14,1,"turquoise"
"12","Abcb9",3,5,"green"
"13","Abcc5",124,1,"turquoise"
"14","Abcd1",37,2,"blue"
"15","Abce1",9,1,"turquoise"
"16","Abcg1",49,1,"turquoise"
"17","Abhd11",3,3,"brown"
"18","Abhd16a",2,2,"blue"
"19","Abhd17b",24,1,"turquoise"
"20","Abhd2",81,2,"blue"
"21","Abhd3",19,4,"yellow"
"22","Abi3bp",2,7,"black"
"23","Acad10",34,2,"blue"
"24","Acad11",2,10,"purple"
"25","Acad9",55,2,"blue"
"26","Acadl",16,2,"blue"
"27","Acadvl",5,3,"brown"
"28","Acap3",19,2,"blue"
"29","Acbd3",16,1,"turquoise"
"30","Acbd5",269,1,"turquoise"
"31","ACE_like",4,6,"red"
"32","Acer2",3,1,"turquoise"
"33","Ache",6,4,"yellow"
"34","Acin1",3,1,"turquoise"
"35","Ackr3",164,1,"turquoise"
"36","Aco2",68,2,"blue"
"37","Acot7",7,8,"pink"
"38","Acp1",18,2,"blue"
"39","Acp6",5,3,"brown"
"40","Acsl4",3,19,"lightyellow"
"41","Acsl6",6,9,"magenta"
"42","Actb",215,2,"blue"
"43","Actn1",4,1,"turquoise"
"44","Actr1a",13,2,"blue"
"45","Adam15",68,3,"brown"
"46","Adam19",2,3,"brown"
"47","Adam22",4,3,"brown"
"48","Adamts10",2,3,"brown"
"49","Adamts4",7,11,"greenyellow"
"50","Adamts6",19,3,"brown"
"51","Adar",9,2,"blue"
"52","Adcy2",9,3,"brown"
"53","Add1",151,2,"blue"
"54","Adgra2",7,16,"lightcyan"
"55","Adgrb1",19,6,"red"
"56","Adgrl2",28,4,"yellow"
"57","Adgrl3",10,3,"brown"
"58","Adpgk",76,1,"turquoise"
"59","Adra2a",40,4,"yellow"
"60","Adsl",2,2,"blue"
"61","Adssl1",7,7,"black"
"62","Aebp1",3,16,"lightcyan"
"63","Afap1",268,1,"turquoise"
"64","Agap2",2,6,"red"
"65","Agfg2",108,1,"turquoise"
"66","AGO1_like",19,1,"turquoise"
"67","Ago2",210,1,"turquoise"
"68","Agpat1",3,8,"pink"
"69","Agpat3",11,2,"blue"
"70","Agrn",29,3,"brown"
"71","Ahi1",18,6,"red"
"72","Ahr",98,1,"turquoise"
"73","Ahsa1",3,12,"tan"
"74","Ahsa2",3,4,"yellow"
"75","Aif1l",5,6,"red"
"76","Aifm1",3,2,"blue"
"77","Aifm3",24,6,"red"
"78","Aig1",8,3,"brown"
"79","Aip",12,6,"red"
"80","AJM1_containing",26,4,"yellow"
"81","Ak2",418,1,"turquoise"
"82","Ak4",8,1,"turquoise"
"83","Akap10",24,1,"turquoise"
"84","Akap7",7,1,"turquoise"
"85","Akap8",4,3,"brown"
"86","Akap8l",4,2,"blue"
