"","gene","n","module_n","module_color"
"705","Copg1",21,8,"pink"
"706","COPG2IT1_containing",1,17,"grey60"
"707","Coprs",32,1,"turquoise"
"708","Cops2",5,10,"purple"
"709","Cops3",54,1,"turquoise"
"710","Cops4",15,1,"turquoise"
"711","Cops6",52,1,"turquoise"
"712","Cops7b",61,4,"yellow"
"713","Cops8",89,1,"turquoise"
"714","Cops9",7,1,"turquoise"
"715","Coq10b",55,4,"yellow"
"716","Coq9",12,5,"green"
"717","Coro1a",81,3,"brown"
"718","Coro1b",61,1,"turquoise"
"719","Coro2b",16,15,"midnightblue"
"720","CORO7",6,2,"blue"
"721","COX4I1_like",160,1,"turquoise"
"722","COX5A",11,1,"turquoise"
"723","COX5B_like_gene22048",107,1,"turquoise"
"724","COX6A1",25,1,"turquoise"
"725","COX6B1_gene11475",21,1,"turquoise"
"726","COX7A2L_containing",112,1,"turquoise"
"727","COX7B_gene19995",141,1,"turquoise"
"728","COX7C_like",108,1,"turquoise"
"729","Cpe",14,13,"salmon"
"730","Cpeb2",4,10,"purple"
"731","Cpeb4",7,3,"brown"
"732","Cplx2",20,9,"magenta"
"733","Cpne4",5,3,"brown"
"734","Cpne5",6,3,"brown"
"735","Cpne6",12,3,"brown"
"736","Cpne7",4,11,"greenyellow"
"737","Cpne8",13,3,"brown"
"738","Cpne9",6,5,"green"
"739","Cpsf6",7,28,"skyblue"
"740","Cpt1c",11,11,"greenyellow"
"741","Cpt2",2,10,"purple"
"742","Cramp1",26,7,"black"
"743","Crat",20,18,"lightgreen"
"744","Crbn",23,1,"turquoise"
"745","Crcp",3,1,"turquoise"
"746","Crebbp",27,12,"tan"
"747","Crebrf",4,0,"grey"
"748","Creg1",21,1,"turquoise"
"749","Crip2",79,11,"greenyellow"
"750","Cript",5,6,"red"
"751","Crkl",42,4,"yellow"
"752","Crnkl1",39,4,"yellow"
"753","Crtc1",242,9,"magenta"
"754","Crtc2",3,12,"tan"
"755","Crtc3",129,2,"blue"
"756","Cry1",4,0,"grey"
"757","Crym",55,3,"brown"
"758","Cryzl1",3,1,"turquoise"
"759","Cs",140,5,"green"
"760","Csde1",17,1,"turquoise"
"761","CSDE1_gene25541",40,1,"turquoise"
"762","Csf1",5,0,"grey"
"763","Csgalnact1",59,3,"brown"
"764","Csmd1",20,2,"blue"
"765","Csmd2",252,2,"blue"
"766","Csnk1a1",110,1,"turquoise"
"767","Csnk1d",22,2,"blue"
"768","Csnk1g1",58,2,"blue"
"769","Csnk1g2",5,11,"greenyellow"
"770","Csnk1g3",4,28,"skyblue"
"771","Csnk2b",15,1,"turquoise"
"772","Cspg5",14,24,"darkgrey"
"773","Csrnp2",251,2,"blue"
"774","Csrnp3",25,29,"saddlebrown"
"775","Csrp1",41,1,"turquoise"
"776","CST3_containing",18,1,"turquoise"
"777","Cstb",8,1,"turquoise"
"778","Cstf2",2,0,"grey"
"779","Ctdsp2",278,4,"yellow"
"780","Ctdspl",156,2,"blue"
"781","Ctif",7,22,"darkgreen"
"782","Ctnna1",29,1,"turquoise"
"783","Ctnnd1",36,2,"blue"
"784","Ctnnd2",2,24,"darkgrey"
"785","Ctsd",23,20,"royalblue"
"786","Ctsh",3,10,"purple"
"787","Ctsk",3,9,"magenta"
"788","Ctsv",32,20,"royalblue"
"789","Cttnbp2",22,3,"brown"
"790","Cttnbp2nl",17,4,"yellow"
"791","Ctxn1",207,3,"brown"
"792","Cuedc2",23,1,"turquoise"
"793","Cul1",4,1,"turquoise"
"794","Cul3",16,1,"turquoise"
"795","Cul4b",8,1,"turquoise"
"796","Cul9",6,15,"midnightblue"
"797","CUNH11orf49",25,9,"magenta"
"798","CUNH11orf54",165,1,"turquoise"
"799","CUNH11orf58",26,1,"turquoise"
"800","CUNH11orf68",3,14,"cyan"
"801","CUNH11orf87",16,3,"brown"
"802","CUNH12orf73",4,1,"turquoise"
"803","CUNH14orf119",10,4,"yellow"
"804","CUNH14orf132",51,3,"brown"
"805","CUNH14orf2",54,1,"turquoise"
"806","CUNH15orf40",9,1,"turquoise"
"807","CUNH16orf58",9,19,"lightyellow"
"808","CUNH16orf70",10,2,"blue"
"809","CUNH18orf21",3,1,"turquoise"
"810","CUNH18orf25",34,4,"yellow"
"811","CUNH19orf47",20,2,"blue"
"812","CUNH19orf70",8,1,"turquoise"
"813","CUNH1orf226",84,2,"blue"
"814","CUNH1orf35",98,2,"blue"
"815","CUNH20orf194",45,4,"yellow"
"816","CUNH21orf91",28,4,"yellow"
"817","CUNH22orf39",72,1,"turquoise"
"818","CUNH2orf69",16,4,"yellow"
"819","CUNH3orf18",2,5,"green"
"820","CUNH4orf50",3,2,"blue"
