"","module_color","hubgene","module_n","n"
"1","turquoise","Crkl",1,2345
"2","blue","Pigt",2,2034
"3","brown","NXF2B_like",3,806
"4","yellow","Luzp1",4,735
"5","green","Pdcd6",5,663
"6","red","Dnm1",6,625
"7","black","Col11a1",7,378
"8","pink","Syngr1",8,293
"9","magenta","Fgf12",9,278
"10","purple","Senp6",10,261
"11","greenyellow","Mog",11,237
"12","tan","Cct8",12,233
"13","salmon","Hspd1",13,182
"14","cyan","Kif13b",14,173
"15","midnightblue","Gnao1",15,161
"16","lightcyan","Slc6a13",16,140
"17","grey60","Slc38a3",17,123
"18","lightgreen","Rngtt",18,94
"19","lightyellow","Uhmk1",19,88
"20","royalblue","Otud7b",20,73
