"","topcorgene","module_color","module_n","module_genes","membership"
"128","Cadps2","red",6,625,0.887932270463238
"129","Dlgap1","red",6,625,0.887637376248775
"130","Nsg2","red",6,625,0.883108131180655
"131","Sptb","red",6,625,0.881938929624344
"132","Myt1l","red",6,625,0.880402967048877
"133","Prkce","red",6,625,0.880260812616993
"134","Ppfia3","red",6,625,0.879752953964618
"135","Gria3","red",6,625,0.878782021608766
"136","Snap25","red",6,625,0.877159505814312
"137","Atp1a3","red",6,625,0.875424598161288
"138","Kcnd2","red",6,625,0.874255197720484
"139","Clstn3","red",6,625,0.873804932326005
"140","Tspyl4","red",6,625,0.873320398578599
"141","Col11a1","black",7,378,0.9641432935832
"142","Eln","black",7,378,0.940517219425748
"143","Slc7a2","black",7,378,0.935026821966418
"144","Kdm4c","black",7,378,0.920700241574993
"145","Wsb1","black",7,378,0.919461981277662
"146","Arglu1","black",7,378,0.909426421539456
"147","Pgap3","black",7,378,0.908570888764538
"148","Coro2b","black",7,378,0.8963646729916
"149","Map3k6","black",7,378,0.895061108203064
"150","Uckl1","black",7,378,0.885259516744152
"151","Def8","black",7,378,0.884097429229001
"152","Rgs11","black",7,378,0.881161476323059
"153","Tgfb3","black",7,378,0.880775692768148
"154","Plch2","black",7,378,0.879436989174989
"155","Ebf4","black",7,378,0.878369098112576
"156","Pfkfb2","black",7,378,0.877659677631187
"157","Gdpd2","black",7,378,0.875672318929219
"158","Wnk4","black",7,378,0.875161465596559
"159","Pla2g4b","black",7,378,0.873463242143783
"160","Col16a1","black",7,378,0.870175215745502
"161","Syngr1","pink",8,293,0.916194608543971
"162","Dmwd","pink",8,293,0.916119709758939
"163","Fkbp8","pink",8,293,0.915123764827615
"164","Rundc3a","pink",8,293,0.897253630893693
"165","Ppp2r1a","pink",8,293,0.891006664413718
"166","Mapk8ip2","pink",8,293,0.889459309647245
"167","Cend1","pink",8,293,0.887466461734657
"168","Gsk3a","pink",8,293,0.886410378020604
"169","CUNH16orf45","pink",8,293,0.880541358813662
"170","Rnf187","pink",8,293,0.876960794165141
"171","Dmtn","pink",8,293,0.87558415621872
"172","Snrpn","pink",8,293,0.868235266870701
"173","Caskin1","pink",8,293,0.867303049882082
"174","Sdc3","pink",8,293,0.862329520016385
"175","Tom1l2","pink",8,293,0.861405442385707
"176","Sult4a1","pink",8,293,0.86124117456457
"177","Rell2","pink",8,293,0.858423060253305
"178","Znf423","pink",8,293,0.857986083938835
"179","Ablim2","pink",8,293,0.856869228297712
"180","Rab11b","pink",8,293,0.854926394333346
"181","Fgf12","magenta",9,278,0.921599042355393
"182","Dmxl2","magenta",9,278,0.908665060419607
"183","Eif4g3","magenta",9,278,0.887020695521246
"184","Dnm3","magenta",9,278,0.886562069287359
"185","Kifap3","magenta",9,278,0.877190131971797
"186","Ralgapb","magenta",9,278,0.874179543160117
"187","Aak1","magenta",9,278,0.872505202889675
"188","Atp8a2","magenta",9,278,0.856825576767728
"189","Galk2","magenta",9,278,0.855595023827022
"190","Cntn1","magenta",9,278,0.855479880515385
"191","Cdc42bpa","magenta",9,278,0.848757026988628
"192","RALYL_like_gene18440","magenta",9,278,0.84813425443569
"193","Pi4ka","magenta",9,278,0.848108185100652
"194","Trim44","magenta",9,278,0.843503083347527
"195","Akap12","magenta",9,278,0.842319690364072
"196","Meaf6","magenta",9,278,0.838837783688718
"197","Dync1h1","magenta",9,278,0.833007802321682
"198","Atrx","magenta",9,278,0.832430013626389
"199","Faim2","magenta",9,278,0.830180710602787
"200","Ap2b1","magenta",9,278,0.829324338087725
"201","Mysm1","purple",10,261,0.902243965001135
"202","Senp6","purple",10,261,0.899786045193358
"203","Vamp4","purple",10,261,0.895661813124237
"204","Ywhaq","purple",10,261,0.888496555571851
"205","Casc4","purple",10,261,0.884116193686313
"206","Mdm4","purple",10,261,0.883168915939401
"207","Scaf8","purple",10,261,0.879703858520894
"208","Snx14","purple",10,261,0.861867062944625
"209","Eif3m","purple",10,261,0.851490146321259
"210","Eid1","purple",10,261,0.849496925245854
"211","Lrpprc","purple",10,261,0.848316727604974
"212","Trmt11","purple",10,261,0.848138980162333
"213","Ift81","purple",10,261,0.844066983492041
"214","Cfap36","purple",10,261,0.843180150490238
"215","Fam49b","purple",10,261,0.842310612488213
"216","Trpc4ap","purple",10,261,0.842201818568477
"217","Son","purple",10,261,0.841686935024994
"218","Rab2a","purple",10,261,0.840486488045696
"219","Canx","purple",10,261,0.839861134453707
"220","Prpf40a","purple",10,261,0.839027634601087
"221","Mog","greenyellow",11,237,0.950626223035514
"222","Ca9","greenyellow",11,237,0.945668887485646
"223","Cnp","greenyellow",11,237,0.944683922792977
"224","Evi2a","greenyellow",11,237,0.9403782671341
"225","Klhl4","greenyellow",11,237,0.935300517720715
"226","Cmtm5","greenyellow",11,237,0.926151791686121
"227","Folh1b","greenyellow",11,237,0.923674213435332
"228","Rtkn","greenyellow",11,237,0.919337284066254
"229","Slc6a9","greenyellow",11,237,0.917239514847778
"230","Pcsk6","greenyellow",11,237,0.912165093607462
"231","Arsb","greenyellow",11,237,0.90013262273941
"232","Cers2","greenyellow",11,237,0.893554235336432
"233","Csrp1","greenyellow",11,237,0.891438344597421
"234","LOC101965332","greenyellow",11,237,0.889927990257895
"235","Gjc2","greenyellow",11,237,0.889299682727391
"236","Creb5","greenyellow",11,237,0.887290897670291
"237","Kif1c","greenyellow",11,237,0.886059296603965
"238","St6galnac3","greenyellow",11,237,0.881778014350647
"239","Col9a3","greenyellow",11,237,0.88145450397855
"240","LOC101958269","greenyellow",11,237,0.879981627722618
"241","Cct8","tan",12,233,0.930732448663593
"242","Pmpcb","tan",12,233,0.886470948542453
"243","Prune1","tan",12,233,0.881266194549711
"244","Nifk","tan",12,233,0.879096013297493
"245","Sod2","tan",12,233,0.865873794796614
"246","Ghitm","tan",12,233,0.857273819343978
"247","Bpnt1","tan",12,233,0.853308187792716
"248","Copb2","tan",12,233,0.848446138808807
"249","WASHC2C","tan",12,233,0.847458471351265
"250","Sap18","tan",12,233,0.84714337150715
"251","Rab1a","tan",12,233,0.840756988139765
"252","Hspe1","tan",12,233,0.836787149880261
"253","OPTN_like_gene25473","tan",12,233,0.832300206925836
"254","Pafah1b1","tan",12,233,0.830922059979394
"255","Timm17a","tan",12,233,0.828525916419728
"256","Ube2k","tan",12,233,0.827425052690983
"257","Mboat2","tan",12,233,0.82520032845223
"258","Mmgt1","tan",12,233,0.824448891882233
"259","Copa","tan",12,233,0.823699986324749
"260","Ddx56","tan",12,233,0.822934242073709
"261","Hspd1","salmon",13,182,0.923248487157622
"262","Papola","salmon",13,182,0.918316172024935
"263","Ubqln1","salmon",13,182,0.909478462380186
"264","Ncbp1","salmon",13,182,0.899011552560963
"265","Caprin1","salmon",13,182,0.896033648013128
"266","Cops2","salmon",13,182,0.892029066454232
"267","Golga4","salmon",13,182,0.884869683595231
"268","Serbp1","salmon",13,182,0.871029489680117
"269","HSPD1_like","salmon",13,182,0.870410880967049
"270","Washc5","salmon",13,182,0.869955761984747
"271","Fndc3a","salmon",13,182,0.854071168082754
"272","Cct5","salmon",13,182,0.850581889611262
"273","Pnpla8","salmon",13,182,0.849463673667962
"274","Copb1","salmon",13,182,0.848126583373942
"275","Cct4","salmon",13,182,0.845138640273452
"276","Fam114a2","salmon",13,182,0.843114878332615
"277","Slc5a3","salmon",13,182,0.839974994394611
"278","Kiaa0408","salmon",13,182,0.835740315904063
"279","Hspa4","salmon",13,182,0.835130226768822
"280","Jak1","salmon",13,182,0.833025897899234
"281","Rapgef5","cyan",14,173,0.955239366038594
"282","Kif13b","cyan",14,173,0.954457887757216
"283","Stard13","cyan",14,173,0.936146343338604
"284","Plekhh1","cyan",14,173,0.925504278302243
"285","Mtmr10","cyan",14,173,0.92473453827478
"286","Tmem98","cyan",14,173,0.919011535880857
"287","Prr5l","cyan",14,173,0.909701030145822
"288","Pik3r1","cyan",14,173,0.90823288762624
"289","Ankrd44","cyan",14,173,0.905633419924561
