"","gene","n","module_n","module_color"
"201","Arf4",5,2,"blue"
"202","Arf5",126,2,"blue"
"203","Arfgap3",1,2,"blue"
"204","Arfgef1",34,3,"brown"
"205","Arfgef2",133,3,"brown"
"206","Arfgef3",42,6,"red"
"207","Arfip2",15,2,"blue"
"208","Arglu1",22,1,"turquoise"
"209","Arhgap18",7,3,"brown"
"210","Arhgap26",93,3,"brown"
"211","Arhgap29",81,1,"turquoise"
"212","Arhgap31",8,1,"turquoise"
"213","Arhgap32",51,1,"turquoise"
"214","Arhgap35",99,3,"brown"
"215","Arhgap45",1,10,"purple"
"216","Arhgap5",112,1,"turquoise"
"217","Arhgdia",123,2,"blue"
"218","Arhgdig",2,26,"darkorange"
"219","Arhgef1",9,5,"green"
"220","Arhgef12",60,6,"red"
"221","Arhgef28",4,1,"turquoise"
"222","Arhgef40",4,5,"green"
"223","Arid1a",9,18,"lightgreen"
"224","Arid1b",68,1,"turquoise"
"225","Arid2",24,1,"turquoise"
"226","Arid3b",79,1,"turquoise"
"227","Arid4a",140,1,"turquoise"
"228","Arid4b",37,1,"turquoise"
"229","Arid5b",8,1,"turquoise"
"230","Arih1",3,3,"brown"
"231","Arl1",5,2,"blue"
"232","Arl16",9,14,"cyan"
"233","Arl2",22,4,"yellow"
"234","Arl3",4,4,"yellow"
"235","Arl6ip1",17,2,"blue"
"236","Arl8a",47,9,"magenta"
"237","Arl8b",29,2,"blue"
"238","Armc8",4,3,"brown"
"239","Armcx4",4,3,"brown"
"240","ARMH3_like",4,13,"salmon"
"241","ARMH4_like",76,3,"brown"
"242","Armt1",9,1,"turquoise"
"243","Arnt",41,1,"turquoise"
"244","Arnt2",7,6,"red"
"245","Arpc2",44,4,"yellow"
"246","Arpc3",97,2,"blue"
"247","ARPC3_gene12616",6,2,"blue"
"248","ARPC3_gene26162",54,2,"blue"
"249","Arpc4",163,2,"blue"
"250","Arrb2",8,2,"blue"
"251","Asah2",59,3,"brown"
"252","Asap1",28,17,"grey60"
"253","Asb1",3,3,"brown"
"254","Asb7",3,1,"turquoise"
"255","Ascc1",3,4,"yellow"
"256","Ash1l",59,3,"brown"
"257","Asna1",200,2,"blue"
"258","Asns",11,2,"blue"
"259","Asnsd1",40,1,"turquoise"
"260","Aspscr1",30,4,"yellow"
"261","Aste1",25,1,"turquoise"
"262","Asxl1",1,17,"grey60"
"263","Asxl2",168,1,"turquoise"
"264","Atad2b",123,1,"turquoise"
"265","ATAD3A_like",5,2,"blue"
"266","Atat1",2,5,"green"
"267","Atcay",5,9,"magenta"
"268","Atf1",62,1,"turquoise"
"269","Atf2",67,3,"brown"
"270","ATF6_containing",30,3,"brown"
"271","Atf7",38,10,"purple"
"272","Atg13",13,3,"brown"
"273","Atg14",48,1,"turquoise"
"274","Atg16l1",13,1,"turquoise"
"275","Atg2b",60,1,"turquoise"
"276","Atg3",7,4,"yellow"
"277","Atg4d",25,7,"black"
"278","Atic",33,2,"blue"
"279","Atl1",20,3,"brown"
"280","Atl3",4,1,"turquoise"
"281","Atn1",2,5,"green"
"282","Atox1",22,4,"yellow"
"283","Atp11a",11,1,"turquoise"
"284","Atp11b",26,6,"red"
"285","Atp11c",3,3,"brown"
"286","Atp13a4",58,1,"turquoise"
"287","Atp1a1",35,2,"blue"
"288","ATP1A2_like",5,5,"green"
"289","Atp1a3",8,9,"magenta"
"290","Atp1b1",5,20,"royalblue"
"291","Atp2a2",67,3,"brown"
"292","Atp2b1",24,3,"brown"
"293","Atp2b2",37,3,"brown"
"294","Atp2b3",6,12,"tan"
"295","Atp2b4",64,3,"brown"
"296","Atp5a1",45,2,"blue"
"297","Atp5b",239,2,"blue"
"298","Atp5c1",256,2,"blue"
"299","Atp5d",40,9,"magenta"
"300","Atp5e",18,4,"yellow"
"301","Atp5f1",146,2,"blue"
"302","Atp5g1",37,2,"blue"
"303","Atp5g2",11,4,"yellow"
"304","Atp5g3",170,2,"blue"
"305","Atp5h",125,4,"yellow"
"306","Atp5i",36,4,"yellow"
"307","Atp5j",11,4,"yellow"
"308","Atp5j2",45,4,"yellow"
"309","Atp5l",7,4,"yellow"
"310","Atp5o",270,2,"blue"
"311","Atp6ap1",110,2,"blue"
"312","Atp6ap2",16,2,"blue"
"313","Atp6v0a1",34,2,"blue"
"314","Atp6v0a2",12,1,"turquoise"
"315","Atp6v0b",47,2,"blue"
"316","Atp6v0c",74,9,"magenta"
"317","Atp6v0d1",197,2,"blue"
"318","Atp6v0e1",10,2,"blue"
"319","Atp6v0e2",161,2,"blue"
"320","Atp6v1a",109,3,"brown"
"321","Atp6v1b2",55,3,"brown"
"322","Atp6v1c1",33,3,"brown"
"323","Atp6v1d",32,2,"blue"
"324","ATP6V1D_like",4,22,"darkgreen"
"325","Atp6v1e1",106,2,"blue"
"326","Atp6v1g1",2,2,"blue"
"327","Atp6v1g2",3,9,"magenta"
"328","Atp6v1h",93,2,"blue"
"329","Atp7a",19,1,"turquoise"
"330","Atp8a1",31,3,"brown"
"331","Atp8a2",47,3,"brown"
"332","Atpif1",22,4,"yellow"
"333","Atr",24,1,"turquoise"
"334","Atraid",60,2,"blue"
"335","ATRN",45,3,"brown"
"336","Atrnl1",25,3,"brown"
"337","Atrx",77,6,"red"
"338","Atxn10",59,2,"blue"
"339","Atxn1l",116,1,"turquoise"
"340","Atxn3",3,1,"turquoise"
"341","Atxn7l1",17,1,"turquoise"
"342","Atxn7l2",14,5,"green"
"343","Aup1",7,7,"black"
"344","Aurkaip1",188,2,"blue"
"345","AUTS2_like",3,3,"brown"
"346","Avl9",129,3,"brown"
"347","Axl",4,5,"green"
"348","Azin1",20,1,"turquoise"
"349","Azin2",201,2,"blue"
"350","B3galnt2",222,1,"turquoise"
"351","B3galt4",47,2,"blue"
"352","B3galt5",48,3,"brown"
"353","B3gat3",17,4,"yellow"
"354","B4galt5",3,1,"turquoise"
"355","B4galt6",122,3,"brown"
"356","B4gat1",11,2,"blue"
"357","Babam1",6,2,"blue"
"358","Babam2",5,4,"yellow"
"359","Bad",69,2,"blue"
"360","Bag1",176,2,"blue"
"361","Bag4",3,2,"blue"
"362","Bag6",96,2,"blue"
"363","Baiap2",3,1,"turquoise"
"364","Banf1",6,4,"yellow"
"365","Banp",132,1,"turquoise"
"366","Baz1b",46,3,"brown"
"367","Baz2a",6,18,"lightgreen"
"368","Baz2b",9,6,"red"
"369","Bbip1",13,4,"yellow"
"370","Bbox1",6,5,"green"
"371","Bbs1",271,1,"turquoise"
"372","Bbs12",23,1,"turquoise"
"373","Bbx",61,6,"red"
"374","Bcap29",3,3,"brown"
"375","Bcap31",39,2,"blue"
"376","Bcar3",8,12,"tan"
"377","Bcas3",111,13,"salmon"
"378","Bcat1",122,3,"brown"
"379","BCAT1",92,3,"brown"
"380","Bccip",3,2,"blue"
"381","Bckdha",41,2,"blue"
"382","Bckdk",20,2,"blue"
"383","Bcl2l11",95,1,"turquoise"
"384","Bcl2l13",7,17,"grey60"
"385","Bcl7c",73,2,"blue"
"386","Bcl9",56,10,"purple"
"387","Bcl9l",2,10,"purple"
"388","Bclaf1",14,3,"brown"
"389","Bcorl1",90,1,"turquoise"
"390","Bcr",34,1,"turquoise"
"391","Bdp1",108,1,"turquoise"
"392","Becn1",19,13,"salmon"
"393","Bend5",12,2,"blue"
"394","Best1",6,8,"pink"
"395","BEX1",6,2,"blue"
"396","BEX2",66,2,"blue"
"397","Bex3",28,4,"yellow"
"398","Bex5",7,4,"yellow"
"399","Bhlhb9",71,3,"brown"
"400","Bhlhe40",54,17,"grey60"
"401","Bicral",95,10,"purple"
"402","Bin1",6,4,"yellow"
"403","Birc2",11,1,"turquoise"
"404","Birc6",147,1,"turquoise"
"405","Blcap",13,2,"blue"
"406","Bloc1s1",130,4,"yellow"
"407","Bmp1",3,5,"green"
"408","Bmp4",16,1,"turquoise"
"409","Bmpr2",6,6,"red"
"410","Bms1",76,1,"turquoise"
"411","Bnip1",6,16,"lightcyan"
"412","Bnip3",37,2,"blue"
"413","Bnip3l",45,2,"blue"
"414","Bod1l1",99,1,"turquoise"
"415","Bop1",7,2,"blue"
"416","Bphl",27,2,"blue"
