"","topcorgene","hubgene","module_color","module_n","module_genes"
"1","Gpm6a",NA,"grey",0,NA
"2","Tjp1","Tjp1","turquoise",1,2202
"3","Psmd8","Psmd8","blue",2,1635
"4","Myo5a","Scamp1","brown",3,1169
"5","Rps10","Rps10","yellow",4,984
"6","Eln","Eln","green",5,556
"7","Rora","Rora","red",6,424
"8","Lzts2","Lzts2","black",7,416
"9","Sppl2b","Sppl2b","pink",8,307
"10","Tmem59l","Tmem59l","magenta",9,300
"11","Numa1","Prdm15","purple",10,266
"12","Tmsb10","Tmsb10","greenyellow",11,216
"13","Slc4a5","Slc4a5","tan",12,168
"14","Ipo13","Ipo13","salmon",13,167
"15","Hras","Hras","cyan",14,164
"16","Slc9a1","Slc9a1","midnightblue",15,161
"17","Nob1","Nob1","lightcyan",16,132
"18","Prpf8","Prpf8","grey60",17,114
"19","Plxnb1","Plxnb1","lightgreen",18,110
"20","Smcr8","Smcr8","lightyellow",19,106
"21","Syt1","Syt1","royalblue",20,98
"22","Jph3","Jph3","darkred",21,89
"23","Rab2a","Rab2a","darkgreen",22,86
"24","Nrdc","Nrdc","darkturquoise",23,85
"25","Sumo2","Sumo2","darkgrey",24,84
"26","Dmtf1","Dmtf1","orange",25,81
"27","Iglon5","Iglon5","darkorange",26,79
"28","Nup62","Nup62","white",27,73
"29","Col1a2","Col1a2","skyblue",28,71
"30","Rala","Rala","saddlebrown",29,67
