"","module_color","hubgene","module_n","n"
"1","turquoise","Tjp1",1,2202
"2","blue","Psmd8",2,1635
"3","brown","Scamp1",3,1169
"4","yellow","Rps10",4,984
"5","green","Eln",5,556
"6","red","Rora",6,424
"7","black","Lzts2",7,416
"8","pink","Sppl2b",8,307
"9","magenta","Tmem59l",9,300
"10","purple","Prdm15",10,266
"11","greenyellow","Tmsb10",11,216
"12","tan","Slc4a5",12,168
"13","salmon","Ipo13",13,167
"14","cyan","Hras",14,164
"15","midnightblue","Slc9a1",15,161
"16","lightcyan","Nob1",16,132
"17","grey60","Prpf8",17,114
"18","lightgreen","Plxnb1",18,110
"19","lightyellow","Smcr8",19,106
"20","royalblue","Syt1",20,98
"21","darkred","Jph3",21,89
"22","darkgreen","Rab2a",22,86
"23","darkturquoise","Nrdc",23,85
"24","darkgrey","Sumo2",24,84
"25","orange","Dmtf1",25,81
"26","darkorange","Iglon5",26,79
"27","white","Nup62",27,73
"28","skyblue","Col1a2",28,71
"29","saddlebrown","Rala",29,67
