"","module_color","hubgene","module_n","n"
"1","turquoise","Atp5o",1,1992
"2","blue","Ubn1",2,1137
"3","brown","Cnksr2",3,926
"4","yellow","Cldn12",4,903
"5","green","Akap12",5,675
"6","red","Ppp1cb",6,440
"7","black","Rnf4",7,321
"8","pink","Clptm1",8,320
"9","magenta","Dmtn",9,309
"10","purple","Grsf1",10,267
"11","greenyellow","Grin1",11,233
"12","tan","Celsr3",12,219
"13","salmon","NCAM2_containing_gene23294",13,208
"14","cyan","Hspbp1",14,202
"15","midnightblue","Kif1a",15,196
"16","lightcyan","Gtf2h1",16,177
"17","grey60","Zmiz1",17,171
"18","lightgreen","G32880",18,166
"19","lightyellow","Qrich1",19,162
"20","royalblue","Pgd",20,152
"21","darkred","Mcf2l2",21,132
"22","darkgreen","Disp2",22,127
"23","darkturquoise","Ranbp6",23,113
"24","darkgrey","Ptpra",24,109
"25","orange","Lcor",25,109
"26","darkorange","Tcn2",26,99
"27","white","Capza1",27,91
"28","skyblue","Itgb8",28,89
"29","saddlebrown","Csrnp3",29,87
"30","steelblue","Nrdc",30,85
"31","paleturquoise","Szt2",31,79
"32","violet","Flywch1",32,68
"33","darkolivegreen","Mysm1",33,58
