"","gene","n","module_n","module_color"
"760","Emsy",179,1,"turquoise"
"761","Eno1",96,3,"brown"
"762","Enoph1",14,8,"pink"
"763","Enpp2",6,11,"greenyellow"
"764","Enpp4",3,17,"grey60"
"765","Enpp6",13,11,"greenyellow"
"766","ENSSTOG00000031411",7,5,"green"
"767","ENSSTOG00000032022",5,2,"blue"
"768","ENSSTOG00000032645",5,0,"grey"
"769","ENSSTOG00000033080",3,22,"darkgreen"
"770","ENSSTOG00000034702",437,1,"turquoise"
"771","Entpd7",39,1,"turquoise"
"772","Epas1",7,2,"blue"
"773","Epb41l5",41,1,"turquoise"
"774","Epc2",2,2,"blue"
"775","Epg5",4,1,"turquoise"
"776","Epn1",41,2,"blue"
"777","Eprs",16,3,"brown"
"778","Erbb3",6,17,"grey60"
"779","ERBB4_like",6,9,"magenta"
"780","ERC2_like_gene1402",8,4,"yellow"
"781","Erh",11,3,"brown"
"782","Eri3",56,2,"blue"
"783","Erich3",7,4,"yellow"
"784","Ermn",10,11,"greenyellow"
"785","Ern1",99,1,"turquoise"
"786","Erp29",31,3,"brown"
"787","ERP44_containing",3,6,"red"
"788","Errfi1",20,1,"turquoise"
"789","Esco1",279,1,"turquoise"
"790","Esf1",31,1,"turquoise"
"791","Esrra",175,1,"turquoise"
"792","Ess2",119,1,"turquoise"
"793","Etaa1",10,1,"turquoise"
"794","Etf1",34,3,"brown"
"795","Etfdh",5,2,"blue"
"796","Ets2",155,1,"turquoise"
"797","Etv3",227,1,"turquoise"
"798","Etv6",3,3,"brown"
"799","Evi2a",28,11,"greenyellow"
"800","Evl",5,10,"purple"
"801","EXOC1",17,4,"yellow"
"802","Exoc3",9,2,"blue"
"803","EXOC4_like_gene13945",27,2,"blue"
"804","EXOC4_like_gene13947",10,2,"blue"
"805","Exoc5",5,1,"turquoise"
"806","Exoc7",32,8,"pink"
"807","Exosc4",117,2,"blue"
"808","Ext1",31,2,"blue"
"809","Extl1",16,2,"blue"
"810","Eya3",357,1,"turquoise"
"811","Eya4",3,2,"blue"
"812","Ezr",3,6,"red"
"813","Fa2h",9,11,"greenyellow"
"814","Fadd",474,1,"turquoise"
"815","Faf1",191,8,"pink"
"816","Fam104a",15,6,"red"
"817","Fam109a",159,1,"turquoise"
"818","Fam117a",15,1,"turquoise"
"819","Fam117b",3,1,"turquoise"
"820","FAM120A_gene4703",32,3,"brown"
"821","Fam126a",47,1,"turquoise"
"822","Fam126b",218,1,"turquoise"
"823","Fam135a",163,1,"turquoise"
"824","Fam136a",370,1,"turquoise"
"825","Fam13a",30,1,"turquoise"
"826","Fam160b1",90,1,"turquoise"
"827","Fam172a",14,2,"blue"
"828","FAM172A_like",51,2,"blue"
"829","Fam189b",8,1,"turquoise"
"830","Fam199x",6,1,"turquoise"
"831","Fam208b",77,1,"turquoise"
"832","Fam219a",23,2,"blue"
"833","Fam222b",313,1,"turquoise"
"834","FAM222B",296,1,"turquoise"
"835","FAM241B_containing",3,2,"blue"
"836","Fam3a",17,2,"blue"
"837","Fam43a",8,5,"green"
"838","Fam46a",473,1,"turquoise"
"839","Fam49a",11,1,"turquoise"
"840","Fam49b",17,3,"brown"
"841","Fam53c",17,1,"turquoise"
"842","Fam57a",208,1,"turquoise"
"843","Fam69b",10,10,"purple"
"844","Fam78b",31,5,"green"
"845","Fam8a1",37,1,"turquoise"
"846","Fam98a",80,1,"turquoise"
"847","Fars2",19,4,"yellow"
"848","Farsa",14,3,"brown"
"849","Fastk",84,2,"blue"
"850","Fastkd1",29,1,"turquoise"
"851","Fau",18,2,"blue"
"852","Fbf1",5,4,"yellow"
"853","Fbxl14",269,1,"turquoise"
"854","Fbxl17",16,4,"yellow"
"855","Fbxl19",20,1,"turquoise"
"856","Fbxl5",9,2,"blue"
"857","Fbxo21",3,12,"tan"
"858","Fbxo22",3,6,"red"
"859","Fbxo28",543,1,"turquoise"
"860","Fbxo30",436,1,"turquoise"
"861","Fbxo33",76,1,"turquoise"
"862","Fbxo42",6,1,"turquoise"
"863","Fbxo46",49,1,"turquoise"
"864","Fbxo6",10,2,"blue"
"865","Fbxo7",4,14,"cyan"
"866","Fcf1",5,2,"blue"
"867","Fem1a",88,2,"blue"
"868","Fez1",4,14,"cyan"
"869","FGF2_containing",55,1,"turquoise"
"870","Fgfr1",5,1,"turquoise"
"871","Fgfr1op2",166,1,"turquoise"
"872","Fgfr2",15,1,"turquoise"
"873","FGFR2",4,17,"grey60"
"874","Fgfr3",15,4,"yellow"
"875","Fgfrl1",27,2,"blue"
"876","Fibp",51,2,"blue"
"877","Fkbp1a",3,10,"purple"
"878","Fkbp8",11,2,"blue"
"879","Flii",5,1,"turquoise"
"880","Flna",5,2,"blue"
"881","Flrt2",65,1,"turquoise"
"882","FLRT2_like",115,1,"turquoise"
"883","Flrt3",133,1,"turquoise"
"884","Flvcr1",13,1,"turquoise"
"885","Fn1",7,16,"lightcyan"
"886","Fndc3a",1,13,"salmon"
"887","Fnip1",2,1,"turquoise"
"888","Fnip2",163,1,"turquoise"
"889","Focad",4,2,"blue"
