"","topcorgene","hubgene","module_color","module_n","module_genes"
"1","Rsl1d1",NA,"grey",0,NA
"2","Atp5o","Atp5o","turquoise",1,3155
"3","Slc6a5","Nrip3","blue",2,1215
"4","Fadd","Fadd","brown",3,1067
"5","Med13","Med13","yellow",4,1037
"6","Dennd4a","Dennd4a","green",5,835
"7","Usp11","Sez6l2","red",6,674
"8","Mid1ip1","Mid1ip1","black",7,582
"9","Polr2b","Polr2b","pink",8,524
"10","Tmsb10","Tmsb10","magenta",9,504
"11","Tns2","Tns2","purple",10,496
"12","ZBTB7A_containing_G19503","ZBTB7A_containing_G19503","greenyellow",11,454
"13","Nob1","Nob1","tan",12,360
"14","G38978","G38978","salmon",13,284
"15","Slc4a5","Slc4a5","cyan",14,260
"16","Tada3","Tada3","midnightblue",15,220
"17","Cdyl2","Cdyl2","lightcyan",16,186
"18","Rbm34","Rbm34","grey60",17,184
"19","Ipo7","Ipo7","lightgreen",18,174
"20","Sec62","Sec62","lightyellow",19,169
"21","Slc7a2","Slc7a2","royalblue",20,150
"22","PTPRS_containing","PTPRS_containing","darkred",21,144
"23","Aga","Aga","darkgreen",22,144
"24","Zc3h15","Zc3h15","darkturquoise",23,112
"25","Dbh","Dbh","darkgrey",24,111
"26","Srcin1","Srcin1","orange",25,98
"27","Plxnb1","Plxnb1","darkorange",26,90
"28","Col1a2","Col1a2","white",27,75
"29","Jph3","Jph3","skyblue",28,67
