"","gene","n","module_n","module_color"
"1833","Gnai1",3,15,"midnightblue"
"1834","Gnal",7,4,"yellow"
"1835","Gnas",48,5,"green"
"1836","GNAS_gene10323",9,5,"green"
"1837","GNB4",31,11,"greenyellow"
"1838","GNG10_gene12688",45,11,"greenyellow"
"1839","Gng12",81,3,"brown"
"1840","Gng2",12,3,"brown"
"1841","Gng7",62,4,"yellow"
"1842","Gnl2",3,7,"black"
"1843","Gnl3",20,8,"pink"
"1844","Gnpda2",4,6,"red"
"1845","Gnptg",4,2,"blue"
"1846","Gnrh2",42,1,"turquoise"
"1847","Golga3",23,9,"magenta"
"1848","Golga7",95,3,"brown"
"1849","Golm1",65,3,"brown"
"1850","Gon4l",70,1,"turquoise"
"1851","Gopc",19,18,"lightgreen"
"1852","Gorasp2",2,7,"black"
"1853","Gosr2",4,8,"pink"
"1854","Got2",13,2,"blue"
"1855","GOT2_G13506",8,3,"brown"
"1856","GOT2_gene9847",22,2,"blue"
"1857","Gpaa1",5,2,"blue"
"1858","Gpam",3,3,"brown"
"1859","Gpatch2",23,6,"red"
"1860","Gpatch8",15,1,"turquoise"
"1861","Gpbp1",4,3,"brown"
"1862","Gpc1",7,1,"turquoise"
"1863","Gpd2",3,13,"salmon"
"1864","Gpi",5,2,"blue"
"1865","Gpm6a",87,4,"yellow"
"1866","GPM6B_like",8,3,"brown"
"1867","Gpn1",17,3,"brown"
"1868","Gpn2",64,1,"turquoise"
"1869","Gpr108",4,2,"blue"
"1870","Gpr158",4,4,"yellow"
"1871","Gpr176",3,5,"green"
"1872","Gpr22",49,1,"turquoise"
"1873","Gpr26",46,4,"yellow"
"1874","GPR26_containing",86,1,"turquoise"
"1875","GPR27_containing",55,4,"yellow"
"1876","Gpr37l1",37,5,"green"
"1877","Gpr52",3,1,"turquoise"
"1878","Gpr6",8,1,"turquoise"
"1879","Gpr62",11,5,"green"
"1880","Gpr63",144,1,"turquoise"
"1881","Gpr83",8,4,"yellow"
"1882","Gpr88",10,4,"yellow"
"1883","Gprasp2",27,3,"brown"
"1884","Gprc5b",38,5,"green"
"1885","Gprin1",11,4,"yellow"
"1886","Gpx3",7,5,"green"
"1887","Gpx4",19,2,"blue"
"1888","Gramd1b",3,20,"royalblue"
"1889","Gramd2b",20,7,"black"
"1890","Gramd4",104,1,"turquoise"
"1891","Grasp",95,4,"yellow"
"1892","Grb2",8,15,"midnightblue"
"1893","Greb1l",40,1,"turquoise"
"1894","Gria1",176,4,"yellow"
"1895","Gria2",37,4,"yellow"
"1896","Gria3",166,4,"yellow"
"1897","Grid2ip",1,0,"grey"
"1898","Grik1",5,5,"green"
"1899","Grik3",4,4,"yellow"
"1900","Grik5",14,31,"paleturquoise"
"1901","Grin1",88,4,"yellow"
"1902","Grin2a",52,4,"yellow"
"1903","Grin2b",5,4,"yellow"
"1904","GRIN2B_containing",114,1,"turquoise"
"1905","GRIN2B_like",13,1,"turquoise"
"1906","Grina",9,12,"tan"
"1907","Grip2",7,34,"darkmagenta"
"1908","Grk2",30,4,"yellow"
"1909","Grk4",3,2,"blue"
"1910","Grm3",12,4,"yellow"
"1911","Grm5",50,4,"yellow"
"1912","GRM5_containing",8,4,"yellow"
"1913","Grm7",10,13,"salmon"
"1914","GRM7_like",5,22,"darkgreen"
"1915","Grpel2",5,18,"lightgreen"
"1916","Grsf1",98,3,"brown"
"1917","Gss",7,2,"blue"
"1918","Gsta4",62,3,"brown"
"1919","Gstm3",3,8,"pink"
"1920","Gsto1",107,3,"brown"
"1921","Gstp1",82,2,"blue"
"1922","Gstz1",69,2,"blue"
"1923","GTDC1_containing",3,2,"blue"
"1924","Gtf2a2",18,3,"brown"
"1925","Gtf2b",3,3,"brown"
"1926","Gtf2f2",62,2,"blue"
"1927","Gtf2h1",1,28,"skyblue"
"1928","Gtf2h3",3,7,"black"
"1929","Gtf3a",14,3,"brown"
"1930","Gtpbp2",24,1,"turquoise"
"1931","Gucd1",95,1,"turquoise"
"1932","Gucy1a2",17,17,"grey60"
"1933","GUCY1A2_containing_G21932",28,17,"grey60"
"1934","Gucy1a3",21,4,"yellow"
"1935","GXYLT1_containing",7,1,"turquoise"
"1936","Gyg1",54,2,"blue"
"1937","Gys1",8,1,"turquoise"
"1938","H1F0_gene5906",8,2,"blue"
"1939","H2AFV_gene3204",2,3,"brown"
"1940","H2AFY",5,24,"darkgrey"
"1941","H3F3AP4",2,3,"brown"
"1942","H3F3B",113,2,"blue"
"1943","Habp4",1,33,"darkolivegreen"
"1944","Hadh",71,3,"brown"
"1945","Hadha",28,7,"black"
"1946","Hadhb",78,7,"black"
"1947","Hagh",8,2,"blue"
"1948","HARS2_like",7,1,"turquoise"
"1949","Hat1",5,3,"brown"
"1950","Haus1",64,2,"blue"
"1951","Haus2",4,0,"grey"
"1952","Haus7",3,2,"blue"
"1953","Hax1",8,3,"brown"
"1954","Hbp1",6,1,"turquoise"
"1955","Hbs1l",62,3,"brown"
"1956","Hcfc1",6,12,"tan"
"1957","HCG11_G35634",16,11,"greenyellow"
"1958","Hcn1",3,13,"salmon"
"1959","Hdac3",2,2,"blue"
"1960","Hdac4",294,1,"turquoise"
"1961","Hdac7",10,23,"darkturquoise"
"1962","Hddc3",2,5,"green"
"1963","HDGFL3_containing",2,15,"midnightblue"
"1964","Heatr1",78,1,"turquoise"
"1965","Heatr3",158,1,"turquoise"
"1966","Hebp2",47,5,"green"
"1967","Hectd2",9,4,"yellow"
"1968","Hectd3",3,9,"magenta"
"1969","Hectd4",17,20,"royalblue"
"1970","Helz",50,1,"turquoise"
"1971","Herc1",3,21,"darkred"
"1972","Hexa",3,7,"black"
"1973","Hey1",12,4,"yellow"
