"","gene","module_n","module_color"
"1","PURA",19,"lightyellow"
"2","FAM120C",4,"yellow"
"3","SHC3_like",5,"green"
"4","CYSTM1",1,"turquoise"
"5","UBE2N_ENSSTOG00000002166",2,"blue"
"6","TMEM184C_ENSSTOG00000003964",2,"blue"
"7","KCTD4",11,"greenyellow"
"8","GCSH",0,"grey"
"9","BCL2L1_ENSSTOG00000007643",2,"blue"
"10","RRAGA",1,"turquoise"
"11","MORF4L1_ENSSTOG00000009157",1,"turquoise"
"12","CDK5R1",2,"blue"
"13","SOX2",10,"purple"
"14","FIBIN",7,"black"
"15","ZNF112",4,"yellow"
"16","H2AFX",4,"yellow"
"17","H1F0_ENSSTOG00000014808",1,"turquoise"
"18","ENSSTOG00000014826",1,"turquoise"
"19","ZBED8",4,"yellow"
"20","KIAA0232",4,"yellow"
"21","5S_rRNA_ENSSTOG00000018487",11,"greenyellow"
"22","RNaseP_nuc_ENSSTOG00000018579",0,"grey"
"23","RPS6_ENSSTOG00000019647",1,"turquoise"
"24","LDOC1",6,"red"
"25","MRPL9",23,"darkturquoise"
"26","RPL24_ENSSTOG00000020333",19,"lightyellow"
"27","RPL5_ENSSTOG00000020981",1,"turquoise"
"28","KLF2",7,"black"
"29","ENSSTOG00000021438",21,"darkred"
"30","UBE2G1_like_ENSSTOG00000021672",19,"lightyellow"
"31","THAP11",0,"grey"
"32","U1_ENSSTOG00000021984",0,"grey"
"33","FAM122A",0,"grey"
"34","MTLN",0,"grey"
"35","ENSSTOG00000022616",3,"brown"
"36","TMEM230_ENSSTOG00000023419",2,"blue"
"37","RPS24_ENSSTOG00000023496",1,"turquoise"
"38","U1_ENSSTOG00000023727",0,"grey"
"39","CD82_like",1,"turquoise"
"40","DAP_containing",1,"turquoise"
"41","ATG12",2,"blue"
"42","NCS1_containing",26,"darkorange"
"43","RPS6_ENSSTOG00000025963",1,"turquoise"
"44","U1_ENSSTOG00000027312",7,"black"
"45","RPL10A",1,"turquoise"
"46","ATP6V1D_like",1,"turquoise"
"47","CYCS_ENSSTOG00000028032",1,"turquoise"
"48","HNRNPA0",0,"grey"
"49","HIST1H2BK",0,"grey"
"50","RPS3A_ENSSTOG00000028898",0,"grey"
"51","RPL39_ENSSTOG00000029048",1,"turquoise"
"52","ENSSTOG00000029288",7,"black"
"53","ENSSTOG00000029436",0,"grey"
"54","ENSSTOG00000029863",1,"turquoise"
"55","ARPP19_like",1,"turquoise"
"56","EIF4B_ENSSTOG00000029945",2,"blue"
"57","ENSSTOG00000030034",1,"turquoise"
"58","TMA7_ENSSTOG00000030110",1,"turquoise"
"59","PANTR1_containing",7,"black"
"60","ENSSTOG00000030229",17,"grey60"
"61","ENSSTOG00000030237",1,"turquoise"
"62","ZNF503-AS2_containing",1,"turquoise"
"63","ENSSTOG00000030661",1,"turquoise"
"64","LINC00672",1,"turquoise"
"65","CD24_like",0,"grey"
"66","COX6B1_like",1,"turquoise"
"67","UBE2R2",17,"grey60"
"68","PHYH_containing_ENSSTOG00000031003",1,"turquoise"
"69","Metazoa_SRP_ENSSTOG00000031089",11,"greenyellow"
"70","RPS27_ENSSTOG00000031138",1,"turquoise"
"71","ENSSTOG00000031142",10,"purple"
"72","AGL_containing_ENSSTOG00000031387",0,"grey"
"73","ENSSTOG00000031411",7,"black"
"74","ENSSTOG00000031516",0,"grey"
"75","FKBP1A_ENSSTOG00000031532",23,"darkturquoise"
"76","MAP4_like",2,"blue"
"77","ENSSTOG00000031812",20,"royalblue"
"78","PTGES3_like",16,"lightcyan"
"79","HMGN2_ENSSTOG00000031991",1,"turquoise"
"80","ENSSTOG00000032022",1,"turquoise"
"81","PPP1R2_like",2,"blue"
"82","NCL_like",2,"blue"
"83","COX6B1_ENSSTOG00000032450",1,"turquoise"
"84","MEF2D_containing",0,"grey"
"85","ENSSTOG00000032645",0,"grey"
"86","ENSSTOG00000032651",0,"grey"
"87","LINC01578_containing",1,"turquoise"
"88","ENSSTOG00000032827",1,"turquoise"
"89","ENSSTOG00000032929",1,"turquoise"
"90","ENSSTOG00000032941",1,"turquoise"
"91","Metazoa_SRP_ENSSTOG00000032958",7,"black"
"92","ZNF121_like",4,"yellow"
"93","ENSSTOG00000033080",0,"grey"
"94","SMIM26",19,"lightyellow"
"95","ENSSTOG00000033129",1,"turquoise"
"96","GNAS_ENSSTOG00000033348",18,"lightgreen"
"97","ENSSTOG00000033366",0,"grey"
"98","NBDY",0,"grey"
"99","ENSSTOG00000033635",9,"magenta"
"100","NEAT1_1_ENSSTOG00000033733",4,"yellow"
"101","ENSSTOG00000033764",12,"tan"
"102","ENSSTOG00000033826",18,"lightgreen"
"103","ENSSTOG00000033833",0,"grey"
"104","SP2-AS1_containing",0,"grey"
"105","TRAK1_like_ENSSTOG00000033928",0,"grey"
"106","ENSSTOG00000034143",4,"yellow"
"107","ENSSTOG00000034585",1,"turquoise"
"108","ENSSTOG00000034702",3,"brown"
"109","FAM89B_like",15,"midnightblue"
"110","ENSSTOG00000034733",0,"grey"
"111","TTC3_like_ENSSTOG00000034948",2,"blue"
"112","G10018",0,"grey"
"113","G10020",5,"green"
"114","AFF1_containing",5,"green"
"115","G10028",0,"grey"
"116","AFF1_like",1,"turquoise"
"117","HSD17B11_G10065",19,"lightyellow"
"118","G10085",0,"grey"
"119","G10098",0,"grey"
"120","G10099",13,"salmon"
"121","G10104",1,"turquoise"
"122","CAMK2G_like",1,"turquoise"
"123","G10112",1,"turquoise"
"124","CCNI_like",2,"blue"
"125","G10161",10,"purple"
"126","NAAA_containing",1,"turquoise"
"127","SDAD1_like_G10180",0,"grey"
"128","G10182",2,"blue"
"129","G10187",8,"pink"
"130","G10191",5,"green"
"131","G10206",5,"green"
"132","G10236",0,"grey"
"133","G10245",19,"lightyellow"
"134","G10270",0,"grey"
"135","G10279",12,"tan"
"136","G1034",8,"pink"
"137","REST",3,"brown"
"138","PPAT_containing",12,"tan"
"139","KIT_containing",0,"grey"
"140","ADIPOR1_G1038",8,"pink"
"141","G10410",0,"grey"
"142","G10411",0,"grey"
"143","GABRA4_containing",17,"grey60"
"144","G10437",18,"lightgreen"
"145","G10440",0,"grey"
"146","GABRB1_containing",24,"darkgrey"
"147","SLC30A9_containing",2,"blue"
"148","APBB2_like_G10465",1,"turquoise"
"149","G10504",3,"brown"
"150","G10510",11,"greenyellow"
"151","RELL1",1,"turquoise"
"152","TBC1D19_containing",19,"lightyellow"
"153","G10538",0,"grey"
"154","SPOCK2_containing",1,"turquoise"
"155","SEPSECS_containing",0,"grey"
"156","KCNIP4",19,"lightyellow"
"157","G10599",19,"lightyellow"
"158","G10609",21,"darkred"
"159","G10628",0,"grey"
"160","ZNF518B_containing",16,"lightcyan"
"161","G1065",9,"magenta"
"162","WDR1",1,"turquoise"
"163","G10658",1,"turquoise"
"164","UNC5B_containing",7,"black"
"165","G10691",0,"grey"
"166","G10744",21,"darkred"
"167","RPL21_G1075",1,"turquoise"
"168","G10765",9,"magenta"
"169","G10773",25,"orange"
"170","G10799",13,"salmon"
"171","G10803",3,"brown"
"172","G10805",3,"brown"
"173","G10810",11,"greenyellow"
"174","G1083",13,"salmon"
"175","TMEM271_containing",24,"darkgrey"
"176","AUTS2_G10872",13,"salmon"
"177","G10883",19,"lightyellow"
"178","G10887",0,"grey"
"179","G1091",10,"purple"
"180","G10915",3,"brown"
"181","GLUD1",5,"green"
"182","G10933",22,"darkgreen"
"183","G10934",13,"salmon"
"184","G10940",1,"turquoise"
"185","SGMS2_like",14,"cyan"
"186","CXXC4",1,"turquoise"
"187","G11041",20,"royalblue"
"188","DNAJB14_containing",1,"turquoise"
"189","G11048",8,"pink"
"190","G11064",17,"grey60"
"191","G11069",0,"grey"
"192","G11079",7,"black"
"193","BMPR1B_containing",3,"brown"
"194","G11083",1,"turquoise"
"195","G11109",1,"turquoise"
"196","NUS1_like_G11141",8,"pink"
"197","HNRNPC",15,"midnightblue"
"198","ZNF724_G11181",7,"black"
"199","G11190",0,"grey"
"200","GRIA2_like",3,"brown"
"201","G11198",0,"grey"
"202","G1121",0,"grey"
"203","G11210",1,"turquoise"
"204","G11221",0,"grey"
"205","G11224",19,"lightyellow"
"206","MIR4453HG_containing",3,"brown"
"207","FBXW7",19,"lightyellow"
"208","TMEM184C_like",19,"lightyellow"
"209","ABHD3_like",0,"grey"
"210","G11306",9,"magenta"
"211","OTUD3",3,"brown"
"212","RNF150_like",19,"lightyellow"
"213","HHIP_like",9,"magenta"
"214","G11362",7,"black"
"215","G11363",5,"green"
"216","SLC7A11_containing",27,"white"
"217","CCSER1_like",22,"darkgreen"
"218","TMEM184C_G11404",0,"grey"
"219","MAP2K6",22,"darkgreen"
