unique_gene_symbol,cluster_liv,cluster_fb,cluster_hy,cluster_med,liv_LRT_padj,gro_LRT_padj,gropro_LRT_padj,fb_LRT_padj,hy_LRT_padj,med_LRT_padj,adr_LRT_padj,kid_LRT_padj,gene_id,source,orf_len,micropeptide_pred,micropeptide_homology,exons,rna_len,transcript_id,novel,min_padj,domains,br_expr,edited,majiq_directed
CISD1_like,NA,NA,NA,NA,NA,4.3092440771482235e-15,1.3414844833302243e-8,NA,NA,NA,NA,NA,ENSSTOG00000029899,human_blastn,83,FALSE,NA,2,249,ENSSTOT00000031987,0,4.3092440771482235e-15,0,1,FALSE,0
ENSSTOG00000030034,NA,insig,insig,insig,NA,0.1800116751612678,5.919062668806422e-25,0.04287771654197546,0.10707320860411802,0.27380895306926895,0.4436894465636815,0.060266923506129014,ENSSTOG00000030034,reference,148,TRUE,NA,2,1418,TU56297,0,5.919062668806422e-25,0,1,FALSE,1
ENSSTOG00000030102,NA,NA,NA,NA,NA,0.0028226505169868365,9.519072794140763e-4,NA,NA,NA,NA,NA,ENSSTOG00000030102,reference,65,FALSE,NA,2,215,ENSSTOT00000041515,0,9.519072794140763e-4,0,1,FALSE,0
SLC39A14,insig,filtered,filtered,filtered,0.14884718294562502,1.88378208233483e-12,3.912737879601749e-8,NA,NA,NA,0.21511306535097785,0.004557119157641375,ENSSTOG00000030172,human_blastn,137,FALSE,NA,3,600,ENSSTOT00000032394,0,1.88378208233483e-12,0,1,FALSE,0
ENSSTOG00000030442,NA,NA,NA,NA,NA,0.0018031609318299926,3.862973615750566e-11,NA,NA,NA,0.07086249531470087,NA,ENSSTOG00000030442,reference,59,FALSE,NA,2,2113,ENSSTOT00000037627,0,3.862973615750566e-11,0,1,FALSE,0
ENSSTOG00000030463,NA,NA,NA,NA,NA,0.08463582379241384,2.0267387942865032e-4,NA,NA,NA,NA,NA,ENSSTOG00000030463,reference,74,FALSE,NA,2,247,ENSSTOT00000034928,0,2.0267387942865032e-4,0,1,FALSE,0
NT5C3A_containing,NA,NA,NA,NA,NA,1.812159567479308e-8,2.9255579058089064e-6,NA,NA,NA,NA,NA,ENSSTOG00000030549,human_blastn,238,FALSE,NA,7,750,ENSSTOT00000037696,0,1.812159567479308e-8,1,1,FALSE,0
LINC00959,NA,NA,NA,NA,NA,8.12584665868846e-8,4.9034483357675166e-5,NA,NA,NA,0.2325462313566395,NA,ENSSTOG00000030833,reference,108,FALSE,NA,4,327,ENSSTOT00000042830,0,8.12584665868846e-8,0,1,FALSE,0
ENSSTOG00000030929,NA,NA,NA,NA,NA,4.688206871235045e-45,2.1434703770571014e-16,NA,NA,NA,NA,NA,ENSSTOG00000030929,reference,68,FALSE,NA,2,343,ENSSTOT00000040477,0,4.688206871235045e-45,0,1,FALSE,0
PHYH_containing_ENSSTOG00000031003,Cold_high_EH,insig,insig,insig,1.3646572494905192e-5,3.1089222559285895e-11,1.1911975912309153e-6,0.0019504302751789868,0.0022139016643884938,0.024162567319766657,0.5674814457207493,0.5276905539345758,ENSSTOG00000031003,human_blastn,21,TRUE,NA,2,332,TU65298,0,3.1089222559285895e-11,0,1,FALSE,1
