gene,H153,H163,H164
BIK,0.2200064354386189,0.22111740579525294,0.22634372791690455
PURA,7.82908802987942,7.90629586057357,7.749784107249776
FAM120C,9.312270016448451,9.358310947129686,9.302074802054621
