"","gene","n","module_n","module_color"
"1","5S_rRNA_ENSSTOG00000018487",8,11,"greenyellow"
"2","AACSP1_containing",111,3,"brown"
"3","Aak1",117,2,"blue"
"4","Aamp",129,1,"turquoise"
"5","Aars",77,1,"turquoise"
"6","Aarsd1",124,1,"turquoise"
"7","Aasdh",4,3,"brown"
"8","Aasdhppt",20,2,"blue"
"9","Aass",4,11,"greenyellow"
"10","Aatf",5,1,"turquoise"
"11","Abca2",1,10,"purple"
"12","Abca5",6,8,"pink"
"13","Abcb7",2,5,"green"
"14","Abcb9",15,1,"turquoise"
"15","Abcc10",4,10,"purple"
"16","Abcc5",100,11,"greenyellow"
"17","Abcd3",3,1,"turquoise"
"18","Abce1",17,2,"blue"
"19","Abcf1",5,8,"pink"
"20","Abcf2",23,0,"grey"
"21","Abhd11",45,1,"turquoise"
"22","Abhd15",15,14,"cyan"
"23","Abhd16a",7,1,"turquoise"
"24","Abhd17a",14,1,"turquoise"
"25","Abhd17b",5,3,"brown"
"26","Abhd2",5,2,"blue"
"27","Abhd4",14,1,"turquoise"
"28","Abhd8",3,15,"midnightblue"
"29","Abi1",1,2,"blue"
"30","Abi2",7,2,"blue"
"31","Abi3",13,3,"brown"
"32","Abl2",12,5,"green"
"33","Ablim1",5,5,"green"
"34","ABR",20,2,"blue"
"35","Acaca",109,4,"yellow"
"36","Acad9",22,1,"turquoise"
"37","Acadl",4,1,"turquoise"
"38","ACADSB_containing",6,1,"turquoise"
"39","Acap2",20,5,"green"
"40","Acap3",3,10,"purple"
"41","Acat1",9,1,"turquoise"
"42","Acbd5",15,4,"yellow"
"43","Acbd6",18,1,"turquoise"
"44","Acer2",7,3,"brown"
"45","Ache",36,0,"grey"
"46","Acin1",28,7,"black"
"47","Ackr3",28,3,"brown"
"48","Aco2",145,1,"turquoise"
"49","Acot7",47,0,"grey"
"50","Acot8",8,1,"turquoise"
"51","Acp1",88,1,"turquoise"
"52","Acp6",9,9,"magenta"
"53","Acsl6",77,2,"blue"
"54","Acss2",2,12,"tan"
"55","Actb",181,1,"turquoise"
"56","Actg1",26,1,"turquoise"
"57","Actl6b",4,1,"turquoise"
"58","Actn4",21,10,"purple"
"59","Actr10",98,1,"turquoise"
"60","Actr1a",123,6,"red"
"61","Actr1b",176,1,"turquoise"
"62","Acvr2a",6,3,"brown"
"63","ACVR2B_G18537",89,3,"brown"
"64","Adal",45,4,"yellow"
"65","Adam10",17,5,"green"
"66","Adam15",4,10,"purple"
"67","Adam22",6,5,"green"
"68","Adam23",6,2,"blue"
"69","Adamts1",11,3,"brown"
"70","Adamts10",2,10,"purple"
"71","Adamtsl4",6,14,"cyan"
"72","Adar",78,2,"blue"
"73","Adat2",3,2,"blue"
"74","Adcy1",18,2,"blue"
"75","Adcy6",15,11,"greenyellow"
"76","Adcy8",14,1,"turquoise"
"77","Adcy9",24,2,"blue"
"78","Add1",60,1,"turquoise"
"79","Add2",39,2,"blue"
"80","Adgra1",8,6,"red"
"81","Adgrb1",5,10,"purple"
"82","Adgrf5",3,11,"greenyellow"
"83","Adgrl3",3,5,"green"
"84","ADH5_like",29,1,"turquoise"
"85","Adipor1",15,1,"turquoise"
"86","Adk",4,1,"turquoise"
"87","Adra1a",12,5,"green"
"88","Adra1b",24,6,"red"
"89","Adrm1",31,0,"grey"
"90","Aes",4,1,"turquoise"
"91","Afap1",108,4,"yellow"
"92","Afdn",32,5,"green"
"93","Aff1",5,5,"green"
"94","Aff2",106,2,"blue"
"95","Aff3",29,2,"blue"
"96","Aff4",59,2,"blue"
"97","Afg3l2",16,1,"turquoise"
"98","Agap3",13,1,"turquoise"
"99","Agk",7,8,"pink"
"100","Ago2",125,4,"yellow"
"101","AGO3_gene1944",7,5,"green"
"102","Ago4",4,5,"green"
"103","Agpat1",10,1,"turquoise"
"104","Agpat3",41,6,"red"
"105","Agps",12,5,"green"
"106","Agrn",3,10,"purple"
"107","Agtpbp1",13,2,"blue"
"108","Ahctf1",34,4,"yellow"
"109","Ahi1",27,2,"blue"
"110","AHNAK_G20817",6,5,"green"
"111","AHNAK_G20820",34,5,"green"
"112","Aifm1",73,1,"turquoise"
"113","Aifm3",2,10,"purple"
"114","Aig1",7,1,"turquoise"
"115","Aimp2",5,1,"turquoise"
"116","Aip",10,1,"turquoise"
"117","AJM1_containing",2,7,"black"
"118","Ak1",8,1,"turquoise"
"119","Ak2",9,7,"black"
"120","Akap11",4,5,"green"
"121","Akap12",11,2,"blue"
"122","Akap13",9,5,"green"
"123","Akap2",83,2,"blue"
"124","Akap6",80,2,"blue"
"125","Akap7",9,4,"yellow"
"126","Akap9",8,5,"green"
"127","Akirin2",1,12,"tan"
"128","Akna",35,14,"cyan"
"129","Akr1a1",81,1,"turquoise"
"130","Akr1b1",4,1,"turquoise"
"131","Akt1",43,1,"turquoise"
"132","Akt3",2,18,"lightgreen"
"133","Alas1",40,1,"turquoise"
"134","Aldh1l1",28,7,"black"
"135","Aldh2",4,1,"turquoise"
"136","Aldoa",112,1,"turquoise"
"137","Alg11",3,4,"yellow"
"138","Alg2",5,3,"brown"
"139","Alg5",21,1,"turquoise"
"140","Alkbh6",5,1,"turquoise"
"141","Alkbh7",4,0,"grey"
"142","Alms1",113,11,"greenyellow"
"143","Aloxe3",4,1,"turquoise"
"144","Amd1",264,4,"yellow"
"145","Amer1",54,4,"yellow"
"146","Amh",22,7,"black"
"147","Amigo1",61,2,"blue"
"148","Amn1",52,1,"turquoise"
"149","Ampd3",38,2,"blue"
"150","Anapc11",53,1,"turquoise"
"151","Anapc13",16,1,"turquoise"
"152","Anapc15",66,1,"turquoise"
"153","Anapc4",6,1,"turquoise"
"154","Angel2",102,4,"yellow"
"155","Ank2",8,5,"green"
"156","Ank3",71,5,"green"
"157","Ankfn1",5,5,"green"
"158","ANKHD1_gene10482",106,4,"yellow"
"159","ANKIB1",22,5,"green"
"160","Ankrd11",4,16,"lightcyan"
"161","Ankrd12",127,4,"yellow"
"162","Ankrd17",38,4,"yellow"
"163","Ankrd28",5,5,"green"
"164","Ankrd29",12,2,"blue"
"165","Ankrd40",18,7,"black"
"166","Ankrd44",85,11,"greenyellow"
"167","Ankrd49",101,3,"brown"
"168","Ankrd50",8,2,"blue"
"169","Ankrd52",3,16,"lightcyan"
"170","Anks1a",2,11,"greenyellow"
"171","Anp32b",4,1,"turquoise"
"172","Anxa7",94,8,"pink"
"173","Ap1b1",113,6,"red"
"174","Ap1m1",281,1,"turquoise"
"175","Ap2a1",106,6,"red"
"176","Ap2a2",74,6,"red"
"177","Ap2b1",60,6,"red"
"178","Ap2m1",88,6,"red"
"179","Ap5z1",7,1,"turquoise"
"180","Apba1",4,2,"blue"
"181","Apba3",6,1,"turquoise"
"182","Apbb1",41,1,"turquoise"
"183","Apbb2",27,2,"blue"
"184","Apc",34,5,"green"
"185","Apc2",16,2,"blue"
"186","Apeh",12,13,"salmon"
"187","Apex1",11,1,"turquoise"
"188","Api5",4,2,"blue"
"189","Aplp1",18,9,"magenta"
"190","Apoc1",3,1,"turquoise"
"191","Apoo",7,1,"turquoise"
"192","Apopt1",59,1,"turquoise"
"193","Appl1",46,5,"green"
"194","Aqr",11,2,"blue"
"195","Ar",9,2,"blue"
"196","Arap1",18,20,"royalblue"
"197","Arap2",32,4,"yellow"
"198","Arap3",4,11,"greenyellow"
"199","Arc",32,3,"brown"
"200","Arcn1",25,2,"blue"
"201","Arf1",189,1,"turquoise"
"202","Arf3",8,6,"red"
"203","Arf4",10,1,"turquoise"
"204","Arf5",169,1,"turquoise"
"205","Arfgap1",5,1,"turquoise"
"206","Arfgef1",17,5,"green"
"207","Arfgef2",126,2,"blue"
"208","Arfgef3",36,5,"green"
"209","Arfip2",37,1,"turquoise"
"210","Arg2",30,1,"turquoise"
"211","Arglu1",15,20,"royalblue"
"212","Arhgap18",9,2,"blue"
"213","Arhgap23",7,5,"green"
"214","ARHGAP23_like",7,7,"black"
"215","Arhgap24",14,6,"red"
"216","Arhgap26",94,2,"blue"
"217","Arhgap29",38,4,"yellow"
"218","Arhgap30",4,3,"brown"
"219","Arhgap32",19,5,"green"
"220","Arhgap35",91,2,"blue"
"221","Arhgap36",4,1,"turquoise"
"222","Arhgap44",5,2,"blue"
"223","Arhgap5",49,5,"green"
"224","Arhgdia",136,1,"turquoise"
"225","Arhgef1",3,10,"purple"
"226","Arhgef12",36,5,"green"
"227","Arhgef9",21,2,"blue"
"228","Arid1a",25,16,"lightcyan"
"229","Arid1b",30,4,"yellow"
"230","Arid2",12,5,"green"
"231","Arid3b",50,3,"brown"
"232","Arid4a",80,4,"yellow"
"233","Arid4b",9,4,"yellow"
"234","Arid5b",6,4,"yellow"
"235","Arl1",24,8,"pink"
"236","Arl16",11,0,"grey"
"237","Arl2",21,1,"turquoise"
"238","Arl3",5,1,"turquoise"
"239","ARL5A_containing",17,1,"turquoise"
"240","Arl5b",34,4,"yellow"
"241","ARL5B_like",3,3,"brown"
"242","Arl6ip1",46,6,"red"
"243","Arl8a",77,1,"turquoise"
"244","Arl8b",58,8,"pink"
"245","Armc8",3,2,"blue"
"246","ARMC8_like",8,1,"turquoise"
"247","ARMCX3_containing",3,13,"salmon"
"248","Armcx4",3,2,"blue"
"249","ARMH3_like",7,13,"salmon"
"250","ARMH4_like",65,2,"blue"
"251","Arnt",21,5,"green"
"252","Arnt2",6,13,"salmon"
"253","Arpc1a",8,8,"pink"
"254","Arpc2",88,1,"turquoise"
"255","Arpc3",140,1,"turquoise"
"256","ARPC3_gene12616",13,1,"turquoise"
"257","ARPC3_gene26162",54,1,"turquoise"
"258","Arpc4",233,1,"turquoise"
"259","Arpc5l",3,1,"turquoise"
"260","Arrb2",15,6,"red"
