unique_gene_symbol,
significant_90,whether confidence is over 0.9
significant_99,whether confidence is over 0.99
LSV_ID,id used by MAJIQ
A5SS,alternative 5 splice site
A3SS,alternative 3 splice site
ES,exon skip
region,
comp_pair,
gene_id,
max_P(|dPSI|>=0.20),
Num_Junctions,
Num_Exons,
Junctions_coords,
IR_coords,
